Run Type,AMR Levels,Cores,Measure Index,Memory Used (KB)
pipe_contour_memory,3,8,0,5022848
pipe_contour_memory,3,8,1,5046984
pipe_contour_memory,3,8,2,5056524
pipe_contour_memory,3,8,3,5072176
pipe_contour_memory,3,8,4,5084076
pipe_contour_memory,3,8,5,5086312
pipe_contour_memory,3,8,6,5092084
pipe_contour_memory,3,8,7,5096060
pipe_contour_memory,3,8,8,5097132
pipe_contour_memory,3,8,9,5098140
pipe_contour_memory,3,8,10,5098472
pipe_contour_memory,3,8,11,5098560
pipe_contour_memory,3,8,12,5098888
pipe_contour_memory,3,8,13,5099224
pipe_contour_memory,3,8,14,5099028
pipe_contour_memory,3,8,15,5099400
pipe_contour_memory,3,8,16,5099828
pipe_contour_memory,3,8,17,5100312
pipe_contour_memory,3,8,18,5100460
pipe_contour_memory,3,8,19,5100556
pipe_contour_memory,3,8,20,5101944
pipe_contour_memory,3,8,21,5103588
pipe_contour_memory,3,8,22,5105288
pipe_contour_memory,3,8,23,5105644
pipe_contour_memory,3,8,24,5106596
pipe_contour_memory,3,8,25,5107452
pipe_contour_memory,3,8,26,5107536
pipe_contour_memory,3,8,27,5108324
pipe_contour_memory,3,8,28,5107560
pipe_contour_memory,3,8,29,5108636
pipe_contour_memory,3,8,30,5109396
pipe_contour_memory,3,8,31,5110048
pipe_contour_memory,3,8,32,5110204
pipe_contour_memory,3,8,33,5110660
pipe_contour_memory,3,8,34,5111052
pipe_contour_memory,3,8,35,5111508
pipe_contour_memory,3,8,36,5111708
pipe_contour_memory,3,8,37,5112160
pipe_contour_memory,3,8,38,5112184
pipe_contour_memory,3,8,39,5114172
pipe_contour_memory,3,8,40,5114564
pipe_contour_memory,3,8,41,5114756
pipe_contour_memory,3,8,42,5115144
pipe_contour_memory,3,8,43,5116300
pipe_contour_memory,3,8,44,5117668
pipe_contour_memory,3,8,45,5118068
pipe_contour_memory,3,8,46,5118744
pipe_contour_memory,3,8,47,5120144
pipe_contour_memory,3,8,48,5125008
pipe_contour_memory,3,8,49,5129500
pipe_contour_memory,3,8,50,5132816
pipe_contour_memory,3,8,51,5136940
pipe_contour_memory,3,8,52,5141380
pipe_contour_memory,3,8,53,5141564
pipe_contour_memory,3,8,54,5154976
pipe_contour_memory,3,8,55,5163020
pipe_contour_memory,3,8,56,5165096
pipe_contour_memory,3,8,57,5165896
pipe_contour_memory,3,8,58,5167228
pipe_contour_memory,3,8,59,5167992
pipe_contour_memory,3,8,60,5170192
pipe_contour_memory,3,8,61,5173120
pipe_contour_memory,3,8,62,5166144
pipe_contour_memory,3,8,63,5171328
pipe_contour_memory,3,8,64,5171788
pipe_contour_memory,3,8,65,5179600
pipe_contour_memory,3,8,66,5182896
pipe_contour_memory,3,8,67,5183592
pipe_contour_memory,3,8,68,5184168
pipe_contour_memory,3,8,69,5185580
pipe_contour_memory,3,8,70,5187452
pipe_contour_memory,3,8,71,5188432
pipe_contour_memory,3,8,72,5193136
pipe_contour_memory,3,8,73,5196192
pipe_contour_memory,3,8,74,5198448
pipe_contour_memory,3,8,75,5199968
pipe_contour_memory,3,8,76,5200396
pipe_contour_memory,3,8,77,5201240
pipe_contour_memory,3,8,78,5201308
pipe_contour_memory,3,8,79,5202220
pipe_contour_memory,3,8,80,5205808
pipe_contour_memory,3,8,81,5208264
pipe_contour_memory,3,8,82,5211512
pipe_contour_memory,3,8,83,5214984
pipe_contour_memory,3,8,84,5216428
pipe_contour_memory,3,8,85,5221508
pipe_contour_memory,3,8,86,5222540
pipe_contour_memory,3,8,87,5225296
pipe_contour_memory,3,8,88,5233660
pipe_contour_memory,3,8,89,5235264
pipe_contour_memory,3,8,90,5235072
pipe_contour_memory,3,8,91,5242784
pipe_contour_memory,3,8,92,5251552
pipe_contour_memory,3,8,93,5256504
pipe_contour_memory,3,8,94,5260212
pipe_contour_memory,3,8,95,5261812
pipe_contour_memory,3,8,96,5263116
pipe_contour_memory,3,8,97,5265068
pipe_contour_memory,3,8,98,5268436
pipe_contour_memory,3,8,99,5273360
pipe_contour_memory,3,8,100,5274260
pipe_contour_memory,3,16,0,5430144
pipe_contour_memory,3,16,1,5461768
pipe_contour_memory,3,16,2,5483296
pipe_contour_memory,3,16,3,5494072
pipe_contour_memory,3,16,4,5502836
pipe_contour_memory,3,16,5,5508252
pipe_contour_memory,3,16,6,5509636
pipe_contour_memory,3,16,7,5509836
pipe_contour_memory,3,16,8,5511572
pipe_contour_memory,3,16,9,5514548
pipe_contour_memory,3,16,10,5512564
pipe_contour_memory,3,16,11,5513060
pipe_contour_memory,3,16,12,5514640
pipe_contour_memory,3,16,13,5512624
pipe_contour_memory,3,16,14,5513988
pipe_contour_memory,3,16,15,5515972
pipe_contour_memory,3,16,16,5514236
pipe_contour_memory,3,16,17,5514980
pipe_contour_memory,3,16,18,5517088
pipe_contour_memory,3,16,19,5515104
pipe_contour_memory,3,16,20,5524776
pipe_contour_memory,3,16,21,5529484
pipe_contour_memory,3,16,22,5528244
pipe_contour_memory,3,16,23,5529856
pipe_contour_memory,3,16,24,5531468
pipe_contour_memory,3,16,25,5531716
pipe_contour_memory,3,16,26,5534692
pipe_contour_memory,3,16,27,5535064
pipe_contour_memory,3,16,28,5535932
pipe_contour_memory,3,16,29,5537164
pipe_contour_memory,3,16,30,5536668
pipe_contour_memory,3,16,31,5538184
pipe_contour_memory,3,16,32,5539040
pipe_contour_memory,3,16,33,5538788
pipe_contour_memory,3,16,34,5539532
pipe_contour_memory,3,16,35,5539904
pipe_contour_memory,3,16,36,5539148
pipe_contour_memory,3,16,37,5539520
pipe_contour_memory,3,16,38,5539456
pipe_contour_memory,3,16,39,5540944
pipe_contour_memory,3,16,40,5540228
pipe_contour_memory,3,16,41,5540848
pipe_contour_memory,3,16,42,5541920
pipe_contour_memory,3,16,43,5547828
pipe_contour_memory,3,16,44,5550804
pipe_contour_memory,3,16,45,5553780
pipe_contour_memory,3,16,46,5554708
pipe_contour_memory,3,16,47,5557432
pipe_contour_memory,3,16,48,5560284
pipe_contour_memory,3,16,49,5578760
pipe_contour_memory,3,16,50,5580416
pipe_contour_memory,3,16,51,5582448
pipe_contour_memory,3,16,52,5591376
pipe_contour_memory,3,16,53,5595716
pipe_contour_memory,3,16,54,5598612
pipe_contour_memory,3,16,55,5600072
pipe_contour_memory,3,16,56,5604536
pipe_contour_memory,3,16,57,5605424
pipe_contour_memory,3,16,58,5606744
pipe_contour_memory,3,16,59,5623484
pipe_contour_memory,3,16,60,5629684
pipe_contour_memory,3,16,61,5639604
pipe_contour_memory,3,16,62,5641492
pipe_contour_memory,3,16,63,5645148
pipe_contour_memory,3,16,64,5645420
pipe_contour_memory,3,16,65,5652268
pipe_contour_memory,3,16,66,5654588
pipe_contour_memory,3,16,67,5655952
pipe_contour_memory,3,16,68,5657052
pipe_contour_memory,3,16,69,5657672
pipe_contour_memory,3,16,70,5659656
pipe_contour_memory,3,16,71,5662828
pipe_contour_memory,3,16,72,5666720
pipe_contour_memory,3,16,73,5669712
pipe_contour_memory,3,16,74,5671728
pipe_contour_memory,3,16,75,5672500
pipe_contour_memory,3,16,76,5671036
