%  amr-file-hpctoolkit/pipe-5-00128   amr-file-hpctoolkit/pipe-5-00128/extracted_timings-e719248.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  74.9590809 ,  70.842067 ,  81.182751 ,  3.04441065509086 
% PVSPY_VIZ_TIMINGS ,  7.046e-05 ,  6.1e-05 ,  0.000235 ,  2.38868164475721e-05 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,70.937992,6.9e-05
20,70.842067,7e-05
30,71.014586,6.4e-05
40,71.67986,7.1e-05
50,71.029759,7.1e-05
60,71.211568,7.3e-05
70,73.115688,6.7e-05
80,72.081114,6.8e-05
90,71.153464,6.6e-05
100,71.238255,6.7e-05
110,71.215454,6.1e-05
120,71.340328,6.2e-05
130,71.166709,7e-05
140,71.399512,6.9e-05
150,71.637094,6.5e-05
160,72.287423,6.1e-05
170,72.114589,7e-05
180,72.683209,6.6e-05
190,72.612818,6.8e-05
200,74.376358,6.7e-05
210,74.346342,6.8e-05
220,74.528589,6.3e-05
230,74.353531,7e-05
240,74.71317,6.4e-05
250,75.307952,6.7e-05
260,76.176482,6.7e-05
270,77.46563,6.9e-05
280,75.916374,6.3e-05
290,76.152635,6.8e-05
300,78.056858,6.9e-05
310,76.613456,6.7e-05
320,77.129987,6.5e-05
330,77.406159,6.3e-05
340,77.294068,6.9e-05
350,76.833498,6.7e-05
360,77.606972,6.7e-05
370,76.93298,6.7e-05
380,76.267499,6.8e-05
390,75.987255,0.000235
400,76.478771,6.8e-05
410,76.548454,6.8e-05
420,76.699794,6.8e-05
430,76.321691,6.6e-05
440,77.722603,6.6e-05
450,78.25146,6.7e-05
460,78.660047,6.8e-05
470,80.355317,7.1e-05
480,80.75507,6.6e-05
490,80.750803,6.9e-05
500,81.182751,6.5e-05
