%  amr-file-hpctoolkit/pipe-5-01024   amr-file-hpctoolkit/pipe-5-01024/extracted_timings-e718946.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  13.04866574 ,  11.656221 ,  14.256675 ,  0.851601680986896 
% PVSPY_VIZ_TIMINGS ,  6.666e-05 ,  6e-05 ,  0.000115 ,  7.40272977780935e-06 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,12.021204,6.9e-05
20,11.663108,7.1e-05
30,11.715861,0.000115
40,11.656221,7e-05
50,11.701471,6.7e-05
60,12.153931,6.9e-05
70,12.48637,6.2e-05
80,12.049385,6.6e-05
90,11.802086,6.5e-05
100,11.916006,6.6e-05
110,11.787482,6.7e-05
120,12.499897,6.4e-05
130,11.923215,6.6e-05
140,11.909626,6.5e-05
150,12.045981,6.7e-05
160,12.347177,6e-05
170,12.29833,6.3e-05
180,12.63937,6.5e-05
190,12.632359,6.4e-05
200,12.848338,6.5e-05
210,13.050886,7.1e-05
220,13.060595,6.3e-05
230,13.138313,6.3e-05
240,13.103106,6.3e-05
250,13.153821,6.4e-05
260,13.51016,6.3e-05
270,13.831038,7e-05
280,13.3911,6.2e-05
290,13.493966,6.5e-05
300,13.974135,6.5e-05
310,13.610692,6.6e-05
320,13.857839,6.6e-05
330,14.115934,6.6e-05
340,13.878997,6.4e-05
350,13.710685,6.6e-05
360,14.134741,6.6e-05
370,13.945811,6.9e-05
380,13.614902,7.1e-05
390,13.596464,6.5e-05
400,13.566881,6.5e-05
410,13.642892,6.8e-05
420,13.766911,6.8e-05
430,13.629405,6.7e-05
440,13.935106,6.4e-05
450,13.736938,6.6e-05
460,13.567436,6.3e-05
470,13.892611,6.4e-05
480,14.256675,6.5e-05
490,14.065074,6.4e-05
500,14.102755,6.5e-05
