%  amr-file-hpctoolkit/pipe-6-02048   amr-file-hpctoolkit/pipe-6-02048/extracted_timings-e718948.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  38.55366356 ,  36.130574 ,  48.86913 ,  2.69524498050237 
% PVSPY_VIZ_TIMINGS ,  4.84e-05 ,  4.2e-05 ,  5.9e-05 ,  3.81190401832181e-06 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,36.401691,4.2e-05
20,36.130574,5.3e-05
30,37.387829,4.7e-05
40,36.401901,5.3e-05
50,36.458755,4.4e-05
60,36.413174,4.8e-05
70,37.272774,5e-05
80,36.552371,4.9e-05
90,37.350705,4.7e-05
100,36.3373,4.7e-05
110,37.418169,5.2e-05
120,36.610051,4.8e-05
130,37.239986,4.9e-05
140,38.642602,5e-05
150,36.57186,4.2e-05
160,37.183293,4.5e-05
170,36.242204,5e-05
180,37.19823,4.9e-05
190,36.159626,4.6e-05
200,36.77129,5.1e-05
210,36.902638,5e-05
220,36.263509,4.6e-05
230,36.592118,5.2e-05
240,37.195338,4.9e-05
250,37.660224,4.2e-05
260,37.305717,4.7e-05
270,37.372126,4.8e-05
280,37.275589,5.1e-05
290,38.846834,4.5e-05
300,38.222834,5.8e-05
310,39.211759,4.7e-05
320,38.396932,4.6e-05
330,39.392431,4.9e-05
340,38.824541,4.6e-05
350,39.27224,4.6e-05
360,40.191987,4.7e-05
370,39.181662,4.4e-05
380,39.715099,4.2e-05
390,40.437759,4.6e-05
400,39.428871,5.1e-05
410,39.948908,4.9e-05
420,39.526697,4.5e-05
430,39.121858,4.7e-05
440,39.460236,4.7e-05
450,40.077926,5e-05
460,39.813645,4.8e-05
470,44.355913,4.9e-05
480,48.86913,5.6e-05
490,45.926475,5.6e-05
500,46.147797,5.9e-05
