Function  , sum  , mean  , min  , max  
MPI_Allgather , 5.374313E8 , 52483.525390625 , 10174.0 , 202005.0
MPI_Barrier , 6.584986325E11 , 8461382.510536596 , 10989.0 , 8.8711E7
MPI_Barrier , 4.43198E10 , 2.164052734375E7 , 2.0386E7 , 2.43636E7
MPI_Bcast , 3.576747E9 , 218307.31201171875 , 8006.0 , 1485320.0
MPI_Bcast , 9.12145E9 , 4453833.0078125 , 23604.0 , 1.94212E7
MPI_Bcast , 4.60712E8 , 112478.515625 , 11992.0 , 443273.0
MPI_Finalize , 7.78051E8 , 379907.71484375 , 22088.0 , 720006.0
MPI_Isend , 5.15105E7 , 25151.611328125 , 11927.0 , 119588.0
MPI_Recv , 8.71927008E10 , 834795.3125 , 8465.0 , 4.83845E7
MPI_Reduce_scatter , 3.068435E8 , 49941.975911458336 , 9519.0 , 203748.0
MPI_Send , 4.845229587E11 , 5914586.898193359 , 9586.0 , 6.02743E7
MPI_Type_commit , 2.3488547E9 , 39548.33479256465 , 10163.0 , 310558.0
MPI_Type_commit , 2.196463E8 , 35749.723307291664 , 11912.0 , 179453.0
MPI_Type_struct , 7.25968E7 , 35447.65625 , 11817.0 , 131509.0
amrini_ , 3.17787E11 , 1.5516943359375E8 , 1.55138E8 , 1.5519E8
cth , 4.56092E12 , 2.22701171875E9 , 2.22564E9 , 2.22948E9
pvspy_fil , 1.98963E11 , 9.714990234375E7 , 9.66134E7 , 9.89424E7
pvspy_stb , 2.09005E8 , 102053.22265625 , 11973.0 , 298233.0
spy_file_out , 4.84542E10 , 2.365927734375E7 , 2.29817E7 , 2.62967E7
