%  amr-file-hpctoolkit/pipe-6-08192   amr-file-hpctoolkit/pipe-6-08192/extracted_timings-e719256.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  12.8797044 ,  11.784371 ,  17.611203 ,  1.42264766921415 
% PVSPY_VIZ_TIMINGS ,  5.62e-05 ,  5e-05 ,  6.6e-05 ,  3.01695886884898e-06 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,12.744766,5.8e-05
20,12.042784,5.6e-05
30,12.171704,5.3e-05
40,12.021162,5.7e-05
50,13.183407,5.2e-05
60,12.118183,5.8e-05
70,12.024654,5.6e-05
80,12.047643,5.8e-05
90,12.178657,5.9e-05
100,13.459187,5.4e-05
110,12.131703,5.8e-05
120,12.164462,5.5e-05
130,12.11154,5.6e-05
140,13.189047,5.5e-05
150,12.061207,5.8e-05
160,12.774497,5.8e-05
170,11.784371,5.2e-05
180,11.90968,5.6e-05
190,11.819865,5.8e-05
200,11.8441,5.6e-05
210,13.172243,6e-05
220,11.91658,5.2e-05
230,11.975643,5.4e-05
240,12.198664,6.1e-05
250,12.075236,5.5e-05
260,13.179615,5.5e-05
270,12.139381,5.6e-05
280,12.13476,5.6e-05
290,12.357685,5.3e-05
300,12.836637,5.4e-05
310,12.364939,5e-05
320,12.151009,5.6e-05
330,12.506232,5.6e-05
340,12.200221,5.4e-05
350,13.360928,5.5e-05
360,12.599537,5.6e-05
370,12.387758,5.6e-05
380,12.551258,5.3e-05
390,12.911531,5.5e-05
400,14.00643,5.4e-05
410,12.935236,5.9e-05
420,12.623162,5.4e-05
430,12.400858,5.5e-05
440,12.743477,5.4e-05
450,12.836964,5.5e-05
460,14.767989,5.8e-05
470,17.611203,6.6e-05
480,17.570148,6.4e-05
490,16.637857,5.9e-05
500,17.04942,6.2e-05
