%  ./pipe-6-01024   ./pipe-6-01024/extracted_timings-e670583.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  69.46687522 ,  66.843259 ,  81.706897 ,  3.06389478111988 
% PVSPY_VIZ_TIMINGS ,  5.72547372 ,  5.631631 ,  6.053055 ,  0.0890509952220775 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,68.4583,5.923075
20,66.991726,5.803947
30,67.557257,5.729593
40,67.555884,5.73538
50,67.731545,5.703176
60,66.847466,5.71958
70,67.069677,5.705174
80,67.523369,5.753573
90,67.972031,5.730569
100,66.869347,5.724407
110,66.843259,5.717945
120,67.023033,5.717418
130,67.038119,5.705552
140,70.571114,5.693306
150,67.944705,5.691979
160,66.88369,5.678998
170,66.994511,5.681014
180,67.630657,5.691238
190,67.066147,5.693399
200,68.589048,5.696304
210,67.351737,5.710768
220,67.172766,5.664882
230,67.333548,5.631631
240,68.278798,5.640542
250,68.477342,5.660944
260,68.353622,5.637379
270,68.308149,5.647984
280,68.633381,5.636988
290,68.870783,5.92784
300,69.204345,5.776249
310,69.435787,5.652183
320,69.397391,5.652207
330,70.340704,5.656581
340,69.134684,5.691079
350,69.985079,5.698583
360,70.901303,5.715295
370,69.329288,5.826757
380,70.10776,5.645185
390,70.690536,5.696732
400,70.265792,5.723472
410,71.472188,5.686408
420,70.379003,5.684691
430,71.045819,5.675028
440,71.167511,5.697093
450,71.545906,5.710901
460,72.001754,5.679564
470,76.483051,5.901988
480,81.706897,5.881762
490,77.45712,5.914288
500,77.350832,6.053055
