%  amr_in-situ-hpctoolkit/pipe-6-02048   amr_in-situ-hpctoolkit/pipe-6-02048/extracted_timings-e692648.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  38.64760478 ,  35.943542 ,  50.902027 ,  3.25893148003037 
% PVSPY_VIZ_TIMINGS ,  3.87983804 ,  3.770636 ,  4.698982 ,  0.16346151444075 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,37.094742,3.933711
20,36.074781,3.939295
30,37.138151,3.858812
40,37.512628,3.836978
50,50.902027,3.844355
60,37.247357,3.853252
70,36.221436,3.871663
80,37.202806,3.836795
90,36.350067,3.859959
100,37.167523,3.840782
110,36.238613,3.858283
120,37.576483,3.827193
130,36.32178,4.698982
140,37.900301,3.809793
150,36.381478,3.814941
160,35.943542,3.822045
170,36.012587,3.773727
180,36.107582,3.808926
190,35.954942,3.80626
200,35.946782,3.844105
210,36.864688,3.805773
220,36.091105,3.813319
230,36.451682,3.790182
240,36.92299,3.820655
250,37.356715,3.814455
260,37.100307,4.357846
270,37.089939,3.784426
280,37.132156,3.770636
290,37.759252,3.81386
300,38.330811,3.789826
310,38.307154,3.794491
320,38.21365,3.877323
330,38.998057,3.799891
340,39.03297,3.798131
350,39.253198,3.787862
360,39.12216,3.802023
370,39.161993,3.844613
380,39.443122,3.804003
390,40.313396,3.855245
400,39.265219,3.891777
410,40.705119,3.829324
420,39.248741,3.80836
430,38.95921,3.803227
440,39.582313,3.821639
450,39.446933,3.835051
460,39.633601,3.873726
470,44.011974,4.021669
480,48.785476,4.127073
490,46.562865,4.159966
500,45.937835,4.155673
