%  amr_in-situ-hpctoolkit/failed/pipe-7-65536   amr_in-situ-hpctoolkit/failed/pipe-7-65536/extracted_timings-e710142.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  15.0439728235294 ,  13.959526 ,  16.523899 ,  0.78406363447628 
% PVSPY_VIZ_TIMINGS ,  9.62937035294118 ,  0.003314 ,  11.469689 ,  2.50170660104585 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,15.743021,10.257451
20,14.606127,10.244838
30,15.191474,11.469689
40,16.523899,10.097906
50,14.809292,10.160448
60,15.263908,10.138198
70,15.972625,10.182278
80,14.413574,10.222548
90,14.230118,10.087828
100,15.793623,10.180595
110,13.959526,10.078865
120,14.069898,10.128409
130,15.173281,10.099943
140,14.465361,10.083911
150,14.168945,10.1296
160,15.293197,10.133475
170,16.069669,10.003314
%-----------------------
180,16.069669,10.003314
190,16.069669,10.003314
200,16.069669,10.003314
210,16.069669,10.003314
220,16.069669,10.003314
230,16.069669,10.003314
240,16.069669,10.003314
250,16.069669,10.003314
260,16.069669,10.003314
270,16.069669,10.003314
280,16.069669,10.003314
290,16.069669,10.003314
300,16.069669,10.003314
310,16.069669,10.003314
320,16.069669,10.003314
330,16.069669,10.003314
340,16.069669,10.003314
350,16.069669,10.003314
360,16.069669,10.003314
370,16.069669,10.003314
380,16.069669,10.003314
390,16.069669,10.003314
400,16.069669,10.003314
410,16.069669,10.003314
420,16.069669,10.003314
430,16.069669,10.003314
440,16.069669,10.003314
450,16.069669,10.003314
460,16.069669,10.003314
470,16.069669,10.003314
480,16.069669,10.003314
490,16.069669,10.003314
500,16.069669,10.003314
