%  amr_in-situ-opt/failed/pipe-7-65536   amr_in-situ-opt/failed/pipe-7-65536/extracted_timings-e692636.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  13.6107734705882 ,  13.046664 ,  15.371975 ,  0.638221988960358 
% PVSPY_VIZ_TIMINGS ,  9.415203 ,  0.00439 ,  10.545655 ,  2.42971751943935 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,13.046664,9.98123
20,13.491783,9.942481
30,14.380748,9.983201
40,13.235495,9.934283
50,13.6988,10.072729
60,14.739699,9.966953
70,13.327703,9.956353
80,13.168631,9.924052
90,13.344247,10.029734
100,13.234046,10.03391
110,13.186652,9.913307
120,13.273527,10.545655
130,13.216883,9.931898
140,13.533494,9.986297
150,13.321596,9.84656
160,13.811206,10.005418
170,15.371975,0.00439
