%  ./failed/pipe-6-08192   ./failed/pipe-6-08192/extracted_timings-e732851.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  13.5447712162162 ,  12.474396 ,  15.740966 ,  0.925878754065597 
% PVSPY_VIZ_TIMINGS ,  8.58874267567568 ,  0.003867 ,  9.972712 ,  1.50921360017792 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,13.672464,8.779256
20,14.527577,8.631775
30,15.635827,9.299731
40,14.189811,8.712145
50,13.747086,8.621115
60,14.986209,8.994663
70,13.493206,9.575682
80,13.396872,9.231808
90,14.558289,8.584078
100,15.513993,9.097935
110,13.364943,9.234782
120,13.083974,9.972712
130,13.039132,9.123674
140,14.071228,8.364511
150,12.924659,8.660379
160,15.740966,8.589561
170,12.544203,8.778589
180,12.612521,8.310203
190,13.7361,8.497568
200,12.474396,8.930827
210,12.686942,8.535288
220,13.989194,9.897143
230,12.505955,8.331916
240,12.769761,8.56954
250,12.78635,8.6825
260,13.875164,8.686366
270,12.674089,8.802822
280,14.308262,8.484077
290,12.888929,9.121041
300,12.814749,8.578064
310,12.755381,8.499501
320,12.681446,8.66839
330,14.223726,8.609141
340,14.134095,8.495149
350,12.977902,8.348741
360,13.018532,9.478939
370,12.752602,0.003867
