%  ./pipe-7-08192   ./pipe-7-08192/extracted_timings-e743635.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  73.67352898 ,  68.18078 ,  87.972023 ,  4.6934049668755 
% PVSPY_VIZ_TIMINGS ,  64.386207 ,  51.646389 ,  100.548425 ,  5.97080862668241 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,68.278756,66.255445
20,75.395714,65.493721
30,74.779848,66.717776
40,73.980741,64.698968
50,87.972023,51.646389
60,76.904669,63.02651
70,73.972407,65.803094
80,72.269353,62.926693
90,70.131993,63.082805
100,73.317368,62.38858
110,70.407945,62.278856
120,70.334227,61.405594
130,70.400664,61.482501
140,72.555581,61.963968
150,73.055837,64.731172
160,72.071348,63.159458
170,74.653297,62.387511
180,72.399026,61.816655
190,73.122022,63.873059
200,69.652941,62.469995
210,70.828172,64.406445
220,73.373815,63.098702
230,72.185919,64.774862
240,68.649555,65.018762
250,69.110961,68.09947
260,69.024044,63.450407
270,69.354885,65.463715
280,70.926907,62.958515
290,69.747772,64.293702
300,68.18078,64.813529
310,70.859826,60.856753
320,68.741462,61.409137
330,69.082586,65.689292
340,68.474453,62.491732
350,72.439809,65.550154
360,69.347314,61.223846
370,68.804697,62.098955
380,76.040079,64.204083
390,77.155363,65.221806
400,78.233678,57.003441
410,82.744991,100.548425
420,78.665378,64.353339
430,75.730273,66.611306
440,79.644554,64.6501
450,85.427184,68.773544
460,76.497106,58.480254
470,78.533546,67.261769
480,82.398907,69.051996
490,79.187306,66.08373
500,78.629367,63.759829
