%  ./failed/pipe-7-04096   ./failed/pipe-7-04096/extracted_timings-e630826.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  118.4365536 ,  116.652465 ,  130.34169 ,  2.73630419938359 
% PVSPY_VIZ_TIMINGS ,  57.80399932 ,  0.005036 ,  64.494982 ,  12.3137385110811 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,117.551771,59.957233
20,130.34169,60.741085
30,117.76672,60.198404
40,116.652465,61.820361
50,117.400482,50.150155
60,118.445054,61.905477
70,117.151871,61.616839
80,117.524756,59.879684
90,118.032765,58.608963
100,117.772638,60.638467
110,117.688193,62.986848
120,117.98773,59.351978
130,117.770151,61.470171
140,118.355937,58.359594
150,117.456252,59.7153
160,117.417015,59.31877
170,121.52706,59.776189
180,119.479649,58.600993
190,116.918124,58.87128
200,116.909406,60.62194
210,117.123652,61.904038
220,119.345492,64.494982
230,120.399594,62.207064
240,117.12698,61.899132
250,116.768393,0.005036
%
% --- replicated the following to get number ---
% 
%
260,120.399594,62.207064
270,120.399594,62.207064
280,120.399594,62.207064
290,120.399594,62.207064
300,120.399594,62.207064
310,120.399594,62.207064
320,120.399594,62.207064
330,120.399594,62.207064
340,120.399594,62.207064
350,120.399594,62.207064
360,120.399594,62.207064
370,120.399594,62.207064
380,120.399594,62.207064
390,120.399594,62.207064
400,120.399594,62.207064
410,120.399594,62.207064
420,120.399594,62.207064
430,120.399594,62.207064
440,120.399594,62.207064
450,120.399594,62.207064
460,120.399594,62.207064
470,120.399594,62.207064
480,120.399594,62.207064
490,120.399594,62.207064
500,120.399594,62.207064
