%  ./pipe-7-08192   ./pipe-7-08192/extracted_timings-e630828.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  67.65100158 ,  63.790051 ,  79.95911 ,  4.65747537885118 
% PVSPY_VIZ_TIMINGS ,  61.91302362 ,  51.366724 ,  74.336572 ,  3.19251577048393 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,63.790051,74.336572
20,64.003279,66.817881
30,65.051023,61.305636
40,64.425242,59.057031
50,64.78774,51.366724
60,65.478115,60.350582
70,64.727229,58.871664
80,64.748744,63.436184
90,64.771138,62.946656
100,64.793972,62.649725
110,65.040233,62.878556
120,64.959517,60.511073
130,64.566334,60.562582
140,65.364347,64.972632
150,64.795659,63.011626
160,64.584965,60.710918
170,67.147825,62.628198
180,65.805552,59.768644
190,64.306499,59.380617
200,64.337523,61.825725
210,64.401749,60.516563
220,65.953343,63.130203
230,66.414915,60.436724
240,64.229229,61.956825
250,64.104143,59.841299
260,64.706053,63.274287
270,64.473525,58.955628
280,64.553108,61.578102
290,64.618156,61.645526
300,64.686451,61.411567
310,64.72624,62.049857
320,64.803255,63.082027
330,65.029159,60.644921
340,65.062423,60.90601
350,65.008773,61.393983
360,68.391258,62.524042
370,67.274662,62.281453
380,72.119257,64.923246
390,73.732586,65.19247
400,75.060111,54.943928
410,77.641819,64.130931
420,75.831252,63.839677
430,72.572406,65.60924
440,75.205187,65.289464
450,79.95911,63.752734
460,75.220151,56.869704
470,74.36012,62.06594
480,75.728534,62.519982
490,74.477015,62.139429
500,74.721102,61.356193
