%  ./pipe-7-32768   ./pipe-7-32768/extracted_timings-e670561.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  23.8911361632653 ,  22.221893 ,  30.603762 ,  1.76872525436132 
% PVSPY_VIZ_TIMINGS ,  83.4907033877551 ,  3e-05 ,  96.58343 ,  14.679577550593 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,22.719726,95.339291
20,22.478843,96.58343
30,22.981575,96.239432
40,23.543394,89.297615
50,22.704467,88.780162
60,24.545166,56.240857
70,23.749343,88.97972
80,22.368078,90.174816
90,23.402668,87.938485
100,22.355596,89.970762
110,23.986756,87.321354
120,22.545302,89.548588
130,25.146165,85.904961
140,22.776897,88.545456
150,23.924194,88.928534
160,22.501066,88.486085
170,25.356821,85.786876
180,24.34052,85.278986
190,23.555886,85.877978
200,22.221893,86.794339
210,22.325994,87.762177
220,25.818525,83.212994
230,24.305089,84.665031
240,23.732451,85.778226
250,22.327094,88.273909
260,23.217793,85.561124
270,22.322213,87.175364
280,24.056455,86.446081
290,22.256242,87.121834
300,23.500399,86.029554
310,22.242673,87.271666
320,22.304813,87.173504
330,22.395258,87.517773
340,22.373713,87.64327
350,23.611546,85.512975
360,22.838805,87.645911
370,23.447555,84.896302
380,22.990328,82.706852
390,23.462767,80.112232
400,23.063576,58.642774
410,26.613797,53.888764
420,26.50743,89.605601
430,25.223908,87.813062
440,24.816235,89.738488
450,30.603762,80.764661
460,27.439933,82.768522
470,26.434749,80.929499
480,25.199466,82.368559
490,28.028747,3e-05
