%  ./pipe-7-32768   ./pipe-7-32768/extracted_timings-e670562.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  23.6912077777778 ,  22.571867 ,  24.784204 ,  0.6745804152011 
% PVSPY_VIZ_TIMINGS ,  84.0785695555556 ,  2.3e-05 ,  96.454569 ,  22.5736581625188 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,23.629319,96.145149
20,23.927689,96.404594
30,23.017204,96.454569
40,23.069801,89.715309
50,24.479591,89.07087
60,23.195994,57.632783
70,22.571867,90.262591
80,24.784204,90.795153
90,23.150313,90.256078
100,24.04834,87.994102
110,23.31963,90.451461
120,24.226088,89.36321
130,22.727799,89.465761
140,24.685644,87.679453
150,23.346636,88.758516
160,23.754495,89.506858
170,24.303106,93.457772
180,24.20402,2.3e-05
