%--------------------------------------------------- 
% Timings: Sat Dec 22 09:52:09 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07712e+05,	0.00000e+00,	1.10261e+01,	4.14868e+00,	6.87393e+00,	1.73807e-03,	1.70207e-03
1.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07725e+05,	2.22528e+01,	6.48031e+00,	1.26837e-01,	6.34953e+00,	2.64001e-03,	1.29795e-03
2.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07725e+05,	2.11008e+01,	6.44511e+00,	1.28835e-01,	6.31247e+00,	2.55489e-03,	1.24693e-03
3.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07727e+05,	2.19208e+01,	6.38991e+00,	1.28808e-01,	6.25709e+00,	2.72799e-03,	1.28293e-03
4.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07727e+05,	2.13477e+01,	6.48503e+00,	1.30103e-01,	6.35148e+00,	1.96481e-03,	1.47700e-03
5.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07727e+05,	2.13652e+01,	6.36243e+00,	1.29020e-01,	6.22936e+00,	1.73020e-03,	2.31504e-03
6.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07730e+05,	2.21443e+01,	6.41862e+00,	1.30119e-01,	6.28548e+00,	1.74212e-03,	1.27387e-03
7.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07730e+05,	2.19253e+01,	6.46855e+00,	1.29454e-01,	6.32103e+00,	1.72997e-03,	1.63331e-02
8.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07732e+05,	2.18635e+01,	6.37712e+00,	1.39515e-01,	6.23459e+00,	1.72901e-03,	1.28794e-03
9.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07739e+05,	2.18233e+01,	6.44904e+00,	1.29314e-01,	6.29936e+00,	1.73306e-03,	1.86350e-02
1.00000e+02,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07739e+05,	2.16487e+01,	6.41683e+00,	1.30336e-01,	6.28250e+00,	2.70104e-03,	1.28412e-03
1.10000e+02,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07739e+05,	2.18661e+01,	6.46336e+00,	1.29513e-01,	6.31577e+00,	2.66600e-03,	1.54040e-02
1.20000e+02,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07739e+05,	2.16349e+01,	6.44831e+00,	1.29473e-01,	6.31444e+00,	3.10779e-03,	1.28388e-03
1.30000e+02,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07749e+05,	2.17126e+01,	6.36544e+00,	1.29924e-01,	6.22738e+00,	1.94478e-03,	6.19102e-03
