%--------------------------------------------------- 
% Timings: Thu Feb  7 14:07:36 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	4.09600e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.35423e+01,	2.82849e+00,	1.05381e+01,	2.72107e-03,	1.72976e-01
1.00000e+01,	4.09600e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	1.25945e+02,	1.23651e+01,	1.98891e-02,	1.21231e+01,	2.92802e-03,	2.19258e-01
2.00000e+01,	4.09600e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	1.24023e+02,	1.03864e+01,	2.07150e-02,	1.02173e+01,	2.75302e-03,	1.45662e-01
3.00000e+01,	4.09600e+03,	2.09715e+06,	1.49882e+06,	1.44655e+06,	1.22844e+02,	1.08320e+01,	2.37770e-02,	1.06649e+01,	2.72298e-03,	1.40627e-01
4.00000e+01,	4.09600e+03,	2.09715e+06,	1.49882e+06,	1.44657e+06,	1.23168e+02,	1.19456e+01,	5.24669e-02,	1.17332e+01,	3.14212e-03,	1.56738e-01
5.00000e+01,	4.09600e+03,	2.09715e+06,	1.49883e+06,	1.44658e+06,	1.21517e+02,	1.09452e+01,	5.15659e-02,	1.07655e+01,	2.67696e-03,	1.25451e-01
6.00000e+01,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44653e+06,	1.22286e+02,	1.08915e+01,	2.39661e-02,	1.07369e+01,	3.02601e-03,	1.27593e-01
7.00000e+01,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44655e+06,	1.20373e+02,	1.12288e+01,	2.06831e-02,	1.10788e+01,	3.06201e-03,	1.26261e-01
8.00000e+01,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	1.20168e+02,	1.07172e+01,	2.01390e-02,	1.05299e+01,	2.74301e-03,	1.64461e-01
9.00000e+01,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	1.23272e+02,	1.05413e+01,	2.02160e-02,	1.03632e+01,	3.22721e-02,	1.25619e-01
1.00000e+02,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	1.20990e+02,	1.07726e+01,	2.01969e-02,	1.05781e+01,	2.78687e-03,	1.71474e-01
1.10000e+02,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	1.20115e+02,	1.09004e+01,	2.02301e-02,	1.07279e+01,	2.66910e-03,	1.49528e-01
1.20000e+02,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44657e+06,	1.20302e+02,	1.12486e+01,	3.85001e-02,	1.10668e+01,	2.69294e-03,	1.40561e-01
1.30000e+02,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44658e+06,	1.20379e+02,	1.05207e+01,	2.89741e-02,	1.03697e+01,	2.67506e-03,	1.19350e-01
