%--------------------------------------------------- 
% Timings: Fri Feb  8 21:28:36 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	8.19200e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.26572e+01,	2.79999e+00,	9.85216e+00,	2.72703e-03,	2.35105e-03
1.00000e+01,	8.19200e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	7.91221e+01,	2.41638e+01,	5.21278e-02,	8.47505e+00,	2.92206e-03,	1.56337e+01
2.00000e+01,	8.19200e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	7.12311e+01,	2.95678e+01,	4.40478e-02,	9.54287e+00,	2.73895e-03,	1.99782e+01
3.00000e+01,	8.19200e+03,	2.09715e+06,	1.49882e+06,	1.44655e+06,	7.26427e+01,	2.92354e+01,	1.45556e-01,	9.58424e+00,	2.69890e-03,	1.95029e+01
4.00000e+01,	8.19200e+03,	2.09715e+06,	1.49882e+06,	1.44657e+06,	6.86186e+01,	3.00835e+01,	7.26709e-02,	1.12066e+01,	1.35429e-02,	1.87907e+01
5.00000e+01,	8.19200e+03,	2.09715e+06,	1.49883e+06,	1.44658e+06,	6.93498e+01,	2.81019e+01,	5.93998e-02,	9.31122e+00,	1.01972e-02,	1.87211e+01
6.00000e+01,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44653e+06,	6.94855e+01,	9.60699e+00,	5.23911e-02,	9.48077e+00,	2.75397e-03,	7.10728e-02
7.00000e+01,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44655e+06,	6.71841e+01,	2.97573e+01,	4.08208e-02,	1.02983e+01,	2.75207e-03,	1.94154e+01
8.00000e+01,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	6.80698e+01,	2.74689e+01,	4.67288e-02,	9.52873e+00,	2.69890e-03,	1.78907e+01
9.00000e+01,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	6.81860e+01,	2.85264e+01,	1.39493e-01,	9.60001e+00,	1.10521e-02,	1.87758e+01
1.00000e+02,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	6.88953e+01,	2.91706e+01,	3.42510e-02,	1.04511e+01,	2.71583e-03,	1.86825e+01
1.10000e+02,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	6.78581e+01,	2.78148e+01,	3.45290e-02,	9.34924e+00,	2.75803e-03,	1.84282e+01
1.20000e+02,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44657e+06,	7.23678e+01,	2.30931e+01,	4.06830e-02,	9.52942e+00,	2.74611e-03,	1.35203e+01
