%  amr_in-transit-hpctoolkit/failed/pipe-7-08192   amr_in-transit-hpctoolkit/failed/pipe-7-08192/extracted_timings-e670554.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  65.5919021111111 ,  64.372687 ,  68.393718 ,  0.948386291767449 
% PVSPY_VIZ_TIMINGS ,  28.4514312222222 ,  2.7e-05 ,  34.742464 ,  7.11837086529422 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,65.926512,32.401748
20,64.379479,34.569577
30,66.380494,34.742464
40,65.511876,31.10488
50,65.025869,31.531522
60,66.051972,10.593037
70,64.817637,31.187865
80,65.664245,29.654593
90,65.742505,30.126337
100,65.4593,29.450192
110,64.74849,30.768801
120,65.579819,29.432386
130,64.615023,32.413679
140,66.375125,29.337335
150,65.754318,31.24661
160,64.783548,29.947938
170,68.393718,25.96506
180,66.396009,28.188106
190,65.685523,28.501912
200,65.605044,28.696389
210,65.097545,29.297344
220,67.085084,26.154246
230,67.031491,29.763623
240,64.372687,30.817278
250,64.441195,30.892528
260,65.548682,31.403166
270,64.508167,2.7e-05
