%--------------------------------------------------- 
% Timings: Wed Jan  2 19:36:03 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	1.63840e+04,	2.09715e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.39855e+01,	2.82757e+00,	1.11536e+01,	2.73299e-03,	1.58215e-03
1.00000e+01,	1.63840e+04,	2.09715e+06,	1.49887e+06,	1.44658e+06,	5.73583e+01,	6.25297e+01,	6.41129e-02,	1.15399e+01,	2.74301e-03,	5.09230e+01
2.00000e+01,	1.63840e+04,	2.09715e+06,	1.49887e+06,	1.44658e+06,	3.81373e+01,	6.42765e+01,	6.52320e-02,	1.19295e+01,	2.75898e-03,	5.22790e+01
3.00000e+01,	1.63840e+04,	2.09715e+06,	1.49882e+06,	1.44655e+06,	4.00219e+01,	6.34701e+01,	6.87549e-02,	1.19248e+01,	3.00813e-03,	5.14735e+01
4.00000e+01,	1.63840e+04,	2.09715e+06,	1.49882e+06,	1.44657e+06,	3.94729e+01,	6.06853e+01,	8.23009e-02,	1.17319e+01,	2.56181e-03,	4.88685e+01
5.00000e+01,	1.63840e+04,	2.09715e+06,	1.49883e+06,	1.44658e+06,	3.86454e+01,	6.24426e+01,	7.06420e-02,	1.22225e+01,	2.93803e-03,	5.01465e+01
6.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44653e+06,	3.98591e+01,	3.67566e+01,	7.12960e-02,	1.18485e+01,	3.33095e-03,	2.48334e+01
7.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44655e+06,	3.94971e+01,	6.14839e+01,	6.57480e-02,	1.19066e+01,	1.15030e-02,	4.95000e+01
8.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.85724e+01,	6.13921e+01,	6.58751e-02,	1.16787e+01,	3.43108e-03,	4.96441e+01
9.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.86385e+01,	6.13416e+01,	6.60179e-02,	1.20063e+01,	2.70796e-03,	4.92666e+01
1.00000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.93103e+01,	6.12039e+01,	6.55520e-02,	1.20922e+01,	3.38507e-03,	4.90428e+01
1.10000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.85887e+01,	6.12791e+01,	6.57992e-02,	1.21955e+01,	2.56896e-03,	4.90152e+01
1.20000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44657e+06,	3.86968e+01,	5.94595e+01,	6.60930e-02,	1.07863e+01,	3.35288e-03,	4.86037e+01
1.30000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44658e+06,	3.94595e+01,	5.85438e+01,	6.59640e-02,	1.11658e+01,	2.32100e-03,	4.73096e+01
