%--------------------------------------------------- 
% Timings: Sat Feb  9 01:41:59 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	1.63840e+04,	2.09715e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.12740e+01,	2.81578e+00,	8.40703e+00,	1.75328e-02,	3.36351e-02
1.00000e+01,	1.63840e+04,	2.09715e+06,	1.49887e+06,	1.44658e+06,	4.90381e+01,	5.50367e+01,	9.53732e-02,	8.29073e+00,	5.19280e-02,	4.65987e+01
2.00000e+01,	1.63840e+04,	2.09715e+06,	1.49887e+06,	1.44658e+06,	4.09651e+01,	5.83670e+01,	7.60090e-02,	9.74553e+00,	2.67601e-03,	4.85428e+01
3.00000e+01,	1.63840e+04,	2.09715e+06,	1.49882e+06,	1.44655e+06,	4.44326e+01,	5.60236e+01,	1.95717e-01,	9.35808e+00,	5.95531e-02,	4.64102e+01
4.00000e+01,	1.63840e+04,	2.09715e+06,	1.49882e+06,	1.44657e+06,	4.23292e+01,	5.40580e+01,	6.53708e-02,	9.33047e+00,	4.02601e-02,	4.46218e+01
5.00000e+01,	1.63840e+04,	2.09715e+06,	1.49883e+06,	1.44658e+06,	4.14630e+01,	5.62234e+01,	8.56659e-02,	9.55639e+00,	2.68102e-03,	4.65786e+01
6.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44653e+06,	4.06755e+01,	3.31351e+01,	7.11410e-02,	9.25467e+00,	2.96750e-02,	2.37797e+01
7.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44655e+06,	4.17693e+01,	5.55446e+01,	6.59549e-02,	9.65063e+00,	3.30510e-02,	4.57949e+01
8.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	5.68105e+01,	4.14141e+01,	6.65989e-02,	9.07508e+00,	2.71010e-03,	3.22697e+01
9.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.97433e+01,	5.85185e+01,	1.46908e-01,	9.39393e+00,	1.82340e-02,	4.89594e+01
1.00000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.97663e+01,	5.74110e+01,	6.58941e-02,	9.53648e+00,	2.92301e-03,	4.78057e+01
1.10000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	4.05012e+01,	5.65044e+01,	7.92921e-02,	9.99088e+00,	3.29220e-02,	4.64013e+01
1.20000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44657e+06,	4.01424e+01,	5.56100e+01,	6.53448e-02,	8.88532e+00,	2.70641e-02,	4.66323e+01
1.30000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44658e+06,	3.93882e+01,	5.70854e+01,	6.55770e-02,	9.50552e+00,	3.41220e-02,	4.74802e+01
1.40000e+02,	1.63840e+04,	2.09715e+06,	1.49876e+06,	1.44657e+06,	4.03361e+01,	5.60337e+01,	1.06130e-01,	9.38909e+00,	3.11871e-02,	4.65073e+01
1.50000e+02,	1.63840e+04,	2.09715e+06,	1.49876e+06,	1.44658e+06,	3.92756e+01,	5.76348e+01,	6.54912e-02,	9.69284e+00,	3.18301e-02,	4.78446e+01
