%  ./failed/pipe-7-16384   ./failed/pipe-7-16384/extracted_timings-e692657.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  40.14229308 ,  37.097901 ,  52.633551 ,  3.63081249928477 
% PVSPY_VIZ_TIMINGS ,  57.96262822 ,  2.4e-05 ,  65.312315 ,  9.37157642846203 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,52.633551,63.569839
20,37.105846,65.312315
30,38.982851,64.513127
40,38.43499,61.726055
50,37.611174,63.480177
60,38.82584,37.810547
70,38.464233,62.521918
80,37.539595,62.428908
90,37.605904,62.377563
100,38.274592,62.242757
110,37.556532,62.314228
120,37.662326,60.496842
130,38.423175,59.58452
140,37.932086,60.508292
150,37.637808,61.221801
160,38.253548,60.679
170,39.806172,59.527349
180,37.991769,59.749573
190,38.063963,59.459973
200,37.987,59.573883
210,37.097901,62.123721
220,38.302209,58.408807
230,39.918431,55.809111
240,37.174193,57.55222
250,37.108509,59.065721
260,37.764272,57.098804
270,38.197347,59.340122
280,37.187233,57.890702
290,37.232973,58.799924
300,38.348162,56.455604
310,38.579486,56.738222
320,37.472806,57.27018
330,38.484113,57.27751
340,38.23063,59.812106
350,37.578873,59.19345
360,37.5559,58.918503
370,40.730489,56.760734
380,44.109953,61.695992
390,43.714377,58.935107
400,44.129475,65.222577
410,45.50216,50.68095
420,43.984056,63.095251
430,42.457381,61.950417
440,44.045733,58.637601
450,48.03674,57.576346
460,45.445133,55.727026
470,44.642723,55.464252
480,45.364894,55.775126
490,45.635033,55.756634
500,46.290514,2.4e-05
