%--------------------------------------------------- 
% Timings: Mon Dec 24 23:06:10 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	3.27680e+04,	3.27680e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	9.80260e+00,	2.94828e+00,	6.83825e+00,	2.73609e-03,	1.33250e-02
1.00000e+01,	3.27680e+04,	3.27680e+06,	1.49887e+06,	1.44658e+06,	3.00091e+01,	9.53423e+01,	1.39808e-01,	6.99186e+00,	2.73395e-03,	8.82079e+01
2.00000e+01,	3.27680e+04,	3.27680e+06,	1.49887e+06,	1.44658e+06,	2.47119e+01,	9.56165e+01,	1.44172e-01,	6.89584e+00,	2.93779e-03,	8.85736e+01
3.00000e+01,	3.27680e+04,	3.27680e+06,	1.49882e+06,	1.44655e+06,	2.38018e+01,	9.56646e+01,	1.43421e-01,	7.07898e+00,	1.75390e-02,	8.84247e+01
4.00000e+01,	3.27680e+04,	3.27680e+06,	1.49882e+06,	1.44657e+06,	2.38527e+01,	8.89159e+01,	1.43803e-01,	6.75562e+00,	2.13170e-02,	8.19951e+01
5.00000e+01,	3.27680e+04,	3.27680e+06,	1.49883e+06,	1.44658e+06,	2.52705e+01,	8.82610e+01,	1.47469e-01,	6.86883e+00,	2.79498e-03,	8.12419e+01
6.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44653e+06,	2.39819e+01,	5.68236e+01,	1.46209e-01,	6.75129e+00,	2.72489e-03,	4.99234e+01
7.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44655e+06,	2.33578e+01,	8.94704e+01,	1.41682e-01,	6.82646e+00,	3.21679e-02,	8.24701e+01
8.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44656e+06,	2.55719e+01,	8.99719e+01,	1.58782e-01,	6.66968e+00,	2.85316e-03,	8.31406e+01
9.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44656e+06,	2.39357e+01,	8.94409e+01,	1.57269e-01,	6.75572e+00,	3.90100e-02,	8.24889e+01
1.00000e+02,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44656e+06,	2.48333e+01,	8.72057e+01,	1.43092e-01,	6.92224e+00,	1.82011e-02,	8.01222e+01
1.10000e+02,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44656e+06,	2.41077e+01,	8.96450e+01,	1.61999e-01,	6.87825e+00,	2.98810e-03,	8.26018e+01
1.20000e+02,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44657e+06,	2.50134e+01,	8.85557e+01,	1.63237e-01,	6.96484e+00,	2.47598e-03,	8.14251e+01
1.30000e+02,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44658e+06,	2.35124e+01,	8.86776e+01,	1.36704e-01,	6.74269e+00,	2.83694e-03,	8.17953e+01
1.40000e+02,	3.27680e+04,	3.27680e+06,	1.49876e+06,	1.44657e+06,	2.54712e+01,	8.68898e+01,	1.47698e-01,	6.73146e+00,	2.95186e-03,	8.00077e+01
1.50000e+02,	3.27680e+04,	3.27680e+06,	1.49876e+06,	1.44658e+06,	2.41338e+01,	8.79351e+01,	1.51998e-01,	6.79899e+00,	3.72910e-02,	8.09468e+01
1.60000e+02,	3.27680e+04,	3.27680e+06,	1.49876e+06,	1.44659e+06,	2.45390e+01,	8.86598e+01,	1.46544e-01,	6.98757e+00,	7.48301e-03,	8.15182e+01
1.70000e+02,	3.27680e+04,	3.27680e+06,	1.49845e+06,	1.44636e+06,	2.50889e+01,	9.26599e+01,	1.49542e-01,	7.17067e+00,	3.02911e-03,	8.53367e+01
