%  ./failed/pipe-7-32768   ./failed/pipe-7-32768/extracted_timings-e670560.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  23.936895875 ,  21.985511 ,  25.358766 ,  0.766274880877687 
% PVSPY_VIZ_TIMINGS ,  85.2422722083333 ,  4e-05 ,  98.63986 ,  19.5629797566217 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,24.688814,96.769308
20,23.582581,96.64891
30,23.612714,98.63986
40,24.131309,89.880812
50,22.901594,91.79098
60,24.983198,57.806397
70,24.205668,90.41812
80,22.951321,90.316185
90,24.508427,88.673069
100,23.370647,90.83068
110,24.179061,89.096624
120,23.330662,90.303971
130,24.257663,89.627112
140,23.68845,89.445488
150,24.537203,89.269087
160,21.985511,91.178158
170,25.358766,88.642857
180,24.265095,88.509385
190,24.719851,86.889082
200,23.290395,88.039535
210,23.512605,88.456118
220,24.1491,86.729546
230,24.680037,87.853209
240,23.594829,4e-05
