%--------------------------------------------------- 
% Timings: Tue Feb  5 17:19:55 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	6.55360e+04,	6.55360e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.27096e+01,	3.91295e+00,	8.79169e+00,	2.82192e-03,	2.12097e-03
1.00000e+01,	6.55360e+04,	6.55360e+06,	1.49887e+06,	1.44658e+06,	2.23199e+01,	1.04711e+02,	2.66404e-01,	8.87720e+00,	2.74205e-03,	9.55651e+01
2.00000e+01,	6.55360e+04,	6.55360e+06,	1.49887e+06,	1.44658e+06,	1.51876e+01,	1.03127e+02,	2.51094e-01,	9.14811e+00,	2.76804e-03,	9.37254e+01
3.00000e+01,	6.55360e+04,	6.55360e+06,	1.49882e+06,	1.44655e+06,	1.56231e+01,	1.02766e+02,	2.55960e-01,	8.94212e+00,	2.75612e-03,	9.35652e+01
4.00000e+01,	6.55360e+04,	6.55360e+06,	1.49882e+06,	1.44657e+06,	1.45060e+01,	1.00326e+02,	2.51180e-01,	8.86516e+00,	2.71082e-03,	9.12074e+01
5.00000e+01,	6.55360e+04,	6.55360e+06,	1.49883e+06,	1.44658e+06,	1.48307e+01,	9.93382e+01,	2.56129e-01,	8.93833e+00,	2.70891e-03,	9.01411e+01
6.00000e+01,	6.55360e+04,	6.55360e+06,	1.49877e+06,	1.44653e+06,	1.50385e+01,	6.50190e+01,	2.55028e-01,	8.91726e+00,	2.74301e-03,	5.58440e+01
7.00000e+01,	6.55360e+04,	6.55360e+06,	1.49877e+06,	1.44655e+06,	1.44093e+01,	1.00327e+02,	2.51687e-01,	8.94909e+00,	2.74515e-03,	9.11238e+01
8.00000e+01,	6.55360e+04,	6.55360e+06,	1.49877e+06,	1.44656e+06,	1.61326e+01,	9.89785e+01,	2.52501e-01,	9.34457e+00,	1.90783e-03,	8.93795e+01
9.00000e+01,	6.55360e+04,	6.55360e+06,	1.49877e+06,	1.44656e+06,	1.77030e+01,	9.56007e+01,	2.51706e-01,	8.82749e+00,	2.81000e-03,	8.65187e+01
