%--------------------------------------------------- 
% Timings: Wed Feb  6 10:41:12 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	1.28000e+02,	6.55360e+04,	3.30940e+04,	3.00800e+04,	0.00000e+00,	1.28172e+01,	5.12909e+00,	7.51159e+00,	1.70493e-03,	1.74821e-01
1.00000e+01,	1.28000e+02,	6.55360e+04,	3.30940e+04,	3.00800e+04,	7.34805e+01,	7.90227e+00,	3.55020e-02,	7.71540e+00,	4.33493e-03,	1.47033e-01
2.00000e+01,	1.28000e+02,	6.55360e+04,	3.30940e+04,	3.00800e+04,	7.22815e+01,	8.02099e+00,	3.75051e-02,	7.82717e+00,	1.70612e-03,	1.54604e-01
3.00000e+01,	1.28000e+02,	6.55360e+04,	3.30940e+04,	3.00800e+04,	7.24287e+01,	8.02990e+00,	3.78711e-02,	7.82571e+00,	1.70994e-03,	1.64611e-01
4.00000e+01,	1.28000e+02,	6.55360e+04,	3.30940e+04,	3.00840e+04,	7.22326e+01,	7.95433e+00,	3.74351e-02,	7.76630e+00,	1.71304e-03,	1.48872e-01
5.00000e+01,	1.28000e+02,	6.55360e+04,	3.30940e+04,	3.00850e+04,	7.22688e+01,	8.00688e+00,	3.70021e-02,	7.82010e+00,	1.70302e-03,	1.48066e-01
6.00000e+01,	1.28000e+02,	6.55360e+04,	3.30940e+04,	3.00870e+04,	7.23528e+01,	7.89925e+00,	3.65150e-02,	7.73145e+00,	1.70708e-03,	1.29572e-01
7.00000e+01,	1.28000e+02,	6.55360e+04,	3.30660e+04,	3.00810e+04,	7.45669e+01,	7.80550e+00,	3.76680e-02,	7.76468e+00,	1.71614e-03,	1.42503e-03
8.00000e+01,	1.28000e+02,	6.55360e+04,	3.30450e+04,	3.00640e+04,	7.32596e+01,	7.84565e+00,	3.70412e-02,	7.80551e+00,	1.71995e-03,	1.37901e-03
9.00000e+01,	1.28000e+02,	6.55360e+04,	3.30450e+04,	3.00760e+04,	7.22754e+01,	7.76422e+00,	3.82948e-02,	7.72289e+00,	1.70398e-03,	1.32704e-03
