%--------------------------------------------------- 
% Timings: Mon Feb 11 18:13:37 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	1.28000e+02,	6.55360e+04,	3.30940e+04,	3.00800e+04,	0.00000e+00,	1.29442e+01,	5.16682e+00,	7.60781e+00,	1.73211e-03,	1.67803e-01
1.00000e+01,	1.28000e+02,	6.55360e+04,	3.30940e+04,	3.00800e+04,	7.34436e+01,	8.41514e+00,	3.56259e-02,	8.21550e+00,	1.71494e-03,	1.62298e-01
2.00000e+01,	1.28000e+02,	6.55360e+04,	3.30940e+04,	3.00800e+04,	7.18108e+01,	7.84106e+00,	3.68180e-02,	7.66182e+00,	1.70898e-03,	1.40710e-01
3.00000e+01,	1.28000e+02,	6.55360e+04,	3.30940e+04,	3.00800e+04,	7.17556e+01,	7.80657e+00,	3.70791e-02,	7.62261e+00,	1.71494e-03,	1.45169e-01
4.00000e+01,	1.28000e+02,	6.55360e+04,	3.30940e+04,	3.00840e+04,	7.17051e+01,	7.82810e+00,	3.76730e-02,	7.61676e+00,	1.75190e-03,	1.71915e-01
5.00000e+01,	1.28000e+02,	6.55360e+04,	3.30940e+04,	3.00850e+04,	7.17576e+01,	8.32803e+00,	3.73371e-02,	8.14420e+00,	1.70088e-03,	1.44792e-01
6.00000e+01,	1.28000e+02,	6.55360e+04,	3.30940e+04,	3.00870e+04,	7.19149e+01,	7.79598e+00,	3.80480e-02,	7.61236e+00,	1.71089e-03,	1.43858e-01
7.00000e+01,	1.28000e+02,	6.55360e+04,	3.30660e+04,	3.00810e+04,	7.39279e+01,	7.76945e+00,	3.79081e-02,	7.72854e+00,	1.70398e-03,	1.29390e-03
8.00000e+01,	1.28000e+02,	6.55360e+04,	3.30450e+04,	3.00640e+04,	7.28787e+01,	7.69071e+00,	3.83482e-02,	7.64927e+00,	1.70493e-03,	1.38593e-03
9.00000e+01,	1.28000e+02,	6.55360e+04,	3.30450e+04,	3.00760e+04,	7.82847e+01,	7.70690e+00,	3.68550e-02,	7.66600e+00,	2.70605e-03,	1.33514e-03
1.00000e+02,	1.28000e+02,	6.55360e+04,	3.30450e+04,	3.00760e+04,	7.21543e+01,	7.82770e+00,	3.63789e-02,	7.78821e+00,	1.71614e-03,	1.39785e-03
1.10000e+02,	1.28000e+02,	6.55360e+04,	3.30450e+04,	3.00760e+04,	7.22545e+01,	7.74870e+00,	3.69051e-02,	7.70824e+00,	2.31099e-03,	1.23596e-03
1.20000e+02,	1.28000e+02,	6.55360e+04,	3.30450e+04,	3.00770e+04,	7.23008e+01,	7.69956e+00,	3.62649e-02,	7.66019e+00,	1.70898e-03,	1.39618e-03
1.30000e+02,	1.28000e+02,	6.55360e+04,	3.30450e+04,	3.00770e+04,	7.22035e+01,	7.80492e+00,	3.68459e-02,	7.76509e+00,	1.71113e-03,	1.28198e-03
1.40000e+02,	1.28000e+02,	6.55360e+04,	3.30450e+04,	3.00800e+04,	7.24212e+01,	7.64403e+00,	3.79319e-02,	7.60300e+00,	1.70398e-03,	1.39713e-03
1.50000e+02,	1.28000e+02,	6.55360e+04,	3.30450e+04,	3.00820e+04,	7.27764e+01,	7.70579e+00,	3.65989e-02,	7.66614e+00,	1.70302e-03,	1.34611e-03
1.60000e+02,	1.28000e+02,	6.55360e+04,	3.30380e+04,	3.00790e+04,	7.34420e+01,	7.68876e+00,	3.64718e-02,	7.64926e+00,	1.71089e-03,	1.30701e-03
1.70000e+02,	1.28000e+02,	6.55360e+04,	3.30380e+04,	3.00810e+04,	7.32224e+01,	7.65032e+00,	3.68090e-02,	7.61050e+00,	1.70302e-03,	1.30987e-03
1.80000e+02,	1.28000e+02,	6.55360e+04,	3.30380e+04,	3.00850e+04,	7.36239e+01,	7.69554e+00,	3.68459e-02,	7.65563e+00,	1.71018e-03,	1.34897e-03
1.90000e+02,	1.28000e+02,	6.55360e+04,	3.30380e+04,	3.00870e+04,	7.42729e+01,	7.62058e+00,	7.43229e-02,	7.54236e+00,	2.55990e-03,	1.33991e-03
2.00000e+02,	1.28000e+02,	6.55360e+04,	3.30310e+04,	3.00930e+04,	7.48423e+01,	7.61741e+00,	3.60210e-02,	7.57831e+00,	1.71018e-03,	1.36304e-03
2.10000e+02,	1.28000e+02,	6.55360e+04,	3.30240e+04,	3.00870e+04,	7.56371e+01,	7.63525e+00,	3.63700e-02,	7.59578e+00,	1.70517e-03,	1.39093e-03
2.20000e+02,	1.28000e+02,	6.55360e+04,	3.30100e+04,	3.00740e+04,	7.57725e+01,	7.57767e+00,	3.70159e-02,	7.53757e+00,	1.71018e-03,	1.36995e-03
2.30000e+02,	1.28000e+02,	6.55360e+04,	3.30100e+04,	3.00760e+04,	7.55646e+01,	7.69041e+00,	3.77259e-02,	7.64967e+00,	1.70302e-03,	1.30796e-03
2.40000e+02,	1.28000e+02,	6.55360e+04,	3.30100e+04,	3.00760e+04,	7.59055e+01,	7.40736e+00,	3.56121e-02,	7.36723e+00,	1.74904e-03,	2.76303e-03
2.50000e+02,	1.28000e+02,	6.55360e+04,	3.30100e+04,	3.00840e+04,	7.64734e+01,	7.69462e+00,	3.72570e-02,	7.65432e+00,	1.71089e-03,	1.32704e-03
2.60000e+02,	1.28000e+02,	6.55360e+04,	3.29960e+04,	3.00700e+04,	7.72760e+01,	7.59356e+00,	3.67930e-02,	7.55370e+00,	1.72281e-03,	1.33681e-03
2.70000e+02,	1.28000e+02,	6.55360e+04,	3.29750e+04,	3.00690e+04,	7.79791e+01,	7.60736e+00,	3.80371e-02,	7.56622e+00,	1.70398e-03,	1.40285e-03
2.80000e+02,	1.28000e+02,	6.55360e+04,	3.29750e+04,	3.00690e+04,	7.70697e+01,	7.71669e+00,	3.58188e-02,	7.66413e+00,	1.76883e-03,	1.49710e-02
2.90000e+02,	1.28000e+02,	6.55360e+04,	3.29750e+04,	3.00690e+04,	7.72592e+01,	7.66340e+00,	3.70500e-02,	7.62329e+00,	1.71018e-03,	1.35279e-03
3.00000e+02,	1.28000e+02,	6.55360e+04,	3.29540e+04,	3.00490e+04,	7.91989e+01,	7.66802e+00,	3.74291e-02,	7.62760e+00,	1.71399e-03,	1.27411e-03
3.10000e+02,	1.28000e+02,	6.55360e+04,	3.29680e+04,	3.00690e+04,	7.77054e+01,	7.72719e+00,	3.94821e-02,	7.68479e+00,	1.70493e-03,	1.21403e-03
3.20000e+02,	1.28000e+02,	6.55360e+04,	3.29470e+04,	3.00500e+04,	7.82122e+01,	7.75815e+00,	3.83871e-02,	7.71674e+00,	1.70898e-03,	1.31297e-03
3.30000e+02,	1.28000e+02,	6.55360e+04,	3.29120e+04,	3.00270e+04,	7.84010e+01,	7.66949e+00,	3.73321e-02,	7.62907e+00,	1.70398e-03,	1.39189e-03
3.40000e+02,	1.28000e+02,	6.55360e+04,	3.29120e+04,	3.00270e+04,	7.81800e+01,	7.54341e+00,	3.67291e-02,	7.50357e+00,	1.71399e-03,	1.40190e-03
3.50000e+02,	1.28000e+02,	6.55360e+04,	3.28910e+04,	3.00060e+04,	7.77151e+01,	7.50029e+00,	3.83091e-02,	7.45894e+00,	1.71399e-03,	1.31893e-03
3.60000e+02,	1.28000e+02,	6.55360e+04,	3.28700e+04,	2.99850e+04,	7.85339e+01,	7.56443e+00,	3.69391e-02,	7.52362e+00,	2.50506e-03,	1.36280e-03
3.70000e+02,	1.28000e+02,	6.55360e+04,	3.28560e+04,	2.99710e+04,	7.78337e+01,	7.65962e+00,	3.83079e-02,	7.61824e+00,	1.71208e-03,	1.36018e-03
3.80000e+02,	1.28000e+02,	6.55360e+04,	3.28490e+04,	2.99640e+04,	7.72403e+01,	7.64619e+00,	3.80321e-02,	7.60509e+00,	1.71208e-03,	1.36089e-03
3.90000e+02,	1.28000e+02,	6.55360e+04,	3.28490e+04,	2.99640e+04,	7.69564e+01,	7.59768e+00,	3.75421e-02,	7.55702e+00,	1.71185e-03,	1.40095e-03
4.00000e+02,	1.28000e+02,	6.55360e+04,	3.28420e+04,	2.99570e+04,	7.74292e+01,	7.55270e+00,	3.83570e-02,	7.51123e+00,	1.70207e-03,	1.41096e-03
4.10000e+02,	1.28000e+02,	6.55360e+04,	3.28350e+04,	2.99530e+04,	7.74717e+01,	7.63031e+00,	3.65222e-02,	7.59073e+00,	1.71185e-03,	1.35088e-03
