%--------------------------------------------------- 
% Timings: Tue Dec 18 17:36:38 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	2.56000e+02,	6.55360e+04,	3.30940e+04,	3.00800e+04,	0.00000e+00,	1.27436e+01,	4.99419e+00,	7.74646e+00,	1.68896e-03,	1.29294e-03
1.00000e+01,	2.56000e+02,	6.55360e+04,	3.30940e+04,	3.00800e+04,	6.42863e+01,	7.89151e+00,	6.58109e-02,	7.81406e+00,	1.70016e-03,	9.93919e-03
2.00000e+01,	2.56000e+02,	6.55360e+04,	3.30940e+04,	3.00800e+04,	4.82528e+01,	7.88279e+00,	6.82931e-02,	7.80148e+00,	1.69206e-03,	1.13220e-02
3.00000e+01,	2.56000e+02,	6.55360e+04,	3.30940e+04,	3.00800e+04,	5.09421e+01,	7.78418e+00,	6.86150e-02,	7.70513e+00,	1.70612e-03,	8.72707e-03
4.00000e+01,	2.56000e+02,	6.55360e+04,	3.30940e+04,	3.00840e+04,	4.26943e+01,	7.78060e+00,	6.88829e-02,	7.70336e+00,	2.61497e-03,	5.74422e-03
5.00000e+01,	2.56000e+02,	6.55360e+04,	3.30940e+04,	3.00850e+04,	3.81630e+01,	7.87456e+00,	6.90410e-02,	7.79538e+00,	1.69110e-03,	8.44908e-03
6.00000e+01,	2.56000e+02,	6.55360e+04,	3.30940e+04,	3.00870e+04,	3.83060e+01,	7.80749e+00,	6.90389e-02,	7.73559e+00,	1.71995e-03,	1.13916e-03
7.00000e+01,	2.56000e+02,	6.55360e+04,	3.30660e+04,	3.00810e+04,	3.94845e+01,	7.78035e+00,	6.93300e-02,	7.70530e+00,	2.01607e-03,	3.69883e-03
8.00000e+01,	2.56000e+02,	6.55360e+04,	3.30450e+04,	3.00640e+04,	3.87920e+01,	7.78073e+00,	6.88932e-02,	7.69512e+00,	1.69706e-03,	1.50189e-02
9.00000e+01,	2.56000e+02,	6.55360e+04,	3.30450e+04,	3.00760e+04,	4.01636e+01,	7.69507e+00,	6.88651e-02,	7.62228e+00,	1.70517e-03,	2.21992e-03
1.00000e+02,	2.56000e+02,	6.55360e+04,	3.30450e+04,	3.00760e+04,	4.22853e+01,	7.94120e+00,	6.94859e-02,	7.86824e+00,	1.69897e-03,	1.76716e-03
1.10000e+02,	2.56000e+02,	6.55360e+04,	3.30450e+04,	3.00760e+04,	3.84200e+01,	7.81745e+00,	6.84690e-02,	7.74515e+00,	1.70398e-03,	2.12693e-03
1.20000e+02,	2.56000e+02,	6.55360e+04,	3.30450e+04,	3.00770e+04,	3.88496e+01,	7.78769e+00,	6.87280e-02,	7.71029e+00,	1.69301e-03,	6.98400e-03
1.30000e+02,	2.56000e+02,	6.55360e+04,	3.30450e+04,	3.00770e+04,	3.84683e+01,	7.80911e+00,	6.86431e-02,	7.73550e+00,	1.70803e-03,	3.25584e-03
1.40000e+02,	2.56000e+02,	6.55360e+04,	3.30450e+04,	3.00800e+04,	3.86095e+01,	7.78886e+00,	6.84400e-02,	7.71758e+00,	1.70493e-03,	1.12510e-03
1.50000e+02,	2.56000e+02,	6.55360e+04,	3.30450e+04,	3.00820e+04,	3.89005e+01,	7.69000e+00,	6.88829e-02,	7.61637e+00,	1.70398e-03,	3.03698e-03
1.60000e+02,	2.56000e+02,	6.55360e+04,	3.30380e+04,	3.00790e+04,	3.94246e+01,	7.77391e+00,	6.90739e-02,	7.70200e+00,	1.70493e-03,	1.12605e-03
1.70000e+02,	2.56000e+02,	6.55360e+04,	3.30380e+04,	3.00810e+04,	4.46775e+01,	7.69008e+00,	6.92830e-02,	7.61283e+00,	2.97713e-03,	4.98295e-03
1.80000e+02,	2.56000e+02,	6.55360e+04,	3.30380e+04,	3.00850e+04,	4.02824e+01,	7.84279e+00,	6.82609e-02,	7.76651e+00,	1.70183e-03,	6.31499e-03
1.90000e+02,	2.56000e+02,	6.55360e+04,	3.30380e+04,	3.00870e+04,	4.01800e+01,	7.82840e+00,	6.93789e-02,	7.75059e+00,	1.70493e-03,	6.71911e-03
2.00000e+02,	2.56000e+02,	6.55360e+04,	3.30310e+04,	3.00930e+04,	4.68365e+01,	8.35003e+00,	4.06709e-01,	7.82086e+00,	1.72091e-03,	1.20747e-01
2.10000e+02,	2.56000e+02,	6.55360e+04,	3.30240e+04,	3.00870e+04,	4.75445e+01,	8.06330e+00,	6.94201e-02,	7.87242e+00,	1.71399e-03,	1.19751e-01
2.20000e+02,	2.56000e+02,	6.55360e+04,	3.30100e+04,	3.00740e+04,	4.95754e+01,	8.01339e+00,	7.15480e-02,	7.82106e+00,	1.69683e-03,	1.19082e-01
2.30000e+02,	2.56000e+02,	6.55360e+04,	3.30100e+04,	3.00760e+04,	4.69704e+01,	7.99025e+00,	6.96890e-02,	7.79677e+00,	1.70803e-03,	1.22082e-01
2.40000e+02,	2.56000e+02,	6.55360e+04,	3.30100e+04,	3.00760e+04,	4.56230e+01,	8.07521e+00,	6.89211e-02,	7.87713e+00,	1.86992e-03,	1.27286e-01
2.50000e+02,	2.56000e+02,	6.55360e+04,	3.30100e+04,	3.00840e+04,	4.56614e+01,	8.08025e+00,	6.92568e-02,	7.88610e+00,	1.69897e-03,	1.23184e-01
2.60000e+02,	2.56000e+02,	6.55360e+04,	3.29960e+04,	3.00700e+04,	4.64818e+01,	8.01786e+00,	6.95360e-02,	7.82740e+00,	2.68292e-03,	1.18233e-01
2.70000e+02,	2.56000e+02,	6.55360e+04,	3.29750e+04,	3.00690e+04,	4.96835e+01,	8.10266e+00,	7.12209e-02,	7.90348e+00,	1.70612e-03,	1.26257e-01
