%--------------------------------------------------- 
% Timings: Wed Dec 19 04:41:14 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	1.02400e+03,	1.02400e+05,	3.30940e+04,	3.00800e+04,	0.00000e+00,	1.38902e+01,	5.48504e+00,	8.37134e+00,	1.70898e-03,	3.21529e-02
1.00000e+01,	1.02400e+03,	1.02400e+05,	3.30940e+04,	3.00800e+04,	1.50496e+01,	8.25286e+01,	2.48827e-01,	7.92517e+00,	1.71518e-03,	7.43528e+01
2.00000e+01,	1.02400e+03,	1.02400e+05,	3.30940e+04,	3.00800e+04,	1.29503e+01,	8.10201e+00,	2.52139e-01,	7.81114e+00,	1.77884e-03,	3.69480e-02
3.00000e+01,	1.02400e+03,	1.02400e+05,	3.30940e+04,	3.00800e+04,	1.21791e+01,	7.15916e+01,	2.52013e-01,	7.81529e+00,	1.73306e-03,	6.35226e+01
4.00000e+01,	1.02400e+03,	1.02400e+05,	3.30940e+04,	3.00840e+04,	1.20040e+01,	8.15483e+00,	2.51906e-01,	7.79755e+00,	1.79195e-03,	1.03578e-01
5.00000e+01,	1.02400e+03,	1.02400e+05,	3.30940e+04,	3.00850e+04,	1.20726e+01,	7.20400e+01,	2.54191e-01,	7.77341e+00,	1.91998e-03,	6.40105e+01
6.00000e+01,	1.02400e+03,	1.02400e+05,	3.30940e+04,	3.00870e+04,	1.27607e+01,	8.03949e+00,	2.53716e-01,	7.78273e+00,	1.86586e-03,	1.17302e-03
7.00000e+01,	1.02400e+03,	1.02400e+05,	3.30660e+04,	3.00810e+04,	1.33053e+01,	7.07535e+01,	2.53848e-01,	7.73370e+00,	1.70684e-03,	6.27642e+01
8.00000e+01,	1.02400e+03,	1.02400e+05,	3.30450e+04,	3.00640e+04,	1.38800e+01,	8.11538e+00,	2.53832e-01,	7.74713e+00,	1.70708e-03,	1.12704e-01
9.00000e+01,	1.02400e+03,	1.02400e+05,	3.30450e+04,	3.00760e+04,	1.23317e+01,	8.54322e+01,	2.54501e-01,	7.76982e+00,	1.71280e-03,	7.74062e+01
1.00000e+02,	1.02400e+03,	1.02400e+05,	3.30450e+04,	3.00760e+04,	1.23724e+01,	8.10005e+00,	2.55053e-01,	7.84213e+00,	1.70088e-03,	1.16396e-03
1.10000e+02,	1.02400e+03,	1.02400e+05,	3.30450e+04,	3.00760e+04,	1.21869e+01,	7.93268e+01,	2.53415e-01,	7.69117e+00,	1.69897e-03,	7.13805e+01
1.20000e+02,	1.02400e+03,	1.02400e+05,	3.30450e+04,	3.00770e+04,	1.22290e+01,	8.25209e+00,	2.53684e-01,	7.68338e+00,	1.70112e-03,	3.13320e-01
1.30000e+02,	1.02400e+03,	1.02400e+05,	3.30450e+04,	3.00770e+04,	1.21124e+01,	6.70689e+01,	2.52428e-01,	7.61513e+00,	2.80690e-03,	5.91985e+01
1.40000e+02,	1.02400e+03,	1.02400e+05,	3.30450e+04,	3.00800e+04,	1.22112e+01,	7.96047e+00,	2.54735e-01,	7.70283e+00,	1.71494e-03,	1.18685e-03
1.50000e+02,	1.02400e+03,	1.02400e+05,	3.30450e+04,	3.00820e+04,	1.23318e+01,	6.75040e+01,	2.53319e-01,	7.66801e+00,	1.71113e-03,	5.95810e+01
