Function  , sum  , mean  , min  , max  
MPI_Allgather , 1.4486006E8 , 23577.483723958332 , 8988.0 , 155012.0
MPI_Allgather , 3.55704E9 , 3473671.875 , 3521990.0 , 3541310.0
MPI_Allreduce , 1.781786E8 , 87001.26953125 , 11965.0 , 215598.0
MPI_Allreduce , 4.07762E7 , 19910.25390625 , 9987.0 , 83958.0
MPI_Allreduce , 2.78853E7 , 13615.869140625 , 8838.0 , 83664.0
MPI_Allreduce , 7.84898E7 , 38325.09765625 , 9555.0 , 143095.0
MPI_Allreduce , 2.749243E7 , 8949.358723958334 , 8820.0 , 70943.0
MPI_Allreduce , 3.32409E7 , 16230.908203125 , 9704.0 , 83914.0
MPI_Allreduce , 2.3961664E8 , 23400.0625 , 8203.0 , 143338.0
MPI_Barrier , 2.89541E9 , 2827548.828125 , 8493.0 , 2984500.0
MPI_Barrier , 2.04567E7 , 19977.24609375 , 10846.0 , 23992.0
MPI_Barrier , 4.32664E7 , 42252.34375 , 23543.0 , 47975.0
MPI_Barrier , 8.55969E7 , 83590.72265625 , 11994.0 , 191901.0
MPI_Barrier , 2.9773E8 , 290751.953125 , 11987.0 , 598924.0
MPI_Barrier , 1.77394E7 , 17323.6328125 , 8980.0 , 59979.0
MPI_Barrier , 8.78427E9 , 8578388.671875 , 956457.0 , 1.67826E7
MPI_Barrier , 2.56379E10 , 2.503701171875E7 , 7716210.0 , 3.40961E8
MPI_Barrier , 9.63834E9 , 9412441.40625 , 32550.0 , 9579260.0
MPI_Barrier , 5.2327E7 , 51100.5859375 , 47776.0 , 59978.0
MPI_Bcast , 4.51813E8 , 441223.6328125 , 11981.0 , 2145860.0
MPI_Bcast , 6.323192E8 , 18161.741727941175 , 8015.0 , 127488.0
MPI_Comm_dup , 9885280.0 , 9653.59375 , 10052.0 , 47935.0
MPI_Comm_split , 1.875334E8 , 61046.028645833336 , 9760.0 , 191386.0
MPI_Comm_split , 1.14089E7 , 11141.50390625 , 8015.0 , 19556.0
MPI_Irecv , 8674340.0 , 8471.03515625 , 11917.0 , 71803.0
MPI_Isend , 8.965251E7 , 14591.8798828125 , 11917.0 , 144257.0
MPI_Recv , 1.453576201E10 , 218385.84750600962 , 8366.0 , 1.55847E7
MPI_Reduce_scatter , 9.98819E7 , 24385.2294921875 , 9565.0 , 119898.0
MPI_Scan , 1.10971E7 , 10837.01171875 , 8944.0 , 47965.0
MPI_Scan , 1.09704E7 , 10713.28125 , 8789.0 , 59226.0
MPI_Send , 1.0004478309E11 , 2123912.684485394 , 8402.0 , 2.59703E7
MPI_Type_struct , 4.09629E7 , 13334.27734375 , 9852.0 , 83708.0
MPI_Type_struct , 2.027403E7 , 9899.4287109375 , 11922.0 , 84075.0
amrini_ , 8.44519E10 , 8.247255859375E7 , 8.24407E7 , 8.24965E7
cth , 8.16405E11 , 7.972705078125E8 , 7.78261E8 , 1.11203E9
pvspy_fil , 2.90876E9 , 2840585.9375 , 8298.0 , 3001120.0
pvspy_fin , 9.69069E9 , 9463564.453125 , 32550.0 , 9627230.0
pvspy_scf , 4.33024E7 , 42287.5 , 35534.0 , 47975.0
pvspy_stm , 3.57936E9 , 3495468.75 , 3545970.0 , 3561400.0
pvspy_viz , 3.64251E10 , 3.557138671875E7 , 1.60149E7 , 3.48731E8
pvspy_viz_sync_data , 2.6773E10 , 2.61455078125E7 , 8772320.0 , 3.41977E8
pvspy_viz_sync_metadata , 8.81459E9 , 8607998.046875 , 992542.0 , 1.67826E7
pvspy_viz_wait , 2.98089E8 , 291102.5390625 , 11987.0 , 598924.0
