%--------------------------------------------------- 
% Timings: Fri Dec 21 22:20:50 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07712e+05,	0.00000e+00,	1.15991e+01,	4.24489e+00,	7.35085e+00,	1.92404e-03,	1.38593e-03
1.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07725e+05,	3.94519e+01,	6.40211e+00,	6.62529e-02,	6.33095e+00,	2.67482e-03,	2.22898e-03
2.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07725e+05,	3.79991e+01,	6.30359e+00,	6.79822e-02,	6.23035e+00,	3.34001e-03,	1.90997e-03
3.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07727e+05,	3.70263e+01,	6.38478e+00,	6.87711e-02,	6.30929e+00,	1.73688e-03,	4.97603e-03
4.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07727e+05,	3.69596e+01,	6.35044e+00,	6.82909e-02,	6.27819e+00,	2.67911e-03,	1.27816e-03
5.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07727e+05,	3.69586e+01,	6.37137e+00,	6.84559e-02,	6.29499e+00,	2.72512e-03,	5.19300e-03
6.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07730e+05,	3.76316e+01,	6.29963e+00,	6.86431e-02,	6.22597e+00,	2.51007e-03,	2.50793e-03
7.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07730e+05,	3.70507e+01,	6.35911e+00,	7.67388e-02,	6.26955e+00,	2.54416e-03,	1.02742e-02
8.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07732e+05,	3.70745e+01,	6.35524e+00,	6.83680e-02,	6.28075e+00,	2.45404e-03,	3.66306e-03
9.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07739e+05,	3.81220e+01,	6.32298e+00,	6.86910e-02,	6.24765e+00,	1.72877e-03,	4.90379e-03
1.00000e+02,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07739e+05,	3.70205e+01,	6.30859e+00,	6.86190e-02,	6.22802e+00,	2.20418e-03,	9.75108e-03
1.10000e+02,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07739e+05,	3.70865e+01,	6.41563e+00,	6.89578e-02,	6.34070e+00,	1.80292e-03,	4.15683e-03
1.20000e+02,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07739e+05,	3.71321e+01,	6.29432e+00,	6.89600e-02,	6.21927e+00,	1.72687e-03,	4.35901e-03
1.30000e+02,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07749e+05,	3.71368e+01,	6.37390e+00,	6.90579e-02,	6.29274e+00,	1.84393e-03,	1.02570e-02
1.40000e+02,	2.04800e+03,	5.24288e+05,	2.18426e+05,	2.07687e+05,	3.95745e+01,	6.45637e+00,	7.30181e-02,	6.37935e+00,	2.72584e-03,	1.26600e-03
1.50000e+02,	2.04800e+03,	5.24288e+05,	2.18419e+05,	2.07684e+05,	3.70711e+01,	6.39456e+00,	6.95000e-02,	6.31052e+00,	1.71900e-03,	1.28191e-02
1.60000e+02,	2.04800e+03,	5.24288e+05,	2.18419e+05,	2.07684e+05,	3.67421e+01,	6.44277e+00,	6.87799e-02,	6.37012e+00,	1.72305e-03,	2.14791e-03
1.70000e+02,	2.04800e+03,	5.24288e+05,	2.18419e+05,	2.07688e+05,	3.66774e+01,	6.36013e+00,	6.86369e-02,	6.28617e+00,	2.30002e-03,	3.02196e-03
1.80000e+02,	2.04800e+03,	5.24288e+05,	2.18419e+05,	2.07696e+05,	3.71965e+01,	6.38366e+00,	6.86750e-02,	6.30862e+00,	2.03395e-03,	4.32301e-03
1.90000e+02,	2.04800e+03,	5.24288e+05,	2.18419e+05,	2.07696e+05,	3.67061e+01,	6.44497e+00,	6.87141e-02,	6.37161e+00,	2.95806e-03,	1.67894e-03
2.00000e+02,	2.04800e+03,	5.24288e+05,	2.18419e+05,	2.07696e+05,	3.66645e+01,	6.35352e+00,	6.84278e-02,	6.27379e+00,	1.71781e-03,	9.58705e-03
2.10000e+02,	2.04800e+03,	5.24288e+05,	2.18419e+05,	2.07696e+05,	3.68164e+01,	6.35974e+00,	6.89960e-02,	6.28707e+00,	2.42686e-03,	1.24097e-03
2.20000e+02,	2.04800e+03,	5.24288e+05,	2.18419e+05,	2.07697e+05,	3.68045e+01,	6.41056e+00,	6.86018e-02,	6.33220e+00,	1.72782e-03,	8.02708e-03
2.30000e+02,	2.04800e+03,	5.24288e+05,	2.18419e+05,	2.07698e+05,	3.69771e+01,	6.31325e+00,	6.88570e-02,	6.23921e+00,	3.02792e-03,	2.14911e-03
2.40000e+02,	2.04800e+03,	5.24288e+05,	2.18412e+05,	2.07698e+05,	3.76027e+01,	6.34207e+00,	6.87280e-02,	6.27016e+00,	1.73593e-03,	1.43790e-03
2.50000e+02,	2.04800e+03,	5.24288e+05,	2.18405e+05,	2.07691e+05,	3.77280e+01,	6.36947e+00,	6.86140e-02,	6.29761e+00,	1.95193e-03,	1.29008e-03
2.60000e+02,	2.04800e+03,	5.24288e+05,	2.18398e+05,	2.07686e+05,	3.81565e+01,	6.32738e+00,	6.86460e-02,	6.25576e+00,	1.72210e-03,	1.24311e-03
2.70000e+02,	2.04800e+03,	5.24288e+05,	2.18398e+05,	2.07689e+05,	3.77847e+01,	6.34387e+00,	6.93460e-02,	6.27054e+00,	1.96695e-03,	2.01511e-03
2.80000e+02,	2.04800e+03,	5.24288e+05,	2.18398e+05,	2.07691e+05,	3.78716e+01,	6.36202e+00,	6.87039e-02,	6.29030e+00,	1.73306e-03,	1.28007e-03
2.90000e+02,	2.04800e+03,	5.24288e+05,	2.18391e+05,	2.07687e+05,	3.83516e+01,	6.29342e+00,	6.90980e-02,	6.22135e+00,	1.72591e-03,	1.23906e-03
3.00000e+02,	2.04800e+03,	5.24288e+05,	2.18391e+05,	2.07691e+05,	3.94860e+01,	6.29239e+00,	6.87380e-02,	6.22035e+00,	1.73402e-03,	1.55902e-03
3.10000e+02,	2.04800e+03,	5.24288e+05,	2.18384e+05,	2.07696e+05,	4.00578e+01,	6.30979e+00,	6.90560e-02,	6.23739e+00,	2.07710e-03,	1.26195e-03
3.20000e+02,	2.04800e+03,	5.24288e+05,	2.18370e+05,	2.07684e+05,	3.87012e+01,	6.27155e+00,	6.88820e-02,	6.19972e+00,	1.71995e-03,	1.23000e-03
3.30000e+02,	2.04800e+03,	5.24288e+05,	2.18356e+05,	2.07674e+05,	3.95434e+01,	6.32582e+00,	7.00328e-02,	6.25142e+00,	2.01702e-03,	2.34699e-03
3.40000e+02,	2.04800e+03,	5.24288e+05,	2.18356e+05,	2.07677e+05,	3.92984e+01,	6.31382e+00,	6.90348e-02,	6.24104e+00,	1.72615e-03,	2.01917e-03
3.50000e+02,	2.04800e+03,	5.24288e+05,	2.18328e+05,	2.07655e+05,	3.98116e+01,	6.36860e+00,	6.86009e-02,	6.29666e+00,	2.04802e-03,	1.28603e-03
3.60000e+02,	2.04800e+03,	5.24288e+05,	2.18314e+05,	2.07653e+05,	3.98215e+01,	6.37771e+00,	6.87571e-02,	6.30454e+00,	1.83296e-03,	2.57516e-03
3.70000e+02,	2.04800e+03,	5.24288e+05,	2.18314e+05,	2.07653e+05,	3.96285e+01,	6.39596e+00,	6.87361e-02,	6.32316e+00,	1.93596e-03,	2.12193e-03
3.80000e+02,	2.04800e+03,	5.24288e+05,	2.18307e+05,	2.07654e+05,	4.01933e+01,	6.33103e+00,	6.86872e-02,	6.25738e+00,	2.80309e-03,	2.15197e-03
3.90000e+02,	2.04800e+03,	5.24288e+05,	2.18265e+05,	2.07613e+05,	4.04491e+01,	6.33420e+00,	7.30388e-02,	6.25819e+00,	1.73306e-03,	1.23382e-03
4.00000e+02,	2.04800e+03,	5.24288e+05,	2.18258e+05,	2.07616e+05,	3.99695e+01,	6.35485e+00,	6.92360e-02,	6.28173e+00,	1.93381e-03,	1.94812e-03
4.10000e+02,	2.04800e+03,	5.24288e+05,	2.18216e+05,	2.07576e+05,	4.05468e+01,	6.37852e+00,	7.01749e-02,	6.30441e+00,	2.65408e-03,	1.27602e-03
4.20000e+02,	2.04800e+03,	5.24288e+05,	2.18195e+05,	2.07556e+05,	3.99501e+01,	6.31783e+00,	6.95529e-02,	6.24529e+00,	1.73211e-03,	1.24621e-03
4.30000e+02,	2.04800e+03,	5.24288e+05,	2.18195e+05,	2.07570e+05,	3.96456e+01,	6.35818e+00,	6.90291e-02,	6.28519e+00,	1.72997e-03,	2.22588e-03
4.40000e+02,	2.04800e+03,	5.24288e+05,	2.18167e+05,	2.07548e+05,	4.00818e+01,	6.37569e+00,	7.12731e-02,	6.30048e+00,	2.66004e-03,	1.26910e-03
4.50000e+02,	2.04800e+03,	5.24288e+05,	2.18139e+05,	2.07536e+05,	4.03998e+01,	6.43952e+00,	6.93669e-02,	6.36652e+00,	2.36821e-03,	1.25909e-03
