%--------------------------------------------------- 
% Timings: Sat Dec 22 06:12:56 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07712e+05,	0.00000e+00,	1.12753e+01,	4.10605e+00,	7.13532e+00,	1.50731e-02,	1.88220e-02
1.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07725e+05,	2.18556e+01,	6.28029e+00,	1.26386e-01,	6.14994e+00,	2.68197e-03,	1.28794e-03
2.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07725e+05,	2.07670e+01,	6.24851e+00,	1.29797e-01,	6.11499e+00,	1.74809e-03,	1.97601e-03
3.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07727e+05,	2.08612e+01,	6.27221e+00,	1.28979e-01,	6.14007e+00,	1.71494e-03,	1.43600e-03
4.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07727e+05,	2.17363e+01,	6.28688e+00,	1.29514e-01,	6.15435e+00,	1.74093e-03,	1.27792e-03
5.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07727e+05,	2.09288e+01,	6.23738e+00,	1.28761e-01,	6.10381e+00,	2.71106e-03,	2.09689e-03
6.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07730e+05,	2.10699e+01,	6.26067e+00,	1.29088e-01,	6.11539e+00,	3.39293e-03,	1.27971e-02
7.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07730e+05,	2.23771e+01,	6.29316e+00,	1.30396e-01,	6.15839e+00,	2.36607e-03,	2.00605e-03
8.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07732e+05,	2.10112e+01,	6.30962e+00,	1.29855e-01,	6.17544e+00,	2.68698e-03,	1.63698e-03
9.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07739e+05,	2.12463e+01,	6.24560e+00,	1.29288e-01,	6.11248e+00,	1.71900e-03,	2.10905e-03
1.00000e+02,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07739e+05,	2.15703e+01,	6.27813e+00,	1.30201e-01,	6.14493e+00,	1.73402e-03,	1.26696e-03
1.10000e+02,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07739e+05,	2.10713e+01,	6.24544e+00,	1.29038e-01,	6.11186e+00,	2.39992e-03,	2.13480e-03
1.20000e+02,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07739e+05,	2.10357e+01,	6.28958e+00,	1.29081e-01,	6.15570e+00,	2.66504e-03,	2.13289e-03
1.30000e+02,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07749e+05,	2.11606e+01,	6.23295e+00,	1.29484e-01,	6.09978e+00,	1.72305e-03,	1.95980e-03
1.40000e+02,	4.09600e+03,	5.24288e+05,	2.18426e+05,	2.07687e+05,	2.21806e+01,	6.29426e+00,	1.31523e-01,	6.15970e+00,	1.72400e-03,	1.31011e-03
1.50000e+02,	4.09600e+03,	5.24288e+05,	2.18419e+05,	2.07684e+05,	2.13219e+01,	6.41014e+00,	1.45060e-01,	6.26206e+00,	1.72210e-03,	1.28889e-03
1.60000e+02,	4.09600e+03,	5.24288e+05,	2.18419e+05,	2.07684e+05,	2.04181e+01,	6.25253e+00,	1.28767e-01,	6.12074e+00,	1.71900e-03,	1.30081e-03
1.70000e+02,	4.09600e+03,	5.24288e+05,	2.18419e+05,	2.07688e+05,	2.04312e+01,	6.26466e+00,	1.29271e-01,	6.13154e+00,	1.72019e-03,	2.12693e-03
1.80000e+02,	4.09600e+03,	5.24288e+05,	2.18419e+05,	2.07696e+05,	2.13761e+01,	6.25714e+00,	1.29254e-01,	6.12485e+00,	1.72615e-03,	1.30892e-03
1.90000e+02,	4.09600e+03,	5.24288e+05,	2.18419e+05,	2.07696e+05,	2.04814e+01,	6.29571e+00,	1.30227e-01,	6.16248e+00,	1.73092e-03,	1.27006e-03
