%--------------------------------------------------- 
% Timings: Wed Jan  2 19:31:24 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07712e+05,	0.00000e+00,	1.12844e+01,	4.12291e+00,	7.15275e+00,	7.24602e-03,	1.48082e-03
1.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07725e+05,	2.46494e+01,	6.42780e+00,	1.26816e-01,	6.29800e+00,	1.71995e-03,	1.26100e-03
2.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07725e+05,	2.06595e+01,	6.42647e+00,	1.28532e-01,	6.29397e+00,	2.69294e-03,	1.27602e-03
3.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07727e+05,	2.09442e+01,	6.38099e+00,	1.29761e-01,	6.24718e+00,	2.64001e-03,	1.39999e-03
4.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07727e+05,	2.08757e+01,	6.45970e+00,	1.28889e-01,	6.32746e+00,	1.93596e-03,	1.40786e-03
5.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07727e+05,	2.09553e+01,	6.44822e+00,	1.30021e-01,	6.30625e+00,	1.04480e-02,	1.50299e-03
6.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07730e+05,	2.18814e+01,	6.46277e+00,	1.28912e-01,	6.32946e+00,	2.71201e-03,	1.68300e-03
7.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07730e+05,	2.10490e+01,	6.37197e+00,	1.29276e-01,	6.23868e+00,	2.72894e-03,	1.27697e-03
8.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07732e+05,	2.10876e+01,	6.35355e+00,	1.29367e-01,	6.22118e+00,	1.71995e-03,	1.28007e-03
9.00000e+01,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07739e+05,	2.20946e+01,	6.36362e+00,	1.29489e-01,	6.22946e+00,	3.38197e-03,	1.27816e-03
1.00000e+02,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07739e+05,	2.10583e+01,	6.44493e+00,	1.29748e-01,	6.31019e+00,	2.66099e-03,	2.32410e-03
1.10000e+02,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07739e+05,	2.15892e+01,	6.47500e+00,	1.29809e-01,	6.33678e+00,	7.12109e-03,	1.28984e-03
1.20000e+02,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07739e+05,	3.29866e+01,	6.47336e+00,	1.28656e-01,	6.33425e+00,	8.37898e-03,	2.07806e-03
1.30000e+02,	4.09600e+03,	5.24288e+05,	2.18510e+05,	2.07749e+05,	2.10987e+01,	6.42868e+00,	1.29905e-01,	6.29409e+00,	2.51985e-03,	2.16818e-03
1.40000e+02,	4.09600e+03,	5.24288e+05,	2.18426e+05,	2.07687e+05,	2.29751e+01,	6.39399e+00,	1.32963e-01,	6.25761e+00,	2.13909e-03,	1.27697e-03
1.50000e+02,	4.09600e+03,	5.24288e+05,	2.18419e+05,	2.07684e+05,	2.07898e+01,	6.44765e+00,	1.29953e-01,	6.31469e+00,	1.72806e-03,	1.27697e-03
1.60000e+02,	4.09600e+03,	5.24288e+05,	2.18419e+05,	2.07684e+05,	2.04296e+01,	6.46575e+00,	1.29497e-01,	6.33240e+00,	1.73092e-03,	2.12598e-03
1.70000e+02,	4.09600e+03,	5.24288e+05,	2.18419e+05,	2.07688e+05,	2.04648e+01,	6.41012e+00,	1.29301e-01,	6.27624e+00,	2.29788e-03,	2.27594e-03
1.80000e+02,	4.09600e+03,	5.24288e+05,	2.18419e+05,	2.07696e+05,	2.05614e+01,	6.37609e+00,	1.29896e-01,	6.24316e+00,	1.75691e-03,	1.27506e-03
1.90000e+02,	4.09600e+03,	5.24288e+05,	2.18419e+05,	2.07696e+05,	2.05783e+01,	6.42798e+00,	1.29785e-01,	6.29046e+00,	1.95384e-03,	5.77497e-03
2.00000e+02,	4.09600e+03,	5.24288e+05,	2.18419e+05,	2.07696e+05,	2.05226e+01,	6.47846e+00,	1.30336e-01,	6.34418e+00,	2.65312e-03,	1.27912e-03
