%  amr_in-transit-hpctoolkit/pipe-6-04096   amr_in-transit-hpctoolkit/pipe-6-04096/extracted_timings-e692653.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  21.33205388 ,  19.790409 ,  32.346713 ,  1.90039326640142 
% PVSPY_VIZ_TIMINGS ,  7.08185154 ,  6.995561 ,  7.176829 ,  0.0415701072014887 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,25.39116,7.068214
20,20.019161,7.069808
30,20.305712,7.022818
40,20.238635,7.099101
50,20.315523,7.09368
60,21.239242,7.108389
70,20.408914,7.014594
80,20.448103,6.995979
90,21.455938,7.015874
100,20.418478,7.087031
110,20.95176,7.114945
120,32.346713,7.116616
130,20.459056,7.070633
140,22.336606,7.035252
150,20.147586,7.092524
160,19.790409,7.107712
170,19.823382,7.054092
180,19.92184,7.018455
190,19.937632,7.071659
200,19.884175,7.119913
210,20.022644,7.073557
220,20.175751,7.117091
230,20.104003,7.076658
240,20.50192,7.082068
250,21.186646,7.033628
260,20.362662,7.025609
270,20.379546,7.093157
280,20.397161,7.096078
290,20.827603,7.082663
300,21.790549,7.109482
310,21.039067,7.120818
320,20.854201,7.122655
330,21.672718,7.102771
340,21.073518,7.13828
350,21.404026,7.087919
360,21.515427,7.176829
370,21.293249,7.108142
380,21.737397,7.1127
390,22.158948,7.103268
400,21.740455,7.094206
410,22.580678,7.162682
420,21.70378,7.088448
430,21.713718,7.053365
440,21.506333,7.13549
450,21.623136,7.033484
460,22.837381,7.132741
470,22.592115,7.063325
480,22.594052,7.055415
490,21.668021,7.037198
500,21.705964,6.995561
