%--------------------------------------------------- 
% Timings: Sun Dec 23 08:56:07 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07712e+05,	0.00000e+00,	1.35094e+01,	4.62430e+00,	8.87943e+00,	2.74992e-03,	2.88010e-03
1.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07725e+05,	2.18790e+01,	9.21360e+00,	2.50043e-01,	6.54743e+00,	1.72997e-03,	2.41440e+00
2.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07725e+05,	1.23189e+01,	1.33634e+01,	2.52206e-01,	6.58910e+00,	2.49982e-03,	6.51957e+00
3.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07727e+05,	1.32614e+01,	1.31481e+01,	2.54983e-01,	6.55520e+00,	2.70700e-03,	6.33522e+00
4.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07727e+05,	1.23752e+01,	1.33423e+01,	2.52477e-01,	6.89403e+00,	2.04897e-03,	6.19378e+00
5.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07727e+05,	1.23875e+01,	1.30583e+01,	2.51623e-01,	6.48644e+00,	5.92613e-03,	6.31433e+00
6.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07730e+05,	1.28995e+01,	1.22147e+01,	2.52466e-01,	6.49375e+00,	2.70104e-03,	5.46581e+00
7.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07730e+05,	1.27358e+01,	1.25530e+01,	2.52049e-01,	6.52902e+00,	1.72591e-03,	5.77018e+00
8.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07732e+05,	1.26752e+01,	1.25533e+01,	2.52036e-01,	6.49669e+00,	1.77407e-03,	5.80276e+00
9.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07739e+05,	1.27939e+01,	1.24029e+01,	2.52518e-01,	6.55053e+00,	2.64311e-03,	5.59725e+00
1.00000e+02,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07739e+05,	1.79962e+01,	9.43962e+00,	2.52084e-01,	6.52814e+00,	1.72901e-03,	2.65766e+00
1.10000e+02,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07739e+05,	1.24538e+01,	1.26710e+01,	2.52405e-01,	6.48517e+00,	2.53391e-03,	5.93093e+00
1.20000e+02,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07739e+05,	1.25745e+01,	1.26921e+01,	2.52321e-01,	6.54313e+00,	2.16241e-02,	5.87498e+00
1.30000e+02,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07749e+05,	1.25599e+01,	1.26426e+01,	2.51929e-01,	6.46643e+00,	2.44117e-03,	5.92178e+00
