%--------------------------------------------------- 
% Timings: Mon Dec 24 04:51:15 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07712e+05,	0.00000e+00,	1.23535e+01,	4.59717e+00,	7.74904e+00,	2.79212e-03,	4.48799e-03
1.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07725e+05,	1.47578e+01,	1.17079e+01,	2.48854e-01,	6.57122e+00,	2.46286e-03,	4.88539e+00
2.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07725e+05,	1.22620e+01,	1.34119e+01,	2.51993e-01,	6.56108e+00,	8.68680e-02,	6.51193e+00
3.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07727e+05,	1.27078e+01,	1.25879e+01,	2.52299e-01,	6.53167e+00,	2.71893e-03,	5.80124e+00
4.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07727e+05,	1.23071e+01,	1.30935e+01,	2.52620e-01,	6.57360e+00,	1.73092e-03,	6.26557e+00
5.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07727e+05,	1.23240e+01,	1.30198e+01,	2.52597e-01,	6.53749e+00,	2.73514e-03,	6.22698e+00
6.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07730e+05,	1.23987e+01,	1.29469e+01,	2.51849e-01,	6.55892e+00,	2.63882e-03,	6.13350e+00
7.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07730e+05,	1.23286e+01,	1.29537e+01,	2.52265e-01,	6.56932e+00,	1.67189e-02,	6.11537e+00
8.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07732e+05,	1.23704e+01,	1.28823e+01,	2.52545e-01,	6.54298e+00,	1.76597e-03,	6.08504e+00
9.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07739e+05,	1.24621e+01,	1.28718e+01,	2.52384e-01,	6.52531e+00,	1.72114e-03,	6.09239e+00
1.00000e+02,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07739e+05,	1.23718e+01,	1.28763e+01,	2.52333e-01,	6.54154e+00,	2.64001e-03,	6.07975e+00
1.10000e+02,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07739e+05,	1.23401e+01,	1.29315e+01,	2.52289e-01,	6.54173e+00,	1.73283e-03,	6.13578e+00
1.20000e+02,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07739e+05,	1.24606e+01,	1.27173e+01,	2.52833e-01,	6.55105e+00,	1.73593e-03,	5.91166e+00
1.30000e+02,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07749e+05,	1.24029e+01,	1.27950e+01,	2.52631e-01,	6.49607e+00,	1.73497e-03,	6.04457e+00
1.40000e+02,	8.19200e+03,	8.19200e+05,	2.18426e+05,	2.07687e+05,	1.33259e+01,	1.19838e+01,	2.57185e-01,	6.62351e+00,	1.72806e-03,	5.10135e+00
1.50000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07684e+05,	1.24286e+01,	1.23131e+01,	2.52251e-01,	6.57318e+00,	1.73593e-03,	5.48595e+00
1.60000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07684e+05,	1.21110e+01,	1.25971e+01,	2.52521e-01,	6.62444e+00,	2.53606e-03,	5.71763e+00
1.70000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07688e+05,	1.20711e+01,	1.26906e+01,	2.52587e-01,	6.59233e+00,	2.68698e-03,	5.84298e+00
1.80000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07696e+05,	1.26243e+01,	1.20936e+01,	2.52682e-01,	6.65120e+00,	1.72997e-03,	5.18802e+00
1.90000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07696e+05,	1.25732e+01,	1.19280e+01,	2.51940e-01,	6.48924e+00,	1.96600e-03,	5.18482e+00
2.00000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07696e+05,	1.25292e+01,	1.20011e+01,	2.53824e-01,	6.50568e+00,	1.73211e-03,	5.23987e+00
2.10000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07696e+05,	1.30552e+01,	1.16377e+01,	2.52511e-01,	6.56265e+00,	1.76787e-03,	4.82078e+00
2.20000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07697e+05,	1.28721e+01,	1.16182e+01,	2.52695e-01,	6.49556e+00,	1.72591e-03,	4.86826e+00
2.30000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07698e+05,	1.26975e+01,	1.18379e+01,	2.52026e-01,	6.54968e+00,	7.34997e-03,	5.02884e+00
2.40000e+02,	8.19200e+03,	8.19200e+05,	2.18412e+05,	2.07698e+05,	1.29031e+01,	1.16171e+01,	2.52264e-01,	6.47743e+00,	3.68431e-02,	4.85055e+00
2.50000e+02,	8.19200e+03,	8.19200e+05,	2.18405e+05,	2.07691e+05,	1.26015e+01,	1.19205e+01,	2.65232e-01,	6.56756e+00,	2.49195e-03,	5.08521e+00
2.60000e+02,	8.19200e+03,	8.19200e+05,	2.18398e+05,	2.07686e+05,	1.26368e+01,	1.19365e+01,	2.53212e-01,	6.54801e+00,	1.74809e-03,	5.13348e+00
2.70000e+02,	8.19200e+03,	8.19200e+05,	2.18398e+05,	2.07689e+05,	1.28958e+01,	1.16541e+01,	2.51671e-01,	6.53196e+00,	1.73187e-03,	4.86870e+00
2.80000e+02,	8.19200e+03,	8.19200e+05,	2.18398e+05,	2.07691e+05,	1.24964e+01,	1.20450e+01,	2.64342e-01,	6.51405e+00,	1.98603e-03,	5.26464e+00
2.90000e+02,	8.19200e+03,	8.19200e+05,	2.18391e+05,	2.07687e+05,	1.27907e+01,	1.17247e+01,	2.52431e-01,	6.53600e+00,	1.23219e-02,	4.92394e+00
3.00000e+02,	8.19200e+03,	8.19200e+05,	2.18391e+05,	2.07691e+05,	1.37039e+01,	1.10195e+01,	2.52216e-01,	6.54027e+00,	1.95909e-03,	4.22504e+00
3.10000e+02,	8.19200e+03,	8.19200e+05,	2.18384e+05,	2.07696e+05,	1.27247e+01,	1.18203e+01,	2.60147e-01,	6.53139e+00,	1.89710e-03,	5.02691e+00
3.20000e+02,	8.19200e+03,	8.19200e+05,	2.18370e+05,	2.07684e+05,	1.25561e+01,	1.20222e+01,	2.53154e-01,	6.54564e+00,	3.09169e-02,	5.19247e+00
3.30000e+02,	8.19200e+03,	8.19200e+05,	2.18356e+05,	2.07674e+05,	1.38210e+01,	1.15797e+01,	2.53584e-01,	6.53404e+00,	1.71781e-03,	4.79031e+00
3.40000e+02,	8.19200e+03,	8.19200e+05,	2.18356e+05,	2.07677e+05,	1.25644e+01,	1.20014e+01,	2.68706e-01,	6.48379e+00,	1.98293e-03,	5.24691e+00
3.50000e+02,	8.19200e+03,	8.19200e+05,	2.18328e+05,	2.07655e+05,	1.28298e+01,	1.18345e+01,	2.54096e-01,	6.51850e+00,	2.03705e-03,	5.05991e+00
3.60000e+02,	8.19200e+03,	8.19200e+05,	2.18314e+05,	2.07653e+05,	1.34108e+01,	1.16882e+01,	2.52737e-01,	6.53297e+00,	3.82049e-02,	4.86425e+00
3.70000e+02,	8.19200e+03,	8.19200e+05,	2.18314e+05,	2.07653e+05,	1.26781e+01,	1.18376e+01,	2.52717e-01,	6.54857e+00,	1.72997e-03,	5.03459e+00
3.80000e+02,	8.19200e+03,	8.19200e+05,	2.18307e+05,	2.07654e+05,	1.29207e+01,	1.15245e+01,	2.54405e-01,	6.52734e+00,	1.71995e-03,	4.74107e+00
3.90000e+02,	8.19200e+03,	8.19200e+05,	2.18265e+05,	2.07613e+05,	1.36526e+01,	1.09816e+01,	2.55828e-01,	6.52750e+00,	1.72305e-03,	4.19651e+00
4.00000e+02,	8.19200e+03,	8.19200e+05,	2.18258e+05,	2.07616e+05,	1.30251e+01,	1.15480e+01,	2.52470e-01,	6.53385e+00,	1.79982e-03,	4.75990e+00
4.10000e+02,	8.19200e+03,	8.19200e+05,	2.18216e+05,	2.07576e+05,	1.34218e+01,	1.11658e+01,	2.70826e-01,	6.54006e+00,	1.73283e-03,	4.35315e+00
4.20000e+02,	8.19200e+03,	8.19200e+05,	2.18195e+05,	2.07556e+05,	1.42326e+01,	1.13388e+01,	2.53365e-01,	6.50956e+00,	1.72400e-03,	4.57410e+00
4.30000e+02,	8.19200e+03,	8.19200e+05,	2.18195e+05,	2.07570e+05,	1.28399e+01,	1.17605e+01,	2.52499e-01,	6.56344e+00,	1.74999e-03,	4.94286e+00
