%--------------------------------------------------- 
% Timings: Fri Feb  8 22:02:39 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	4.09600e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	2.42559e+01,	2.82223e+00,	2.12734e+01,	1.19989e-02,	1.48323e-01
1.00000e+01,	4.09600e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	1.38008e+02,	2.17727e+01,	8.71220e-02,	2.14859e+01,	4.09880e-02,	1.58661e-01
2.00000e+01,	4.09600e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	1.23880e+02,	2.10406e+01,	3.25961e-02,	2.08522e+01,	9.64999e-03,	1.46176e-01
3.00000e+01,	4.09600e+03,	2.09715e+06,	1.49882e+06,	1.44655e+06,	1.23774e+02,	2.04136e+01,	3.30210e-02,	2.02370e+01,	1.30651e-02,	1.30498e-01
4.00000e+01,	4.09600e+03,	2.09715e+06,	1.49882e+06,	1.44657e+06,	1.21194e+02,	2.08448e+01,	2.88291e-02,	2.06449e+01,	7.26819e-03,	1.63814e-01
5.00000e+01,	4.09600e+03,	2.09715e+06,	1.49883e+06,	1.44658e+06,	1.21959e+02,	2.04846e+01,	2.85399e-02,	2.03023e+01,	3.44682e-03,	1.50277e-01
6.00000e+01,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44653e+06,	1.22378e+02,	2.04122e+01,	3.05181e-02,	2.02755e+01,	3.01099e-03,	1.03199e-01
7.00000e+01,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44655e+06,	1.21800e+02,	2.21279e+01,	3.81839e-02,	2.19433e+01,	2.74181e-03,	1.43673e-01
8.00000e+01,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	1.21159e+02,	2.10281e+01,	3.04692e-02,	2.08787e+01,	3.45898e-03,	1.15435e-01
9.00000e+01,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	1.22880e+02,	2.12528e+01,	3.08919e-02,	2.10560e+01,	2.70414e-03,	1.63173e-01
1.00000e+02,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	1.21511e+02,	2.26542e+01,	3.80244e-01,	2.16425e+01,	3.00884e-03,	6.28450e-01
1.10000e+02,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	1.21544e+02,	2.09652e+01,	3.18069e-02,	2.08081e+01,	2.69914e-03,	1.22625e-01
1.20000e+02,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44657e+06,	1.27114e+02,	2.07847e+01,	8.63290e-02,	2.05670e+01,	3.00407e-03,	1.28382e-01
1.30000e+02,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44658e+06,	1.21011e+02,	2.11068e+01,	3.22011e-02,	2.09515e+01,	2.75898e-03,	1.20371e-01
1.40000e+02,	4.09600e+03,	2.09715e+06,	1.49876e+06,	1.44657e+06,	1.22488e+02,	2.14620e+01,	2.94349e-02,	2.12525e+01,	1.07050e-02,	1.69389e-01
1.50000e+02,	4.09600e+03,	2.09715e+06,	1.49876e+06,	1.44658e+06,	1.21037e+02,	2.12800e+01,	3.06721e-02,	2.10806e+01,	2.74897e-03,	1.66043e-01
1.60000e+02,	4.09600e+03,	2.09715e+06,	1.49876e+06,	1.44659e+06,	1.21732e+02,	2.16677e+01,	2.95460e-02,	2.14977e+01,	2.72012e-03,	1.37764e-01
1.70000e+02,	4.09600e+03,	2.09715e+06,	1.49845e+06,	1.44636e+06,	1.32254e+02,	2.13395e+01,	7.93979e-02,	2.07158e+01,	3.35908e-03,	5.40873e-01
1.80000e+02,	4.09600e+03,	2.09715e+06,	1.49843e+06,	1.44634e+06,	1.22907e+02,	2.09868e+01,	3.05021e-02,	2.07831e+01,	2.98405e-03,	1.70213e-01
1.90000e+02,	4.09600e+03,	2.09715e+06,	1.49843e+06,	1.44635e+06,	1.20188e+02,	2.12892e+01,	3.12920e-02,	2.10942e+01,	2.84600e-03,	1.60830e-01
2.00000e+02,	4.09600e+03,	2.09715e+06,	1.49843e+06,	1.44635e+06,	1.20233e+02,	2.13446e+01,	3.00250e-02,	2.11763e+01,	2.29192e-03,	1.35914e-01
2.10000e+02,	4.09600e+03,	2.09715e+06,	1.49843e+06,	1.44635e+06,	1.20987e+02,	2.10533e+01,	2.87149e-02,	2.08819e+01,	2.75016e-03,	1.39981e-01
2.20000e+02,	4.09600e+03,	2.09715e+06,	1.49830e+06,	1.44622e+06,	1.24239e+02,	2.06846e+01,	3.27890e-02,	2.05151e+01,	1.03128e-02,	1.26367e-01
2.30000e+02,	4.09600e+03,	2.09715e+06,	1.49825e+06,	1.44620e+06,	1.25734e+02,	2.17462e+01,	3.03462e-02,	2.15869e+01,	2.58589e-03,	1.26327e-01
2.40000e+02,	4.09600e+03,	2.09715e+06,	1.49825e+06,	1.44620e+06,	1.20308e+02,	2.13299e+01,	3.16119e-02,	2.11850e+01,	2.73204e-03,	1.10542e-01
2.50000e+02,	4.09600e+03,	2.09715e+06,	1.49825e+06,	1.44620e+06,	1.20442e+02,	2.08491e+01,	3.02131e-02,	2.06690e+01,	2.38800e-03,	1.47524e-01
2.60000e+02,	4.09600e+03,	2.09715e+06,	1.49825e+06,	1.44621e+06,	1.20941e+02,	2.03212e+01,	9.34570e-02,	2.00630e+01,	2.76899e-03,	1.61987e-01
2.70000e+02,	4.09600e+03,	2.09715e+06,	1.49825e+06,	1.44621e+06,	1.21805e+02,	2.17464e+01,	3.05331e-02,	2.15501e+01,	2.32816e-03,	1.63447e-01
2.80000e+02,	4.09600e+03,	2.09715e+06,	1.49825e+06,	1.44621e+06,	1.21210e+02,	2.18272e+01,	4.99849e-02,	2.15944e+01,	2.34699e-03,	1.80463e-01
