%--------------------------------------------------- 
% Timings: Wed Feb 13 17:10:27 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	4.09600e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.48066e+01,	2.84304e+00,	1.18207e+01,	3.36194e-03,	1.39463e-01
1.00000e+01,	4.09600e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	1.22613e+02,	1.23192e+01,	2.40281e-02,	1.21492e+01,	3.33905e-03,	1.42593e-01
2.00000e+01,	4.09600e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	1.19817e+02,	1.21380e+01,	3.82981e-02,	1.19751e+01,	2.69008e-03,	1.21944e-01
3.00000e+01,	4.09600e+03,	2.09715e+06,	1.49882e+06,	1.44655e+06,	1.21715e+02,	1.18175e+01,	2.40078e-02,	1.16547e+01,	2.75898e-03,	1.35994e-01
4.00000e+01,	4.09600e+03,	2.09715e+06,	1.49882e+06,	1.44657e+06,	1.20758e+02,	1.29348e+01,	2.36330e-02,	1.27341e+01,	3.08778e-02,	1.46193e-01
5.00000e+01,	4.09600e+03,	2.09715e+06,	1.49883e+06,	1.44658e+06,	1.20958e+02,	1.17510e+01,	2.62160e-02,	1.15874e+01,	3.03507e-03,	1.34439e-01
6.00000e+01,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44653e+06,	1.21675e+02,	1.16164e+01,	2.45540e-02,	1.14576e+01,	1.94130e-02,	1.14785e-01
7.00000e+01,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44655e+06,	1.21355e+02,	1.17785e+01,	2.04551e-02,	1.16107e+01,	2.76089e-03,	1.44635e-01
8.00000e+01,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	1.21189e+02,	1.16174e+01,	2.01530e-02,	1.14282e+01,	1.65050e-02,	1.52562e-01
9.00000e+01,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	1.20808e+02,	1.16451e+01,	2.16701e-02,	1.14869e+01,	2.71392e-03,	1.33839e-01
1.00000e+02,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	1.21162e+02,	1.16849e+01,	2.02911e-02,	1.15087e+01,	5.31101e-03,	1.50603e-01
1.10000e+02,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	1.21258e+02,	1.15984e+01,	2.05679e-02,	1.14537e+01,	2.74205e-03,	1.21398e-01
1.20000e+02,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44657e+06,	1.21476e+02,	1.15698e+01,	2.16310e-02,	1.14158e+01,	2.66218e-03,	1.29708e-01
1.30000e+02,	4.09600e+03,	2.09715e+06,	1.49877e+06,	1.44658e+06,	1.21220e+02,	1.24714e+01,	2.07381e-02,	1.22924e+01,	2.75803e-03,	1.55515e-01
1.40000e+02,	4.09600e+03,	2.09715e+06,	1.49876e+06,	1.44657e+06,	1.20975e+02,	1.13265e+01,	2.02551e-02,	1.12027e+01,	2.46000e-03,	1.01044e-01
1.50000e+02,	4.09600e+03,	2.09715e+06,	1.49876e+06,	1.44658e+06,	1.20420e+02,	1.20282e+01,	4.28271e-02,	1.18139e+01,	3.32808e-03,	1.68139e-01
1.60000e+02,	4.09600e+03,	2.09715e+06,	1.49876e+06,	1.44659e+06,	1.20919e+02,	1.20848e+01,	2.04580e-02,	1.19276e+01,	2.68292e-03,	1.34086e-01
1.70000e+02,	4.09600e+03,	2.09715e+06,	1.49845e+06,	1.44636e+06,	1.24887e+02,	1.24884e+01,	4.05700e-02,	1.22991e+01,	3.41606e-03,	1.45343e-01
1.80000e+02,	4.09600e+03,	2.09715e+06,	1.49843e+06,	1.44634e+06,	1.25246e+02,	1.23584e+01,	2.07620e-02,	1.22122e+01,	2.70605e-03,	1.22727e-01
1.90000e+02,	4.09600e+03,	2.09715e+06,	1.49843e+06,	1.44635e+06,	1.20498e+02,	1.22858e+01,	2.02870e-02,	1.21257e+01,	2.68602e-03,	1.37087e-01
2.00000e+02,	4.09600e+03,	2.09715e+06,	1.49843e+06,	1.44635e+06,	1.20735e+02,	1.15958e+01,	2.03090e-02,	1.14324e+01,	2.52199e-03,	1.40530e-01
2.10000e+02,	4.09600e+03,	2.09715e+06,	1.49843e+06,	1.44635e+06,	1.20885e+02,	1.23610e+01,	5.38721e-02,	1.21022e+01,	5.15430e-02,	1.53408e-01
2.20000e+02,	4.09600e+03,	2.09715e+06,	1.49830e+06,	1.44622e+06,	1.23083e+02,	1.17178e+01,	3.08402e-02,	1.15547e+01,	2.70915e-03,	1.29541e-01
2.30000e+02,	4.09600e+03,	2.09715e+06,	1.49825e+06,	1.44620e+06,	1.23669e+02,	1.18225e+01,	2.07691e-02,	1.16739e+01,	3.06702e-03,	1.24790e-01
2.40000e+02,	4.09600e+03,	2.09715e+06,	1.49825e+06,	1.44620e+06,	1.19740e+02,	1.14044e+01,	2.06690e-02,	1.12411e+01,	2.99907e-03,	1.39666e-01
2.50000e+02,	4.09600e+03,	2.09715e+06,	1.49825e+06,	1.44620e+06,	1.20502e+02,	1.16160e+01,	2.05281e-02,	1.14600e+01,	2.49600e-03,	1.32983e-01
