%--------------------------------------------------- 
% Timings: Thu Dec 20 11:44:52 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	8.19200e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.19148e+01,	2.78772e+00,	9.12181e+00,	2.95591e-03,	2.27809e-03
1.00000e+01,	8.19200e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	6.93064e+01,	3.18596e+01,	3.35820e-02,	8.66535e+00,	2.71797e-03,	2.31580e+01
2.00000e+01,	8.19200e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	6.67124e+01,	3.33131e+01,	3.41220e-02,	8.56936e+00,	2.99287e-03,	2.47066e+01
3.00000e+01,	8.19200e+03,	2.09715e+06,	1.49882e+06,	1.44655e+06,	6.75109e+01,	8.21940e+01,	3.78580e-02,	9.91747e+00,	2.76494e-03,	7.22359e+01
4.00000e+01,	8.19200e+03,	2.09715e+06,	1.49882e+06,	1.44657e+06,	6.65054e+01,	3.16219e+01,	3.45221e-02,	9.96969e+00,	3.35097e-03,	2.16143e+01
5.00000e+01,	8.19200e+03,	2.09715e+06,	1.49883e+06,	1.44658e+06,	6.68328e+01,	2.95431e+01,	3.85079e-02,	8.59905e+00,	2.69604e-03,	2.09028e+01
6.00000e+01,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44653e+06,	6.70000e+01,	8.74690e+00,	3.88219e-02,	8.70207e+00,	2.68292e-03,	3.31593e-03
7.00000e+01,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44655e+06,	6.66741e+01,	3.03068e+01,	3.44119e-02,	9.30750e+00,	2.70510e-03,	2.09622e+01
8.00000e+01,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	6.67138e+01,	2.86147e+01,	3.41570e-02,	8.60960e+00,	2.73800e-03,	1.99682e+01
9.00000e+01,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	6.58919e+01,	3.00172e+01,	3.46370e-02,	8.65921e+00,	2.70891e-03,	2.13207e+01
1.00000e+02,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	6.64973e+01,	3.00394e+01,	3.43461e-02,	9.58428e+00,	2.85506e-03,	2.04179e+01
1.10000e+02,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	6.68101e+01,	2.89311e+01,	3.41871e-02,	8.73025e+00,	2.72703e-03,	2.01639e+01
1.20000e+02,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44657e+06,	6.67094e+01,	2.83816e+01,	3.41320e-02,	8.68511e+00,	2.81286e-03,	1.96596e+01
1.30000e+02,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44658e+06,	6.59900e+01,	2.95330e+01,	3.48871e-02,	8.72498e+00,	2.72298e-03,	2.07704e+01
1.40000e+02,	8.19200e+03,	2.09715e+06,	1.49876e+06,	1.44657e+06,	6.71654e+01,	2.88248e+01,	3.43740e-02,	8.76943e+00,	2.53415e-03,	2.00184e+01
1.50000e+02,	8.19200e+03,	2.09715e+06,	1.49876e+06,	1.44658e+06,	6.60522e+01,	2.95331e+01,	3.43411e-02,	8.60698e+00,	3.33595e-03,	2.08885e+01
1.60000e+02,	8.19200e+03,	2.09715e+06,	1.49876e+06,	1.44659e+06,	6.65484e+01,	2.85332e+01,	3.42720e-02,	8.65044e+00,	2.74014e-03,	1.98458e+01
