%  ./pipe-7-08192   ./pipe-7-08192/extracted_timings-e668885.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  68.32401154 ,  63.633763 ,  113.297518 ,  7.71065740107719 
% PVSPY_VIZ_TIMINGS ,  30.69320852 ,  10.488663 ,  84.064252 ,  11.1218688109898 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,64.978142,33.703503
20,64.866838,35.161875
30,65.666217,84.064252
40,64.64896,33.481881
50,64.983797,31.395121
60,65.16035,10.589417
70,64.820992,32.162872
80,64.867987,30.463051
90,64.054379,31.858344
100,64.644667,31.895143
110,64.961255,30.783898
120,64.85953,30.234178
130,64.139054,31.38689
140,65.324355,30.66837
150,64.207673,31.380565
160,64.707274,30.377114
170,67.400519,28.383538
180,65.867442,29.014157
190,64.20846,30.580527
200,63.731376,30.511043
210,64.40896,30.150951
220,66.242368,28.71431
230,66.467382,30.277955
240,63.633763,32.296573
250,64.306878,36.599395
260,113.297518,35.132522
270,64.212672,30.290833
280,64.403661,33.416898
290,65.036434,30.995537
300,65.064811,30.385757
310,64.397149,32.755273
320,65.151751,29.55354
330,65.827775,29.987847
340,66.845498,38.022966
350,64.742739,32.132816
360,65.288588,29.703849
370,66.23998,30.901085
380,69.731319,25.819086
390,73.067106,31.551496
400,73.688907,28.660882
410,74.271736,11.187955
420,72.898036,28.624154
430,72.088163,29.844792
440,74.388104,25.817621
450,77.438252,21.147222
460,74.026453,23.943721
470,75.34119,11.272626
480,76.538944,65.116919
490,74.509119,10.488663
500,74.546054,21.771443
