%--------------------------------------------------- 
% Timings: Mon Jan  7 20:10:16 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	1.63840e+04,	2.09715e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.51977e+01,	2.82211e+00,	1.23653e+01,	8.50606e-03,	1.76191e-03
1.00000e+01,	1.63840e+04,	2.09715e+06,	1.49887e+06,	1.44658e+06,	4.31791e+01,	6.26652e+01,	6.47321e-02,	1.23555e+01,	2.67196e-03,	5.02422e+01
2.00000e+01,	1.63840e+04,	2.09715e+06,	1.49887e+06,	1.44658e+06,	3.85014e+01,	6.38422e+01,	6.62088e-02,	1.29125e+01,	2.95496e-03,	5.08605e+01
3.00000e+01,	1.63840e+04,	2.09715e+06,	1.49882e+06,	1.44655e+06,	4.04656e+01,	6.48235e+01,	7.02538e-02,	1.31503e+01,	1.66070e-02,	5.15863e+01
4.00000e+01,	1.63840e+04,	2.09715e+06,	1.49882e+06,	1.44657e+06,	3.87584e+01,	6.15321e+01,	6.65081e-02,	1.20491e+01,	2.67506e-03,	4.94138e+01
5.00000e+01,	1.63840e+04,	2.09715e+06,	1.49883e+06,	1.44658e+06,	4.21985e+01,	5.78295e+01,	6.94561e-02,	1.22127e+01,	2.73609e-03,	4.55446e+01
6.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44653e+06,	4.03825e+01,	3.63424e+01,	7.10599e-02,	1.21290e+01,	2.97499e-03,	2.41394e+01
7.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44655e+06,	3.95565e+01,	6.04220e+01,	6.52709e-02,	1.29273e+01,	1.49851e-02,	4.74144e+01
8.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.88173e+01,	6.07739e+01,	6.61819e-02,	1.26721e+01,	1.30069e-02,	4.80227e+01
9.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.98411e+01,	5.94175e+01,	6.63779e-02,	1.22530e+01,	2.58970e-02,	4.70722e+01
1.00000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.98266e+01,	6.02168e+01,	6.54070e-02,	1.27693e+01,	1.27230e-02,	4.73694e+01
1.10000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.88898e+01,	6.01888e+01,	6.55792e-02,	1.22723e+01,	2.71297e-03,	4.78482e+01
1.20000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44657e+06,	3.96978e+01,	5.96111e+01,	6.56550e-02,	1.20529e+01,	2.75922e-03,	4.74898e+01
1.30000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44658e+06,	4.02128e+01,	6.08343e+01,	8.38320e-02,	1.21455e+01,	2.81096e-03,	4.86022e+01
1.40000e+02,	1.63840e+04,	2.09715e+06,	1.49876e+06,	1.44657e+06,	3.92764e+01,	6.04874e+01,	6.63249e-02,	1.21671e+01,	3.01981e-03,	4.82510e+01
1.50000e+02,	1.63840e+04,	2.09715e+06,	1.49876e+06,	1.44658e+06,	3.94637e+01,	6.02043e+01,	9.50141e-02,	1.22864e+01,	2.75612e-03,	4.78201e+01
1.60000e+02,	1.63840e+04,	2.09715e+06,	1.49876e+06,	1.44659e+06,	3.99276e+01,	6.07802e+01,	6.59680e-02,	1.27380e+01,	2.70605e-03,	4.79735e+01
1.70000e+02,	1.63840e+04,	2.09715e+06,	1.49845e+06,	1.44636e+06,	4.04208e+01,	5.92597e+01,	8.68430e-02,	1.22394e+01,	1.40080e-02,	4.69195e+01
1.80000e+02,	1.63840e+04,	2.09715e+06,	1.49843e+06,	1.44634e+06,	4.03787e+01,	5.86323e+01,	6.71790e-02,	1.21938e+01,	2.70009e-03,	4.63686e+01
1.90000e+02,	1.63840e+04,	2.09715e+06,	1.49843e+06,	1.44635e+06,	3.95738e+01,	5.81717e+01,	8.83081e-02,	1.18736e+01,	2.71392e-03,	4.62071e+01
2.00000e+02,	1.63840e+04,	2.09715e+06,	1.49843e+06,	1.44635e+06,	3.82672e+01,	5.95322e+01,	6.60920e-02,	1.24795e+01,	2.94709e-03,	4.69837e+01
2.10000e+02,	1.63840e+04,	2.09715e+06,	1.49843e+06,	1.44635e+06,	3.84018e+01,	5.98978e+01,	6.61399e-02,	1.23574e+01,	2.52509e-03,	4.74717e+01
2.20000e+02,	1.63840e+04,	2.09715e+06,	1.49829e+06,	1.44622e+06,	4.05692e+01,	5.67548e+01,	7.63090e-02,	1.22137e+01,	2.19512e-03,	4.44626e+01
2.30000e+02,	1.63840e+04,	2.09715e+06,	1.49825e+06,	1.44620e+06,	4.01000e+01,	5.60876e+01,	6.60210e-02,	1.19923e+01,	2.70104e-03,	4.40265e+01
2.40000e+02,	1.63840e+04,	2.09715e+06,	1.49825e+06,	1.44620e+06,	3.86372e+01,	5.77992e+01,	6.57721e-02,	1.24225e+01,	2.55179e-03,	4.53083e+01
