%--------------------------------------------------- 
% Timings: Sat Feb  9 10:00:54 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	3.27680e+04,	3.27680e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.16338e+01,	2.94549e+00,	8.66999e+00,	3.16882e-03,	1.51591e-02
1.00000e+01,	3.27680e+04,	3.27680e+06,	1.49887e+06,	1.44658e+06,	2.90331e+01,	9.89994e+01,	1.25796e-01,	8.35128e+00,	2.74992e-03,	9.05195e+01
2.00000e+01,	3.27680e+04,	3.27680e+06,	1.49887e+06,	1.44658e+06,	2.43669e+01,	9.76249e+01,	1.45105e-01,	8.27297e+00,	1.64819e-02,	8.91904e+01
3.00000e+01,	3.27680e+04,	3.27680e+06,	1.49882e+06,	1.44655e+06,	2.36881e+01,	9.86340e+01,	1.41676e-01,	8.33806e+00,	2.71893e-03,	9.01516e+01
4.00000e+01,	3.27680e+04,	3.27680e+06,	1.49882e+06,	1.44657e+06,	2.42090e+01,	9.21140e+01,	1.28293e-01,	8.51012e+00,	2.73950e-02,	8.34482e+01
5.00000e+01,	3.27680e+04,	3.27680e+06,	1.49883e+06,	1.44658e+06,	2.44776e+01,	9.06373e+01,	1.30260e-01,	8.84311e+00,	2.80619e-03,	8.16611e+01
6.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44653e+06,	2.36752e+01,	5.95853e+01,	1.32319e-01,	8.70750e+00,	2.77781e-03,	5.07427e+01
7.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44655e+06,	2.31232e+01,	9.35288e+01,	1.27815e-01,	8.36598e+00,	2.94399e-03,	8.50321e+01
8.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44656e+06,	2.42745e+01,	9.13175e+01,	6.22675e-01,	8.41367e+00,	7.26171e-02,	8.22085e+01
9.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44656e+06,	3.82991e+01,	7.71964e+01,	1.77551e-01,	8.51759e+00,	4.86970e-02,	6.84526e+01
1.00000e+02,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44656e+06,	2.49296e+01,	8.94522e+01,	1.77499e-01,	8.60324e+00,	1.31199e-02,	8.06583e+01
