%--------------------------------------------------- 
% Timings: Fri Jan 25 11:58:59 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07712e+05,	0.00000e+00,	1.20730e+01,	4.80261e+00,	7.15410e+00,	1.14649e-01,	1.69206e-03
1.00000e+01,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07725e+05,	2.79382e+01,	6.34206e+00,	1.18689e-01,	6.15272e+00,	2.64311e-03,	6.80060e-02
2.00000e+01,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07725e+05,	2.68141e+01,	6.30580e+00,	1.20258e-01,	6.10587e+00,	1.74117e-03,	7.79238e-02
3.00000e+01,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07727e+05,	2.44793e+01,	6.36272e+00,	1.20973e-01,	6.17260e+00,	2.08998e-03,	6.70590e-02
4.00000e+01,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07727e+05,	2.42300e+01,	6.37949e+00,	1.20765e-01,	6.25481e+00,	2.66314e-03,	1.24907e-03
5.00000e+01,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07727e+05,	2.96034e+01,	6.25870e+00,	1.21257e-01,	6.13406e+00,	1.76191e-03,	1.62196e-03
6.00000e+01,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07730e+05,	2.59582e+01,	6.40218e+00,	1.20729e-01,	6.22393e+00,	5.58579e-02,	1.65796e-03
7.00000e+01,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07730e+05,	2.63393e+01,	6.55676e+00,	3.69199e-01,	6.18265e+00,	2.77901e-03,	2.12908e-03
8.00000e+01,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07732e+05,	2.70268e+01,	6.58812e+00,	1.93907e-01,	6.25991e+00,	1.32178e-01,	2.12407e-03
9.00000e+01,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07739e+05,	2.97034e+01,	6.26241e+00,	1.21130e-01,	6.13831e+00,	1.74689e-03,	1.22309e-03
1.00000e+02,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07739e+05,	2.83998e+01,	6.43578e+00,	1.20631e-01,	6.31019e+00,	3.42393e-03,	1.53017e-03
1.10000e+02,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07739e+05,	2.53691e+01,	6.44282e+00,	2.74909e-01,	6.04833e+00,	1.73998e-03,	1.17841e-01
1.20000e+02,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07739e+05,	2.54700e+01,	6.62468e+00,	1.43393e-01,	6.40325e+00,	1.74499e-03,	7.62942e-02
1.30000e+02,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07749e+05,	2.43262e+01,	6.37663e+00,	1.74110e-01,	6.12562e+00,	2.74086e-03,	7.41551e-02
1.40000e+02,	3.84000e+03,	4.91520e+05,	2.18426e+05,	2.07687e+05,	2.99050e+01,	6.26506e+00,	1.89473e-01,	6.07205e+00,	2.03490e-03,	1.49798e-03
