%--------------------------------------------------- 
% Timings: Wed Jan 23 14:11:31 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	6.59200e+03,	1.68755e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.62950e+01,	4.45152e+00,	1.16882e+01,	2.75922e-03,	1.52576e-01
1.00000e+01,	6.59200e+03,	1.68755e+06,	1.49887e+06,	1.44658e+06,	8.39202e+01,	2.32324e+01,	4.54669e-02,	1.03888e+01,	2.78211e-03,	1.27953e+01
2.00000e+01,	6.59200e+03,	1.68755e+06,	1.49887e+06,	1.44658e+06,	8.06574e+01,	2.82179e+01,	3.88701e-02,	1.59306e+01,	2.99788e-03,	1.22454e+01
3.00000e+01,	6.59200e+03,	1.68755e+06,	1.49882e+06,	1.44655e+06,	8.12509e+01,	2.50496e+01,	3.87170e-02,	1.38724e+01,	3.03292e-03,	1.11354e+01
4.00000e+01,	6.59200e+03,	1.68755e+06,	1.49882e+06,	1.44657e+06,	8.06764e+01,	2.10398e+01,	3.90201e-02,	1.19798e+01,	2.67506e-03,	9.01834e+00
5.00000e+01,	6.59200e+03,	1.68755e+06,	1.49883e+06,	1.44658e+06,	8.13980e+01,	1.96602e+01,	3.96490e-02,	1.31842e+01,	2.90084e-03,	6.43352e+00
6.00000e+01,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44653e+06,	8.10256e+01,	1.43141e+01,	3.95548e-02,	1.32239e+01,	3.01909e-03,	1.04759e+00
7.00000e+01,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44655e+06,	8.16893e+01,	1.74817e+01,	3.88112e-02,	1.15391e+01,	2.73299e-03,	5.90108e+00
8.00000e+01,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44656e+06,	8.06303e+01,	2.45413e+01,	3.87740e-02,	1.50768e+01,	2.79903e-03,	9.42288e+00
9.00000e+01,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44656e+06,	8.98697e+01,	1.32518e+01,	3.86729e-02,	1.30672e+01,	2.80690e-03,	1.43162e-01
1.00000e+02,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44656e+06,	8.12351e+01,	1.99576e+01,	3.87349e-02,	1.42984e+01,	2.82788e-03,	5.61760e+00
1.10000e+02,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44656e+06,	8.09638e+01,	1.82751e+01,	3.90961e-02,	1.15707e+01,	2.70486e-03,	6.66258e+00
1.20000e+02,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44657e+06,	8.09568e+01,	1.73214e+01,	3.79870e-02,	1.16145e+01,	2.80094e-03,	5.66609e+00
1.30000e+02,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44658e+06,	8.07728e+01,	1.72669e+01,	3.83911e-02,	1.12306e+01,	2.04802e-03,	5.99588e+00
1.40000e+02,	6.59200e+03,	1.68755e+06,	1.49876e+06,	1.44657e+06,	8.07743e+01,	1.72393e+01,	3.83439e-02,	1.17907e+01,	2.75517e-03,	5.40744e+00
1.50000e+02,	6.59200e+03,	1.68755e+06,	1.49876e+06,	1.44658e+06,	8.08353e+01,	1.89247e+01,	3.85380e-02,	1.17202e+01,	2.71201e-03,	7.16321e+00
1.60000e+02,	6.59200e+03,	1.68755e+06,	1.49876e+06,	1.44659e+06,	8.11185e+01,	1.62354e+01,	3.88119e-02,	1.12987e+01,	2.67506e-03,	4.89517e+00
1.70000e+02,	6.59200e+03,	1.68755e+06,	1.49845e+06,	1.44636e+06,	8.43424e+01,	1.57424e+01,	5.53000e-02,	1.17736e+01,	2.73514e-03,	3.91073e+00
