%  ./failed/pipe-7-16384   ./failed/pipe-7-16384/extracted_timings-e727026.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  41.9380370714286 ,  39.397059 ,  45.752461 ,  1.97065228260561 
% PVSPY_VIZ_TIMINGS ,  63.3146352857143 ,  2.9e-05 ,  76.656889 ,  19.5348297323415 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,45.752461,76.656889
20,39.397059,76.133519
30,41.255981,73.740558
40,39.919763,69.779351
50,40.993714,68.701083
60,44.136545,46.847051
70,40.417587,70.154138
80,39.736626,70.184744
90,45.122676,65.425709
100,42.715071,66.628238
110,42.681493,67.257465
120,42.228485,67.56618
130,41.203123,67.32994
140,41.571935,2.9e-05
