%--------------------------------------------------- 
% Timings: Thu Jan 24 01:06:49 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	3.11680e+04,	3.11680e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.50312e+01,	4.55914e+00,	1.04660e+01,	2.68388e-03,	3.39723e-03
1.00000e+01,	3.11680e+04,	3.11680e+06,	1.49887e+06,	1.44658e+06,	3.14626e+01,	9.14319e+01,	1.73156e-01,	1.01310e+01,	2.86508e-03,	8.11249e+01
2.00000e+01,	3.11680e+04,	3.11680e+06,	1.49887e+06,	1.44658e+06,	2.38032e+01,	9.00432e+01,	1.55615e-01,	1.10336e+01,	2.74396e-03,	7.88512e+01
3.00000e+01,	3.11680e+04,	3.11680e+06,	1.49882e+06,	1.44655e+06,	2.42356e+01,	8.91158e+01,	1.58841e-01,	1.03847e+01,	2.66409e-03,	7.85697e+01
4.00000e+01,	3.11680e+04,	3.11680e+06,	1.49882e+06,	1.44657e+06,	2.36636e+01,	8.27863e+01,	1.55842e-01,	1.02447e+01,	3.42107e-03,	7.23823e+01
5.00000e+01,	3.11680e+04,	3.11680e+06,	1.49883e+06,	1.44658e+06,	2.35845e+01,	8.28450e+01,	1.58673e-01,	1.06373e+01,	2.46906e-03,	7.20465e+01
6.00000e+01,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44653e+06,	2.39510e+01,	5.67478e+01,	1.73647e-01,	1.00895e+01,	3.99492e-02,	4.64447e+01
7.00000e+01,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44655e+06,	2.33543e+01,	8.32640e+01,	1.56095e-01,	1.04353e+01,	1.31621e-02,	7.26594e+01
8.00000e+01,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44656e+06,	2.45096e+01,	8.30373e+01,	1.55878e-01,	1.04089e+01,	2.72703e-03,	7.24699e+01
9.00000e+01,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44656e+06,	2.35661e+01,	8.22456e+01,	1.56383e-01,	1.07123e+01,	2.86913e-03,	7.13741e+01
1.00000e+02,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44656e+06,	2.46780e+01,	8.27171e+01,	1.70059e-01,	1.03118e+01,	1.96729e-02,	7.22156e+01
1.10000e+02,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44656e+06,	2.34966e+01,	8.56150e+01,	1.56229e-01,	1.06042e+01,	2.85602e-03,	7.48517e+01
1.20000e+02,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44657e+06,	2.41953e+01,	8.12731e+01,	1.68483e-01,	1.02424e+01,	1.94950e-02,	7.08428e+01
1.30000e+02,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44658e+06,	2.37102e+01,	9.18142e+01,	7.20413e+00,	9.95909e+00,	1.37202e-01,	7.45138e+01
1.40000e+02,	3.11680e+04,	3.11680e+06,	1.49876e+06,	1.44657e+06,	6.32115e+01,	4.69455e+01,	1.56897e-01,	1.03123e+01,	4.51541e-02,	3.64312e+01
1.50000e+02,	3.11680e+04,	3.11680e+06,	1.49876e+06,	1.44658e+06,	1.21313e+02,	2.04618e+01,	1.55745e-01,	1.05622e+01,	3.53035e-01,	9.39080e+00
1.60000e+02,	3.11680e+04,	3.11680e+06,	1.49876e+06,	1.44659e+06,	7.50196e+01,	4.00298e+01,	1.54922e-01,	1.02835e+01,	3.04103e-03,	2.95884e+01
1.70000e+02,	3.11680e+04,	3.11680e+06,	1.49845e+06,	1.44636e+06,	2.56353e+01,	8.03468e+01,	1.75547e-01,	9.87128e+00,	2.49519e-02,	7.02750e+01
1.80000e+02,	3.11680e+04,	3.11680e+06,	1.49843e+06,	1.44634e+06,	2.58420e+01,	8.03858e+01,	1.56508e-01,	1.02584e+01,	3.97038e-02,	6.99311e+01
1.90000e+02,	3.11680e+04,	3.11680e+06,	1.49843e+06,	1.44635e+06,	2.35717e+01,	8.07110e+01,	1.92334e-01,	1.00328e+01,	2.83620e-02,	7.04575e+01
2.00000e+02,	3.11680e+04,	3.11680e+06,	1.49843e+06,	1.44635e+06,	2.55249e+01,	7.93327e+01,	1.56162e-01,	1.00586e+01,	2.69451e-02,	6.90910e+01
2.10000e+02,	3.11680e+04,	3.11680e+06,	1.49843e+06,	1.44635e+06,	3.21339e+01,	9.48013e+01,	1.83971e-01,	1.03002e+01,	7.95388e-03,	8.43092e+01
2.20000e+02,	3.11680e+04,	3.11680e+06,	1.49829e+06,	1.44622e+06,	2.60471e+01,	8.06435e+01,	1.63738e-01,	1.04438e+01,	1.85590e-02,	7.00174e+01
2.30000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44620e+06,	2.56925e+01,	7.82293e+01,	1.76638e-01,	1.03935e+01,	2.97904e-03,	6.76562e+01
2.40000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44620e+06,	2.34681e+01,	7.86307e+01,	1.69795e-01,	1.04087e+01,	2.32005e-03,	6.80499e+01
2.50000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44620e+06,	2.31715e+01,	8.04569e+01,	1.67572e-01,	1.01954e+01,	2.51198e-03,	7.00914e+01
2.60000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44621e+06,	2.54203e+01,	7.79196e+01,	1.72137e-01,	1.02523e+01,	2.97284e-03,	6.74922e+01
2.70000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44621e+06,	2.48978e+01,	7.68485e+01,	1.70983e-01,	1.06808e+01,	2.46191e-03,	6.59942e+01
2.80000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44621e+06,	2.32601e+01,	7.89096e+01,	1.72506e-01,	9.83711e+00,	2.24700e-02,	6.88775e+01
2.90000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44622e+06,	2.32866e+01,	8.01724e+01,	1.56189e-01,	1.07830e+01,	1.62799e-02,	6.92170e+01
3.00000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44622e+06,	2.43709e+01,	7.90821e+01,	1.69019e-01,	1.06030e+01,	1.88630e-02,	6.82912e+01
3.10000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44622e+06,	2.37527e+01,	7.94740e+01,	1.90288e-01,	1.06332e+01,	2.31814e-03,	6.86482e+01
3.20000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44623e+06,	2.38216e+01,	7.96831e+01,	1.85496e-01,	1.05322e+01,	2.60496e-03,	6.89627e+01
3.30000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44623e+06,	2.34774e+01,	7.83466e+01,	1.56176e-01,	1.04785e+01,	2.68412e-03,	6.77093e+01
3.40000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44624e+06,	2.35158e+01,	7.86444e+01,	1.78300e-01,	1.02393e+01,	2.47598e-03,	6.82243e+01
3.50000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44624e+06,	2.46257e+01,	7.84212e+01,	1.56094e-01,	1.03483e+01,	2.23088e-03,	6.79146e+01
3.60000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44625e+06,	2.37082e+01,	7.79140e+01,	1.55525e-01,	1.04407e+01,	2.39491e-03,	6.73154e+01
3.70000e+02,	3.11680e+04,	3.11680e+06,	1.49826e+06,	1.44626e+06,	2.37805e+01,	7.93391e+01,	1.58341e-01,	1.05672e+01,	2.64215e-03,	6.86109e+01
3.80000e+02,	3.11680e+04,	3.11680e+06,	1.49824e+06,	1.44625e+06,	2.52739e+01,	7.38007e+01,	1.60677e-01,	1.01701e+01,	1.02131e-02,	6.34597e+01
3.90000e+02,	3.11680e+04,	3.11680e+06,	1.49826e+06,	1.44627e+06,	2.38955e+01,	7.59311e+01,	1.60949e-01,	1.03709e+01,	2.39205e-03,	6.53968e+01
4.00000e+02,	3.11680e+04,	3.11680e+06,	1.49826e+06,	1.44628e+06,	2.43751e+01,	5.52548e+01,	1.60461e-01,	1.02902e+01,	1.99986e-03,	4.48022e+01
4.10000e+02,	3.11680e+04,	3.11680e+06,	1.49828e+06,	1.44630e+06,	2.68557e+01,	5.14312e+01,	5.00242e-01,	1.05599e+01,	2.23088e-03,	4.03688e+01
4.20000e+02,	3.11680e+04,	3.11680e+06,	1.49827e+06,	1.44630e+06,	2.75772e+01,	9.22854e+01,	1.74676e-01,	1.12562e+01,	2.30289e-03,	8.08521e+01
4.30000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44630e+06,	2.67553e+01,	9.25950e+01,	1.55889e-01,	1.08765e+01,	2.68006e-03,	8.15599e+01
4.40000e+02,	3.11680e+04,	3.11680e+06,	1.49824e+06,	1.44628e+06,	2.90050e+01,	8.48085e+01,	3.27159e-01,	1.06688e+01,	2.35200e-03,	7.38102e+01
4.50000e+02,	3.11680e+04,	3.11680e+06,	1.49826e+06,	1.44632e+06,	2.84037e+01,	8.63965e+01,	2.89227e-01,	1.06135e+01,	2.69604e-03,	7.54910e+01
4.60000e+02,	3.11680e+04,	3.11680e+06,	1.49826e+06,	1.44633e+06,	3.28057e+01,	6.40573e+01,	3.14342e-01,	1.07252e+01,	2.68817e-03,	5.30151e+01
