%--------------------------------------------------- 
% Timings: Sat Jan 26 10:10:49 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	3.11680e+04,	3.11680e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.44367e+01,	4.57490e+00,	9.83437e+00,	1.73860e-02,	1.00610e-02
1.00000e+01,	3.11680e+04,	3.11680e+06,	1.49887e+06,	1.44658e+06,	2.99517e+01,	9.20398e+01,	1.68338e-01,	1.06965e+01,	2.58803e-03,	8.11723e+01
2.00000e+01,	3.11680e+04,	3.11680e+06,	1.49887e+06,	1.44658e+06,	2.48571e+01,	8.64384e+01,	1.74794e-01,	1.07138e+01,	2.74897e-03,	7.55470e+01
3.00000e+01,	3.11680e+04,	3.11680e+06,	1.49882e+06,	1.44655e+06,	2.47424e+01,	8.63296e+01,	1.59691e-01,	1.02828e+01,	3.37005e-03,	7.58838e+01
4.00000e+01,	3.11680e+04,	3.11680e+06,	1.49882e+06,	1.44657e+06,	2.48206e+01,	8.56307e+01,	1.55909e-01,	1.05993e+01,	1.11532e-01,	7.47640e+01
5.00000e+01,	3.11680e+04,	3.11680e+06,	1.49883e+06,	1.44658e+06,	2.37685e+01,	8.30915e+01,	1.72553e-01,	1.07027e+01,	2.55461e-02,	7.21907e+01
6.00000e+01,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44653e+06,	2.40368e+01,	5.68677e+01,	1.60012e-01,	1.02715e+01,	2.27199e-02,	4.64135e+01
7.00000e+01,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44655e+06,	2.43067e+01,	8.43196e+01,	1.55604e-01,	1.08129e+01,	2.70486e-03,	7.33484e+01
8.00000e+01,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44656e+06,	2.32756e+01,	8.53593e+01,	1.55548e-01,	1.07318e+01,	2.81000e-03,	7.44691e+01
9.00000e+01,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44656e+06,	2.34323e+01,	8.60599e+01,	1.84111e-01,	1.11742e+01,	2.76685e-03,	7.46988e+01
1.00000e+02,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44656e+06,	2.33432e+01,	8.44197e+01,	1.56183e-01,	1.03440e+01,	2.31099e-03,	7.39172e+01
1.10000e+02,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44656e+06,	2.33105e+01,	8.30902e+01,	1.92378e-01,	1.04286e+01,	2.65408e-03,	7.24666e+01
1.20000e+02,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44657e+06,	2.44628e+01,	8.22249e+01,	1.70604e-01,	1.04215e+01,	2.70605e-03,	7.16301e+01
1.30000e+02,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44658e+06,	2.32533e+01,	8.39804e+01,	1.55758e-01,	1.07386e+01,	2.97499e-03,	7.30831e+01
1.40000e+02,	3.11680e+04,	3.11680e+06,	1.49876e+06,	1.44657e+06,	2.46543e+01,	8.27830e+01,	1.56604e-01,	1.07772e+01,	2.75087e-03,	7.18464e+01
1.50000e+02,	3.11680e+04,	3.11680e+06,	1.49876e+06,	1.44658e+06,	2.32929e+01,	8.39425e+01,	1.69195e-01,	1.03365e+01,	3.04508e-03,	7.34338e+01
1.60000e+02,	3.11680e+04,	3.11680e+06,	1.49876e+06,	1.44659e+06,	2.33975e+01,	8.61131e+01,	1.74518e-01,	1.03596e+01,	2.23398e-03,	7.55767e+01
1.70000e+02,	3.11680e+04,	3.11680e+06,	1.49845e+06,	1.44636e+06,	2.47722e+01,	8.17613e+01,	1.76513e-01,	1.01362e+01,	1.02959e-02,	7.14383e+01
1.80000e+02,	3.11680e+04,	3.11680e+06,	1.49843e+06,	1.44634e+06,	2.39391e+01,	8.38546e+01,	1.67934e-01,	1.09790e+01,	1.36940e-02,	7.26940e+01
1.90000e+02,	3.11680e+04,	3.11680e+06,	1.49843e+06,	1.44635e+06,	2.40065e+01,	8.14994e+01,	1.75976e-01,	9.93195e+00,	2.30842e-02,	7.13684e+01
2.00000e+02,	3.11680e+04,	3.11680e+06,	1.49843e+06,	1.44635e+06,	2.29676e+01,	8.24140e+01,	1.66475e-01,	1.07247e+01,	1.19390e-02,	7.15109e+01
2.10000e+02,	3.11680e+04,	3.11680e+06,	1.49843e+06,	1.44635e+06,	2.41788e+01,	8.12429e+01,	1.80188e-01,	1.03277e+01,	2.74205e-03,	7.07322e+01
2.20000e+02,	3.11680e+04,	3.11680e+06,	1.49829e+06,	1.44622e+06,	2.40171e+01,	8.23705e+01,	1.86974e-01,	1.11768e+01,	2.62301e-02,	7.09805e+01
2.30000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44620e+06,	2.44704e+01,	7.95104e+01,	1.56519e-01,	1.06030e+01,	1.10199e-02,	6.87399e+01
2.40000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44620e+06,	2.39408e+01,	7.88725e+01,	1.75028e-01,	1.05377e+01,	2.78401e-03,	6.81570e+01
2.50000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44620e+06,	2.29460e+01,	8.28997e+01,	1.56184e-01,	1.09299e+01,	2.35295e-03,	7.18113e+01
2.60000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44621e+06,	2.39939e+01,	7.90327e+01,	1.74638e-01,	1.04703e+01,	2.72608e-03,	6.83850e+01
2.70000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44621e+06,	2.32264e+01,	8.19153e+01,	1.56049e-01,	1.05453e+01,	2.09951e-02,	7.11930e+01
2.80000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44621e+06,	2.28639e+01,	7.97321e+01,	1.75557e-01,	1.01734e+01,	2.73395e-03,	6.93804e+01
2.90000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44622e+06,	2.41228e+01,	7.88365e+01,	1.75624e-01,	1.07910e+01,	2.93708e-03,	6.78670e+01
3.00000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44622e+06,	2.31228e+01,	8.19920e+01,	1.68697e-01,	1.03428e+01,	3.40700e-03,	7.14770e+01
3.10000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44622e+06,	2.41150e+01,	7.92802e+01,	1.69858e-01,	1.01779e+01,	2.76113e-03,	6.89297e+01
3.20000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44623e+06,	2.30422e+01,	8.22129e+01,	1.55547e-01,	1.00296e+01,	2.69413e-03,	7.20250e+01
3.30000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44623e+06,	2.32172e+01,	8.20059e+01,	1.55837e-01,	1.03173e+01,	2.75087e-03,	7.15300e+01
3.40000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44624e+06,	2.39801e+01,	8.05137e+01,	1.70463e-01,	1.06451e+01,	2.16370e-02,	6.96765e+01
3.50000e+02,	3.11680e+04,	3.11680e+06,	1.49825e+06,	1.44624e+06,	2.34523e+01,	7.93017e+01,	1.55892e-01,	1.06153e+01,	6.18601e-03,	6.85243e+01
