%--------------------------------------------------- 
% Timings: Tue Feb  5 20:56:52 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	6.34880e+04,	6.34880e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.33557e+01,	3.83332e+00,	9.36760e+00,	2.73705e-03,	1.52019e-01
1.00000e+01,	6.34880e+04,	6.34880e+06,	1.49887e+06,	1.44658e+06,	2.42977e+01,	9.92729e+01,	2.42196e-01,	9.51495e+00,	2.75207e-03,	8.95130e+01
2.00000e+01,	6.34880e+04,	6.34880e+06,	1.49887e+06,	1.44658e+06,	1.48519e+01,	9.96854e+01,	2.55474e-01,	9.56446e+00,	2.70104e-03,	8.98628e+01
3.00000e+01,	6.34880e+04,	6.34880e+06,	1.49882e+06,	1.44655e+06,	1.50855e+01,	1.01356e+02,	2.47900e-01,	1.07270e+01,	2.69914e-03,	9.03779e+01
4.00000e+01,	6.34880e+04,	6.34880e+06,	1.49882e+06,	1.44657e+06,	1.43703e+01,	9.62170e+01,	2.43688e-01,	9.78533e+00,	2.70391e-03,	8.61852e+01
5.00000e+01,	6.34880e+04,	6.34880e+06,	1.49883e+06,	1.44658e+06,	1.44329e+01,	9.81451e+01,	2.46084e-01,	9.80779e+00,	2.78902e-03,	8.80884e+01
6.00000e+01,	6.34880e+04,	6.34880e+06,	1.49877e+06,	1.44653e+06,	1.51715e+01,	6.81656e+01,	2.54178e-01,	9.72461e+00,	2.72202e-03,	5.81841e+01
7.00000e+01,	6.34880e+04,	6.34880e+06,	1.49877e+06,	1.44655e+06,	1.79121e+01,	9.64518e+01,	2.43812e-01,	9.71489e+00,	3.39603e-03,	8.64897e+01
8.00000e+01,	6.34880e+04,	6.34880e+06,	1.49877e+06,	1.44656e+06,	1.39694e+01,	9.70782e+01,	2.43917e-01,	9.54908e+00,	2.70414e-03,	8.72824e+01
9.00000e+01,	6.34880e+04,	6.34880e+06,	1.49877e+06,	1.44656e+06,	1.42592e+01,	9.99125e+01,	2.43410e-01,	9.81427e+00,	2.75803e-03,	8.98521e+01
1.00000e+02,	6.34880e+04,	6.34880e+06,	1.49877e+06,	1.44656e+06,	1.44873e+01,	9.69505e+01,	2.44371e-01,	9.50725e+00,	2.75898e-03,	8.71961e+01
1.10000e+02,	6.34880e+04,	6.34880e+06,	1.49877e+06,	1.44656e+06,	1.52994e+01,	9.56416e+01,	2.44089e-01,	9.49925e+00,	2.87294e-03,	8.58954e+01
1.20000e+02,	6.34880e+04,	6.34880e+06,	1.49877e+06,	1.44657e+06,	1.48149e+01,	9.63040e+01,	2.43497e-01,	1.00237e+01,	3.41988e-03,	8.60334e+01
1.30000e+02,	6.34880e+04,	6.34880e+06,	1.49877e+06,	1.44658e+06,	1.93104e+01,	9.13263e+01,	2.44052e-01,	9.39347e+00,	2.74992e-03,	8.16860e+01
1.40000e+02,	6.34880e+04,	6.34880e+06,	1.49876e+06,	1.44657e+06,	1.48431e+01,	9.76786e+01,	2.45036e-01,	1.01680e+01,	2.92993e-03,	8.72626e+01
1.50000e+02,	6.34880e+04,	6.34880e+06,	1.49876e+06,	1.44658e+06,	1.43644e+01,	9.84100e+01,	2.44446e-01,	9.43173e+00,	3.01194e-03,	8.87308e+01
1.60000e+02,	6.34880e+04,	6.34880e+06,	1.49876e+06,	1.44659e+06,	1.41793e+01,	9.72403e+01,	2.43953e-01,	1.01512e+01,	2.70295e-03,	8.68424e+01
1.70000e+02,	6.34880e+04,	6.34880e+06,	1.49845e+06,	1.44636e+06,	1.62098e+01,	9.50609e+01,	2.64731e-01,	9.80697e+00,	2.69985e-03,	8.49865e+01
1.80000e+02,	6.34880e+04,	6.34880e+06,	1.49843e+06,	1.44634e+06,	1.49584e+01,	9.89915e+01,	2.43954e-01,	9.89668e+00,	2.70200e-03,	8.88482e+01
1.90000e+02,	6.34880e+04,	6.34880e+06,	1.49843e+06,	1.44635e+06,	1.47556e+01,	9.65970e+01,	2.43834e-01,	9.38804e+00,	2.74682e-03,	8.69624e+01
2.00000e+02,	6.34880e+04,	6.34880e+06,	1.49843e+06,	1.44635e+06,	1.72764e+01,	9.41590e+01,	2.50684e-01,	9.84002e+00,	2.75898e-03,	8.40655e+01
2.10000e+02,	6.34880e+04,	6.34880e+06,	1.49843e+06,	1.44635e+06,	1.38752e+01,	9.74150e+01,	2.43834e-01,	9.55609e+00,	2.73108e-03,	8.76123e+01
