%  ./failed/pipe-7-65536   ./failed/pipe-7-65536/extracted_timings-e727028.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  14.793865 ,  13.424366 ,  18.85982 ,  1.38122523979864 
% PVSPY_VIZ_TIMINGS ,  96.2689212380952 ,  68.622875 ,  101.815324 ,  6.69687711645974 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,15.27939,99.727479
20,14.402387,100.141571
30,14.631273,101.815324
40,13.919816,96.672837
50,13.981326,98.601412
60,14.720301,68.622875
70,17.460836,96.909036
80,13.5174,97.53485
90,13.810063,100.36745
100,14.037425,97.405253
110,14.83527,96.11095
120,14.363581,96.76013
130,18.85982,91.782259
140,14.393941,98.132774
150,13.911399,98.867706
160,13.726626,97.697541
170,15.759481,95.516969
180,14.509428,99.445533
190,14.306862,97.050313
200,16.820174,94.614756
210,13.424366,97.870328
