%--------------------------------------------------- 
% Timings: Wed Feb 13 09:57:56 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	9.92000e+02,	9.92000e+04,	3.30940e+04,	3.00800e+04,	0.00000e+00,	1.40257e+01,	5.30648e+00,	8.69188e+00,	1.72114e-03,	2.56140e-02
1.00000e+01,	9.92000e+02,	9.92000e+04,	3.30940e+04,	3.00800e+04,	1.32698e+01,	7.92630e+00,	2.40757e-01,	7.65646e+00,	1.71208e-03,	2.73681e-02
2.00000e+01,	9.92000e+02,	9.92000e+04,	3.30940e+04,	3.00800e+04,	1.25266e+01,	8.14679e+00,	2.44011e-01,	7.85736e+00,	1.71089e-03,	4.37012e-02
3.00000e+01,	9.92000e+02,	9.92000e+04,	3.30940e+04,	3.00800e+04,	1.25966e+01,	7.88474e+00,	2.43870e-01,	7.61732e+00,	1.70994e-03,	2.18441e-02
4.00000e+01,	9.92000e+02,	9.92000e+04,	3.30940e+04,	3.00840e+04,	1.24302e+01,	7.90390e+00,	2.44740e-01,	7.50210e+00,	1.71518e-03,	1.55347e-01
5.00000e+01,	9.92000e+02,	9.92000e+04,	3.30940e+04,	3.00850e+04,	1.24547e+01,	8.13100e+00,	2.43590e-01,	7.72982e+00,	1.70493e-03,	1.55879e-01
6.00000e+01,	9.92000e+02,	9.92000e+04,	3.30940e+04,	3.00870e+04,	1.26458e+01,	7.83693e+00,	2.45029e-01,	7.58003e+00,	1.70588e-03,	1.01590e-02
7.00000e+01,	9.92000e+02,	9.92000e+04,	3.30660e+04,	3.00810e+04,	1.35607e+01,	7.74086e+00,	2.44607e-01,	7.48554e+00,	1.70708e-03,	8.99887e-03
8.00000e+01,	9.92000e+02,	9.92000e+04,	3.30450e+04,	3.00640e+04,	1.27984e+01,	8.24364e+00,	2.46304e-01,	7.90962e+00,	1.71304e-03,	8.59962e-02
9.00000e+01,	9.92000e+02,	9.92000e+04,	3.30450e+04,	3.00760e+04,	1.25732e+01,	7.77967e+00,	2.45038e-01,	7.51995e+00,	1.70994e-03,	1.29719e-02
1.00000e+02,	9.92000e+02,	9.92000e+04,	3.30450e+04,	3.00760e+04,	1.25987e+01,	7.82585e+00,	2.45226e-01,	7.56820e+00,	1.93191e-03,	1.04899e-02
1.10000e+02,	9.92000e+02,	9.92000e+04,	3.30450e+04,	3.00760e+04,	1.30541e+01,	8.05270e+00,	2.44560e-01,	7.79969e+00,	1.71018e-03,	6.74295e-03
1.20000e+02,	9.92000e+02,	9.92000e+04,	3.30450e+04,	3.00770e+04,	1.26961e+01,	7.73136e+00,	2.44289e-01,	7.48154e+00,	1.71995e-03,	3.81899e-03
1.30000e+02,	9.92000e+02,	9.92000e+04,	3.30450e+04,	3.00770e+04,	1.26509e+01,	7.70163e+00,	2.45904e-01,	7.44684e+00,	1.71208e-03,	7.16615e-03
1.40000e+02,	9.92000e+02,	9.92000e+04,	3.30450e+04,	3.00800e+04,	1.27353e+01,	7.85345e+00,	2.54516e-01,	7.58764e+00,	1.70994e-03,	9.58204e-03
1.50000e+02,	9.92000e+02,	9.92000e+04,	3.30450e+04,	3.00820e+04,	1.29322e+01,	7.74486e+00,	2.44915e-01,	7.49148e+00,	1.70612e-03,	6.76298e-03
1.60000e+02,	9.92000e+02,	9.92000e+04,	3.30380e+04,	3.00790e+04,	1.31654e+01,	7.68565e+00,	2.45153e-01,	7.43758e+00,	1.70302e-03,	1.21498e-03
1.70000e+02,	9.92000e+02,	9.92000e+04,	3.30380e+04,	3.00810e+04,	1.30377e+01,	7.85921e+00,	2.45711e-01,	7.61055e+00,	1.71494e-03,	1.23620e-03
1.80000e+02,	9.92000e+02,	9.92000e+04,	3.30380e+04,	3.00850e+04,	1.37859e+01,	7.73559e+00,	2.44790e-01,	7.48786e+00,	1.72400e-03,	1.21689e-03
1.90000e+02,	9.92000e+02,	9.92000e+04,	3.30380e+04,	3.00870e+04,	1.31841e+01,	7.49016e+00,	2.44870e-01,	7.24236e+00,	1.70803e-03,	1.22190e-03
