Function  , sum  , mean  , min  , max  
MPI_Allgather , 1.3675753E8 , 22976.735551075268 , 8696.0 , 131366.0
MPI_Allgather , 2.45981E9 , 2479647.1774193547 , 2514880.0 , 2530310.0
MPI_Allreduce , 2.06767E7 , 20843.447580645163 , 11024.0 , 59965.0
MPI_Allreduce , 2.076908E8 , 104682.8629032258 , 35940.0 , 228508.0
MPI_Allreduce , 3.8607E7 , 19459.173387096773 , 9530.0 , 59878.0
MPI_Allreduce , 1.7883E7 , 18027.217741935485 , 8783.0 , 71945.0
MPI_Allreduce , 1.76627E8 , 19783.490143369174 , 8687.0 , 131856.0
MPI_Allreduce , 7.6688E7 , 38653.22580645161 , 10867.0 , 140874.0
MPI_Allreduce , 3.493173E7 , 11737.8125 , 8707.0 , 83835.0
MPI_Allreduce , 1.69404E7 , 17077.016129032258 , 10174.0 , 71698.0
MPI_Barrier , 6.27993E7 , 63305.74596774193 , 8326.0 , 131784.0
MPI_Barrier , 2.01216E7 , 20283.870967741936 , 11720.0 , 23987.0
MPI_Barrier , 4.11788E7 , 41510.8870967742 , 23602.0 , 47974.0
MPI_Barrier , 8.69325E7 , 87633.56854838709 , 11993.0 , 191895.0
MPI_Barrier , 3.45729E8 , 348517.1370967742 , 8887.0 , 706930.0
MPI_Barrier , 1.26477E7 , 12749.697580645161 , 10603.0 , 59983.0
MPI_Barrier , 8.45662E9 , 8524818.548387097 , 932921.0 , 1.62966E7
MPI_Barrier , 2.9651E10 , 2.9890120967741936E7 , 8071400.0 , 3.40234E8
MPI_Barrier , 9.25194E9 , 9326552.41935484 , 34073.0 , 9491290.0
MPI_Barrier , 5.08079E7 , 51217.64112903226 , 47958.0 , 59975.0
MPI_Bcast , 2.19778E8 , 221550.40322580645 , 11991.0 , 1989970.0
MPI_Bcast , 8.731574E8 , 46326.26273344652 , 8545.0 , 135304.0
MPI_Comm_dup , 1.36472E7 , 13757.258064516129 , 8971.0 , 71965.0
MPI_Comm_split , 7.33845E7 , 36988.155241935485 , 10977.0 , 131720.0
MPI_Comm_split , 1.01159E7 , 10197.479838709678 , 8013.0 , 20831.0
MPI_Isend , 7.885286E7 , 15897.754032258064 , 10434.0 , 120031.0
MPI_Recv , 1.559423847E10 , 261999.97429435485 , 8436.0 , 1.86964E7
MPI_Reduce_scatter , 8.15718E7 , 20557.40927419355 , 10146.0 , 95501.0
MPI_Scan , 1.10265E7 , 11115.423387096775 , 9217.0 , 47969.0
MPI_Scan , 8539670.0 , 8608.538306451614 , 9642.0 , 47917.0
MPI_Send , 1.0986552996E11 , 2461145.384408602 , 8501.0 , 2.451E7
MPI_Type_struct , 4.06833E7 , 13670.463709677419 , 11459.0 , 83852.0
MPI_Type_struct , 1.01484E7 , 10230.241935483871 , 11966.0 , 72068.0
amrini_ , 8.26423E10 , 8.330877016129032E7 , 8.3277E7 , 8.33293E7
cth , 8.25407E11 , 8.320635080645162E8 , 8.03515E8 , 1.14564E9
pvspy_fil , 7.67611E7 , 77380.14112903226 , 8225.0 , 158297.0
pvspy_fin , 9.30278E9 , 9377802.41935484 , 34073.0 , 9551100.0
pvspy_scf , 4.12148E7 , 41547.17741935484 , 23924.0 , 47974.0
pvspy_stm , 2.48122E9 , 2501229.8387096776 , 2538780.0 , 2553850.0
pvspy_viz , 3.98823E10 , 4.0203931451612905E7 , 1.62022E7 , 3.52522E8
pvspy_viz_sync_data , 3.07461E10 , 3.0994052419354837E7 , 9166970.0 , 3.41252E8
pvspy_viz_sync_metadata , 8.48108E9 , 8549475.806451613 , 932921.0 , 1.63086E7
pvspy_viz_wait , 3.46137E8 , 348928.42741935485 , 8887.0 , 706930.0
