%--------------------------------------------------- 
% Timings: Fri Jan 25 14:27:08 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07712e+05,	0.00000e+00,	1.11614e+01,	3.77199e+00,	7.17899e+00,	2.62094e-03,	2.07775e-01
1.00000e+01,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07725e+05,	4.41251e+01,	6.45716e+00,	5.76761e-02,	6.19530e+00,	1.94693e-03,	2.02241e-01
2.00000e+01,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07725e+05,	4.38297e+01,	6.41153e+00,	6.03409e-02,	6.15548e+00,	1.78099e-03,	1.93933e-01
3.00000e+01,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07727e+05,	4.28601e+01,	6.51652e+00,	6.11649e-02,	6.24672e+00,	2.90704e-03,	2.05721e-01
4.00000e+01,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07727e+05,	4.27489e+01,	6.44634e+00,	6.03771e-02,	6.18713e+00,	2.01607e-03,	1.96812e-01
5.00000e+01,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07727e+05,	4.36751e+01,	6.43465e+00,	6.00698e-02,	6.16713e+00,	1.73593e-03,	2.05708e-01
6.00000e+01,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07730e+05,	4.37510e+01,	6.38568e+00,	6.00450e-02,	6.13427e+00,	1.74904e-03,	1.89609e-01
7.00000e+01,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07730e+05,	4.28310e+01,	6.33756e+00,	6.02360e-02,	6.08206e+00,	1.87707e-03,	1.93382e-01
8.00000e+01,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07732e+05,	4.38889e+01,	6.44983e+00,	5.99670e-02,	6.19141e+00,	2.65217e-03,	1.95799e-01
9.00000e+01,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07739e+05,	4.36107e+01,	6.37329e+00,	6.01771e-02,	6.11196e+00,	2.97403e-03,	1.98180e-01
1.00000e+02,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07739e+05,	4.27897e+01,	6.45306e+00,	6.02100e-02,	6.18109e+00,	2.96092e-03,	2.08795e-01
1.10000e+02,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07739e+05,	4.29026e+01,	6.43269e+00,	6.01330e-02,	6.17556e+00,	1.72901e-03,	1.95267e-01
1.20000e+02,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07739e+05,	4.28021e+01,	6.42002e+00,	6.00152e-02,	6.15965e+00,	2.13909e-03,	1.98208e-01
1.30000e+02,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07749e+05,	4.30080e+01,	6.36868e+00,	5.98891e-02,	6.11181e+00,	3.32189e-03,	1.93657e-01
1.40000e+02,	1.79200e+03,	4.58752e+05,	2.18426e+05,	2.07687e+05,	4.63380e+01,	6.58282e+00,	7.77218e-02,	6.30152e+00,	2.82693e-03,	2.00743e-01
1.50000e+02,	1.79200e+03,	4.58752e+05,	2.18419e+05,	2.07684e+05,	4.35703e+01,	6.49776e+00,	6.03039e-02,	6.24168e+00,	1.83201e-03,	1.93948e-01
1.60000e+02,	1.79200e+03,	4.58752e+05,	2.18419e+05,	2.07684e+05,	4.28262e+01,	6.50563e+00,	6.04260e-02,	6.24634e+00,	1.93405e-03,	1.96924e-01
1.70000e+02,	1.79200e+03,	4.58752e+05,	2.18419e+05,	2.07688e+05,	4.35673e+01,	6.45867e+00,	6.03471e-02,	6.19890e+00,	1.73712e-03,	1.97687e-01
1.80000e+02,	1.79200e+03,	4.58752e+05,	2.18419e+05,	2.07696e+05,	4.38172e+01,	6.49276e+00,	6.02641e-02,	6.21660e+00,	2.62499e-03,	2.13269e-01
1.90000e+02,	1.79200e+03,	4.58752e+05,	2.18419e+05,	2.07696e+05,	4.28216e+01,	6.42577e+00,	6.09410e-02,	6.15676e+00,	1.85490e-03,	2.06210e-01
2.00000e+02,	1.79200e+03,	4.58752e+05,	2.18419e+05,	2.07696e+05,	4.27476e+01,	6.44434e+00,	7.73330e-02,	6.16201e+00,	1.97887e-03,	2.03020e-01
