%--------------------------------------------------- 
% Timings: Mon Feb 11 20:01:38 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07712e+05,	0.00000e+00,	1.08844e+01,	3.79584e+00,	6.88814e+00,	1.72901e-03,	1.98727e-01
1.00000e+01,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07725e+05,	4.46192e+01,	6.38392e+00,	5.76141e-02,	6.12803e+00,	1.95312e-03,	1.96321e-01
2.00000e+01,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07725e+05,	4.30953e+01,	6.31091e+00,	5.93882e-02,	6.04010e+00,	2.65503e-03,	2.08765e-01
3.00000e+01,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07727e+05,	4.26360e+01,	6.32734e+00,	5.98440e-02,	6.05270e+00,	1.74999e-03,	2.13035e-01
4.00000e+01,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07727e+05,	4.29587e+01,	6.45770e+00,	5.98242e-02,	6.19091e+00,	1.73211e-03,	2.05233e-01
5.00000e+01,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07727e+05,	4.25971e+01,	6.30980e+00,	6.77280e-02,	6.01957e+00,	3.29995e-03,	2.19207e-01
6.00000e+01,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07730e+05,	4.27052e+01,	6.33433e+00,	6.03702e-02,	6.06891e+00,	2.67506e-03,	2.02375e-01
7.00000e+01,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07730e+05,	4.27039e+01,	6.40836e+00,	6.08540e-02,	6.13621e+00,	2.46286e-03,	2.08832e-01
8.00000e+01,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07732e+05,	4.26463e+01,	6.39822e+00,	5.98249e-02,	6.12240e+00,	1.74594e-03,	2.14247e-01
9.00000e+01,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07739e+05,	4.30679e+01,	6.25106e+00,	6.24700e-02,	5.97723e+00,	2.50697e-03,	2.08848e-01
1.00000e+02,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07739e+05,	4.42825e+01,	6.52668e+00,	6.03480e-02,	5.98803e+00,	2.68880e-01,	2.09418e-01
1.10000e+02,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07739e+05,	4.58556e+01,	6.31381e+00,	6.00140e-02,	6.05138e+00,	1.74189e-03,	2.00669e-01
1.20000e+02,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07739e+05,	4.40692e+01,	6.44020e+00,	1.16312e-01,	6.12237e+00,	1.74999e-03,	1.99764e-01
1.30000e+02,	1.79200e+03,	4.58752e+05,	2.18510e+05,	2.07749e+05,	4.31403e+01,	6.31059e+00,	5.97389e-02,	6.03749e+00,	1.74308e-03,	2.11613e-01
1.40000e+02,	1.79200e+03,	4.58752e+05,	2.18426e+05,	2.07687e+05,	4.52273e+01,	6.27660e+00,	6.87540e-02,	6.00844e+00,	1.73593e-03,	1.97668e-01
1.50000e+02,	1.79200e+03,	4.58752e+05,	2.18419e+05,	2.07684e+05,	4.37295e+01,	6.27755e+00,	6.07631e-02,	6.01178e+00,	1.72806e-03,	2.03273e-01
1.60000e+02,	1.79200e+03,	4.58752e+05,	2.18419e+05,	2.07684e+05,	4.29812e+01,	6.37853e+00,	6.06101e-02,	6.10484e+00,	2.68197e-03,	2.10396e-01
1.70000e+02,	1.79200e+03,	4.58752e+05,	2.18419e+05,	2.07688e+05,	4.27446e+01,	6.52275e+00,	7.39858e-02,	6.25961e+00,	1.79005e-03,	1.87364e-01
1.80000e+02,	1.79200e+03,	4.58752e+05,	2.18419e+05,	2.07696e+05,	4.25916e+01,	6.44751e+00,	6.00550e-02,	6.17955e+00,	2.92015e-03,	2.04976e-01
1.90000e+02,	1.79200e+03,	4.58752e+05,	2.18419e+05,	2.07696e+05,	4.24723e+01,	6.29188e+00,	6.01048e-02,	6.03068e+00,	2.39801e-03,	1.98699e-01
2.00000e+02,	1.79200e+03,	4.58752e+05,	2.18419e+05,	2.07696e+05,	4.24406e+01,	6.31744e+00,	5.99711e-02,	6.05576e+00,	2.53010e-03,	1.99173e-01
2.10000e+02,	1.79200e+03,	4.58752e+05,	2.18419e+05,	2.07696e+05,	4.26651e+01,	6.57280e+00,	6.01261e-02,	6.25605e+00,	2.68483e-03,	2.53943e-01
2.20000e+02,	1.79200e+03,	4.58752e+05,	2.18419e+05,	2.07697e+05,	4.29743e+01,	6.54845e+00,	6.04980e-02,	6.29484e+00,	1.73903e-03,	1.91368e-01
2.30000e+02,	1.79200e+03,	4.58752e+05,	2.18419e+05,	2.07698e+05,	4.28790e+01,	6.49878e+00,	6.05121e-02,	6.27864e+00,	1.84894e-03,	1.57775e-01
2.40000e+02,	1.79200e+03,	4.58752e+05,	2.18412e+05,	2.07698e+05,	4.34915e+01,	6.33530e+00,	6.00960e-02,	6.21779e+00,	2.17700e-03,	5.52361e-02
2.50000e+02,	1.79200e+03,	4.58752e+05,	2.18405e+05,	2.07691e+05,	4.41049e+01,	6.30981e+00,	5.99980e-02,	6.18821e+00,	2.48909e-03,	5.91211e-02
2.60000e+02,	1.79200e+03,	4.58752e+05,	2.18398e+05,	2.07686e+05,	4.37359e+01,	6.25977e+00,	6.05421e-02,	6.19452e+00,	1.96910e-03,	2.73395e-03
2.70000e+02,	1.79200e+03,	4.58752e+05,	2.18398e+05,	2.07689e+05,	4.36219e+01,	6.20498e+00,	5.99148e-02,	6.12832e+00,	1.52900e-02,	1.46008e-03
2.80000e+02,	1.79200e+03,	4.58752e+05,	2.18398e+05,	2.07691e+05,	4.37816e+01,	6.32757e+00,	6.02450e-02,	6.24190e+00,	1.96099e-03,	2.34630e-02
2.90000e+02,	1.79200e+03,	4.58752e+05,	2.18391e+05,	2.07687e+05,	4.46272e+01,	6.16691e+00,	6.01158e-02,	6.00654e+00,	2.12193e-03,	9.81269e-02
3.00000e+02,	1.79200e+03,	4.58752e+05,	2.18391e+05,	2.07691e+05,	4.65457e+01,	6.24651e+00,	6.06380e-02,	6.18205e+00,	2.35605e-03,	1.46198e-03
3.10000e+02,	1.79200e+03,	4.58752e+05,	2.18384e+05,	2.07696e+05,	4.92314e+01,	6.20638e+00,	6.02500e-02,	6.14259e+00,	1.73688e-03,	1.80387e-03
3.20000e+02,	1.79200e+03,	4.58752e+05,	2.18370e+05,	2.07684e+05,	4.59404e+01,	6.32940e+00,	6.00920e-02,	6.26415e+00,	2.71797e-03,	2.43902e-03
3.30000e+02,	1.79200e+03,	4.58752e+05,	2.18356e+05,	2.07674e+05,	4.56835e+01,	6.28386e+00,	6.04479e-02,	6.18647e+00,	3.48392e-02,	2.10404e-03
3.40000e+02,	1.79200e+03,	4.58752e+05,	2.18356e+05,	2.07677e+05,	4.46959e+01,	6.26167e+00,	5.99020e-02,	6.19763e+00,	2.67720e-03,	1.45817e-03
3.50000e+02,	1.79200e+03,	4.58752e+05,	2.18328e+05,	2.07655e+05,	4.52179e+01,	6.21997e+00,	6.08599e-02,	6.15534e+00,	2.31314e-03,	1.45102e-03
