%--------------------------------------------------- 
% Timings: Wed Feb  6 10:16:39 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07712e+05,	0.00000e+00,	1.09993e+01,	3.85256e+00,	7.14376e+00,	1.71995e-03,	1.20997e-03
1.00000e+01,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07725e+05,	2.45744e+01,	6.32750e+00,	1.18249e-01,	6.20498e+00,	2.59399e-03,	1.67179e-03
2.00000e+01,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07725e+05,	2.23910e+01,	6.34680e+00,	1.20573e-01,	6.22200e+00,	2.70319e-03,	1.52898e-03
3.00000e+01,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07727e+05,	2.25551e+01,	6.33244e+00,	1.20806e-01,	6.20759e+00,	2.69198e-03,	1.35589e-03
4.00000e+01,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07727e+05,	2.31955e+01,	6.34921e+00,	1.20286e-01,	6.22476e+00,	1.97291e-03,	2.19011e-03
5.00000e+01,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07727e+05,	2.26650e+01,	6.31678e+00,	1.20578e-01,	6.19288e+00,	1.72997e-03,	1.59097e-03
6.00000e+01,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07730e+05,	2.32050e+01,	6.29496e+00,	1.21481e-01,	6.16883e+00,	2.69103e-03,	1.96099e-03
7.00000e+01,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07730e+05,	2.37011e+01,	6.27086e+00,	1.21187e-01,	6.14506e+00,	2.64907e-03,	1.95909e-03
8.00000e+01,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07732e+05,	2.27308e+01,	6.29851e+00,	1.20432e-01,	6.17506e+00,	1.73783e-03,	1.27506e-03
9.00000e+01,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07739e+05,	2.31510e+01,	6.30064e+00,	1.23307e-01,	6.17275e+00,	2.35915e-03,	2.21515e-03
1.00000e+02,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07739e+05,	2.27156e+01,	6.26291e+00,	1.21230e-01,	6.13859e+00,	1.73998e-03,	1.34492e-03
1.10000e+02,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07739e+05,	2.34040e+01,	6.37191e+00,	1.20501e-01,	6.24806e+00,	1.72710e-03,	1.62220e-03
1.20000e+02,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07739e+05,	2.27458e+01,	6.26696e+00,	1.21413e-01,	6.14169e+00,	2.60687e-03,	1.25098e-03
1.30000e+02,	3.84000e+03,	4.91520e+05,	2.18510e+05,	2.07749e+05,	2.28621e+01,	6.38018e+00,	1.20317e-01,	6.25550e+00,	2.64502e-03,	1.72305e-03
1.40000e+02,	3.84000e+03,	4.91520e+05,	2.18426e+05,	2.07687e+05,	2.42291e+01,	6.31568e+00,	1.23399e-01,	6.18916e+00,	1.83105e-03,	1.28293e-03
1.50000e+02,	3.84000e+03,	4.91520e+05,	2.18419e+05,	2.07684e+05,	2.25754e+01,	6.45637e+00,	1.21503e-01,	6.33062e+00,	2.96307e-03,	1.27983e-03
1.60000e+02,	3.84000e+03,	4.91520e+05,	2.18419e+05,	2.07684e+05,	2.21796e+01,	6.24631e+00,	1.20911e-01,	6.12018e+00,	2.65193e-03,	2.56205e-03
1.70000e+02,	3.84000e+03,	4.91520e+05,	2.18419e+05,	2.07688e+05,	2.26174e+01,	6.27303e+00,	1.20517e-01,	6.14932e+00,	1.90783e-03,	1.28078e-03
1.80000e+02,	3.84000e+03,	4.91520e+05,	2.18419e+05,	2.07696e+05,	2.24457e+01,	6.20238e+00,	1.20619e-01,	6.07874e+00,	1.76716e-03,	1.25790e-03
1.90000e+02,	3.84000e+03,	4.91520e+05,	2.18419e+05,	2.07696e+05,	2.26002e+01,	6.24332e+00,	1.20879e-01,	6.11694e+00,	2.94185e-03,	2.55680e-03
