%--------------------------------------------------- 
% Timings: Wed Jan 23 14:07:27 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07712e+05,	0.00000e+00,	1.10050e+01,	4.49463e+00,	6.49756e+00,	2.59900e-03,	1.01831e-02
1.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07725e+05,	1.48684e+01,	1.08601e+01,	2.41010e-01,	6.84182e+00,	2.66004e-03,	3.77458e+00
2.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07725e+05,	1.29079e+01,	1.30614e+01,	2.43531e-01,	7.41821e+00,	2.65098e-03,	5.39706e+00
3.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07727e+05,	1.28394e+01,	1.15396e+01,	2.44214e-01,	6.55413e+00,	2.67696e-03,	4.73853e+00
4.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07727e+05,	1.28155e+01,	1.13220e+01,	2.45172e-01,	6.55930e+00,	1.74189e-03,	4.51579e+00
5.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07727e+05,	1.28120e+01,	1.17697e+01,	2.43916e-01,	6.56240e+00,	1.57578e-02,	4.94764e+00
6.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07730e+05,	1.30847e+01,	1.19861e+01,	2.44192e-01,	7.55113e+00,	1.77288e-03,	4.18899e+00
7.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07730e+05,	1.28323e+01,	1.11901e+01,	2.43940e-01,	6.57740e+00,	1.82700e-03,	4.36696e+00
8.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07732e+05,	1.30382e+01,	1.23080e+01,	2.43919e-01,	7.45703e+00,	2.66600e-03,	4.60441e+00
9.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07739e+05,	1.31593e+01,	1.07259e+01,	2.43543e-01,	6.52890e+00,	1.72901e-03,	3.95173e+00
1.00000e+02,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07739e+05,	1.28952e+01,	1.11775e+01,	2.44651e-01,	6.74050e+00,	2.34699e-03,	4.19001e+00
1.10000e+02,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07739e+05,	1.28964e+01,	1.10086e+01,	2.49149e-01,	6.54801e+00,	1.72782e-03,	4.20971e+00
1.20000e+02,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07739e+05,	1.29184e+01,	1.09816e+01,	2.44029e-01,	6.54539e+00,	1.73998e-03,	4.19047e+00
1.30000e+02,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07749e+05,	1.28466e+01,	1.10578e+01,	2.44359e-01,	6.53550e+00,	2.71797e-03,	4.27525e+00
