%--------------------------------------------------- 
% Timings: Sun Jan 27 06:04:24 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07712e+05,	0.00000e+00,	1.18111e+01,	4.63521e+00,	7.16010e+00,	2.72179e-03,	1.30601e-02
1.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07725e+05,	1.50690e+01,	1.10635e+01,	2.42868e-01,	6.49453e+00,	2.70200e-03,	4.32341e+00
2.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07725e+05,	1.53429e+01,	1.22026e+01,	2.44220e-01,	6.50689e+00,	2.94399e-03,	5.44856e+00
3.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07727e+05,	1.27280e+01,	1.18343e+01,	2.44277e-01,	6.51587e+00,	2.67315e-03,	5.07152e+00
4.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07727e+05,	1.28444e+01,	1.18353e+01,	2.45229e-01,	6.45411e+00,	1.72591e-03,	5.13423e+00
5.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07727e+05,	1.26561e+01,	1.18552e+01,	2.44488e-01,	6.49580e+00,	2.68507e-03,	5.11218e+00
6.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07730e+05,	1.28847e+01,	1.16994e+01,	2.44494e-01,	6.47636e+00,	1.73616e-03,	4.97682e+00
7.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07730e+05,	1.27014e+01,	1.16755e+01,	2.45868e-01,	6.51490e+00,	2.72894e-03,	4.91198e+00
8.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07732e+05,	1.27310e+01,	1.16948e+01,	2.44226e-01,	6.48560e+00,	1.80984e-03,	4.96319e+00
9.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07739e+05,	1.28031e+01,	1.14980e+01,	2.44775e-01,	6.51950e+00,	1.74093e-03,	4.73203e+00
1.00000e+02,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07739e+05,	1.27117e+01,	1.17065e+01,	2.44238e-01,	6.45153e+00,	1.78289e-03,	5.00896e+00
1.10000e+02,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07739e+05,	1.26755e+01,	1.16778e+01,	2.44959e-01,	6.50097e+00,	2.68602e-03,	4.92917e+00
1.20000e+02,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07739e+05,	1.27934e+01,	1.15928e+01,	2.54789e-01,	6.50598e+00,	8.02119e-02,	4.75185e+00
1.30000e+02,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07749e+05,	1.27754e+01,	1.13592e+01,	2.44981e-01,	6.45143e+00,	1.73593e-03,	4.66108e+00
1.40000e+02,	7.93600e+03,	7.93600e+05,	2.18426e+05,	2.07687e+05,	1.36811e+01,	1.05183e+01,	2.48570e-01,	6.48485e+00,	1.82605e-03,	3.78302e+00
1.50000e+02,	7.93600e+03,	7.93600e+05,	2.18419e+05,	2.07684e+05,	1.26687e+01,	1.09840e+01,	2.44368e-01,	6.46374e+00,	2.11906e-03,	4.27373e+00
1.60000e+02,	7.93600e+03,	7.93600e+05,	2.18419e+05,	2.07684e+05,	1.48518e+01,	9.66198e+00,	2.46272e-01,	6.46779e+00,	2.24090e-03,	2.94568e+00
1.70000e+02,	7.93600e+03,	7.93600e+05,	2.18419e+05,	2.07688e+05,	1.24118e+01,	1.12455e+01,	2.45665e-01,	6.46315e+00,	2.11287e-03,	4.53459e+00
1.80000e+02,	7.93600e+03,	7.93600e+05,	2.18419e+05,	2.07696e+05,	1.24853e+01,	1.13531e+01,	2.44438e-01,	6.54154e+00,	4.20690e-03,	4.56287e+00
