%--------------------------------------------------- 
% Timings: Thu Feb  7 00:07:35 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	2.49600e+03,	1.74720e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	3.03719e+01,	5.73392e+00,	2.36690e+01,	2.80404e-03,	9.66167e-01
1.00000e+01,	2.49600e+03,	1.74720e+06,	1.49887e+06,	1.44658e+06,	1.96667e+02,	2.35163e+01,	3.10180e-02,	2.24632e+01,	2.85077e-03,	1.01927e+00
2.00000e+01,	2.49600e+03,	1.74720e+06,	1.49887e+06,	1.44658e+06,	1.93321e+02,	2.34513e+01,	3.05760e-02,	2.23797e+01,	2.69389e-03,	1.03831e+00
3.00000e+01,	2.49600e+03,	1.74720e+06,	1.49882e+06,	1.44655e+06,	1.93619e+02,	2.32408e+01,	3.10471e-02,	2.22252e+01,	2.74301e-03,	9.81808e-01
4.00000e+01,	2.49600e+03,	1.74720e+06,	1.49882e+06,	1.44657e+06,	1.92423e+02,	2.28875e+01,	3.00651e-02,	2.17765e+01,	9.41260e-02,	9.86863e-01
5.00000e+01,	2.49600e+03,	1.74720e+06,	1.49883e+06,	1.44658e+06,	1.96557e+02,	2.49818e+01,	2.96819e-02,	2.39619e+01,	2.18701e-03,	9.87957e-01
6.00000e+01,	2.49600e+03,	1.74720e+06,	1.49877e+06,	1.44653e+06,	1.93749e+02,	2.47814e+01,	2.93961e-02,	2.37843e+01,	1.31760e-02,	9.54486e-01
7.00000e+01,	2.49600e+03,	1.74720e+06,	1.49877e+06,	1.44655e+06,	1.92162e+02,	2.33488e+01,	3.05960e-02,	2.23753e+01,	2.68197e-03,	9.40201e-01
8.00000e+01,	2.49600e+03,	1.74720e+06,	1.49877e+06,	1.44656e+06,	1.91657e+02,	2.39655e+01,	3.21100e-02,	2.29582e+01,	2.72703e-03,	9.72487e-01
9.00000e+01,	2.49600e+03,	1.74720e+06,	1.49877e+06,	1.44656e+06,	1.92226e+02,	2.46526e+01,	2.71871e-02,	2.36586e+01,	2.68817e-03,	9.64106e-01
1.00000e+02,	2.49600e+03,	1.74720e+06,	1.49877e+06,	1.44656e+06,	1.91338e+02,	2.45272e+01,	3.69759e-02,	2.34867e+01,	2.54083e-03,	1.00101e+00
1.10000e+02,	2.49600e+03,	1.74720e+06,	1.49877e+06,	1.44656e+06,	1.91673e+02,	2.34676e+01,	2.95990e-02,	2.25175e+01,	2.73204e-03,	9.17806e-01
