%--------------------------------------------------- 
% Timings: Tue Feb 12 05:16:53 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	6.59200e+03,	1.68755e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.53145e+01,	4.39031e+00,	1.07639e+01,	1.61960e-02,	1.44035e-01
1.00000e+01,	6.59200e+03,	1.68755e+06,	1.49887e+06,	1.44658e+06,	8.36425e+01,	2.42401e+01,	3.77710e-02,	1.00491e+01,	2.47281e-02,	1.41284e+01
2.00000e+01,	6.59200e+03,	1.68755e+06,	1.49887e+06,	1.44658e+06,	8.03401e+01,	2.62784e+01,	5.17430e-02,	1.20236e+01,	1.21739e-02,	1.41909e+01
3.00000e+01,	6.59200e+03,	1.68755e+06,	1.49882e+06,	1.44655e+06,	8.08008e+01,	2.35130e+01,	3.92249e-02,	1.14152e+01,	3.35598e-03,	1.20552e+01
4.00000e+01,	6.59200e+03,	1.68755e+06,	1.49882e+06,	1.44657e+06,	8.02442e+01,	2.08006e+01,	3.95660e-02,	1.11603e+01,	2.73895e-03,	9.59795e+00
5.00000e+01,	6.59200e+03,	1.68755e+06,	1.49883e+06,	1.44658e+06,	8.09439e+01,	2.02521e+01,	4.00538e-02,	1.19422e+01,	3.29900e-03,	8.26646e+00
6.00000e+01,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44653e+06,	8.09778e+01,	1.39395e+01,	3.94809e-02,	1.17329e+01,	3.07417e-03,	2.16397e+00
7.00000e+01,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44655e+06,	8.01346e+01,	2.09958e+01,	3.96659e-02,	1.12786e+01,	2.80714e-03,	9.67478e+00
8.00000e+01,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44656e+06,	8.23584e+01,	1.82643e+01,	3.86350e-02,	1.13673e+01,	1.56120e-01,	6.70227e+00
9.00000e+01,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44656e+06,	8.18964e+01,	1.74537e+01,	1.99899e-01,	1.18140e+01,	2.71797e-03,	5.43704e+00
1.00000e+02,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44656e+06,	8.17035e+01,	1.87520e+01,	3.81348e-02,	1.17236e+01,	2.74110e-03,	6.98753e+00
1.10000e+02,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44656e+06,	8.11381e+01,	2.03878e+01,	8.93168e-02,	1.16653e+01,	2.67291e-03,	8.63050e+00
