%  ./pipe-7-16384   ./pipe-7-16384/extracted_timings-e747450.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  45.1552014 ,  39.803032 ,  108.542359 ,  10.4314968292854 
% PVSPY_VIZ_TIMINGS ,  61.50751856 ,  10.756748 ,  74.803425 ,  10.3176343460476 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,41.779443,72.949067
20,40.517331,74.803425
30,40.373614,73.103359
40,108.542359,10.756748
50,63.589546,45.157395
60,41.879391,40.678717
70,50.716659,57.165188
80,42.111209,65.799876
90,40.970245,66.499778
100,40.117189,67.899008
110,40.82671,66.890357
120,41.296944,66.110409
130,40.134412,67.159357
140,41.388709,66.196061
150,40.25945,67.189565
160,40.592355,66.503732
170,41.790756,65.75152
180,41.396335,65.649757
190,40.363237,66.538311
200,39.970434,68.242056
210,44.729032,64.209909
220,42.603542,65.290995
230,42.590411,65.12181
240,39.803032,67.160442
250,40.391053,66.276272
260,39.865896,67.094413
270,39.967498,67.092396
280,40.528883,64.848289
290,39.859215,66.556035
300,40.403306,65.197518
310,39.925041,66.091819
320,40.813728,66.375547
330,40.493851,65.797941
340,40.111189,65.78234
350,41.007341,65.068294
360,40.406974,65.696051
370,45.76955,61.490238
380,48.638199,63.553606
390,48.776821,59.49276
400,47.533111,60.722783
410,47.93924,49.620974
420,48.263832,59.10241
430,46.665838,59.638351
440,47.610211,57.285712
450,51.325676,52.378992
460,57.327525,47.045742
470,47.801172,56.069927
480,47.662615,53.861675
490,49.882136,49.969721
500,50.447824,50.43928
