%  amr_in-transit-inclusive/failed/pipe-7-16384   amr_in-transit-inclusive/failed/pipe-7-16384/extracted_timings-e633167.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  39.7680681818182 ,  38.965236 ,  40.410959 ,  0.430861235447289 
% PVSPY_VIZ_TIMINGS ,  56.4997786363636 ,  1.4e-05 ,  72.627398 ,  20.2586735980267 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,38.965236,72.627398
20,39.292047,66.734584
30,39.914543,66.414312
40,40.095439,62.459972
50,40.410959,63.344052
60,40.242189,41.184186
70,39.465318,63.44782
80,40.067474,61.608804
90,39.674107,61.361071
100,39.608879,62.315352
110,39.712559,1.4e-05
