%--------------------------------------------------- 
% Timings: Tue Dec  4 23:47:45 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	3.11680e+04,	3.11680e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.56466e+01,	4.62894e+00,	1.10151e+01,	1.73402e-03,	8.29935e-04
1.00000e+01,	3.11680e+04,	3.11680e+06,	1.49887e+06,	1.44658e+06,	2.33374e+01,	9.56350e+01,	1.52694e-01,	1.10760e+01,	1.74499e-03,	8.44045e+01
2.00000e+01,	3.11680e+04,	3.11680e+06,	1.49887e+06,	1.44658e+06,	2.25788e+01,	9.23344e+01,	1.54679e-01,	1.14932e+01,	2.61807e-03,	8.06839e+01
3.00000e+01,	3.11680e+04,	3.11680e+06,	1.49882e+06,	1.44655e+06,	2.36358e+01,	9.10384e+01,	1.57234e-01,	1.13381e+01,	1.75190e-03,	7.95412e+01
4.00000e+01,	3.11680e+04,	3.11680e+06,	1.49882e+06,	1.44657e+06,	2.26418e+01,	8.81333e+01,	1.55408e-01,	1.11426e+01,	2.50220e-03,	7.68328e+01
5.00000e+01,	3.11680e+04,	3.11680e+06,	1.49883e+06,	1.44658e+06,	2.33739e+01,	8.71096e+01,	1.60185e-01,	1.07436e+01,	1.78719e-03,	7.62040e+01
6.00000e+01,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44653e+06,	2.32503e+01,	5.99130e+01,	1.59702e-01,	1.07984e+01,	1.79505e-03,	4.89531e+01
7.00000e+01,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44655e+06,	2.26389e+01,	8.95748e+01,	1.54760e-01,	1.11933e+01,	1.88708e-03,	7.82249e+01
8.00000e+01,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44656e+06,	2.30886e+01,	8.79023e+01,	1.55078e-01,	1.10404e+01,	1.75881e-03,	7.67051e+01
9.00000e+01,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44656e+06,	2.28015e+01,	8.78837e+01,	1.54647e-01,	1.08589e+01,	1.74403e-03,	7.68684e+01
1.00000e+02,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44656e+06,	2.31367e+01,	8.71934e+01,	1.55178e-01,	1.10826e+01,	1.74403e-03,	7.59539e+01
1.10000e+02,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44656e+06,	2.27500e+01,	8.81621e+01,	1.54651e-01,	1.09803e+01,	1.74093e-03,	7.70254e+01
1.20000e+02,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44657e+06,	2.30511e+01,	8.84185e+01,	1.54758e-01,	1.06853e+01,	2.51698e-03,	7.75759e+01
1.30000e+02,	3.11680e+04,	3.11680e+06,	1.49877e+06,	1.44658e+06,	2.28121e+01,	8.87648e+01,	1.54846e-01,	1.09021e+01,	1.74809e-03,	7.77061e+01
1.40000e+02,	3.11680e+04,	3.11680e+06,	1.49876e+06,	1.44657e+06,	2.35741e+01,	8.58181e+01,	1.54689e-01,	1.07853e+01,	1.96004e-03,	7.48761e+01
1.50000e+02,	3.11680e+04,	3.11680e+06,	1.49876e+06,	1.44658e+06,	2.28308e+01,	8.79125e+01,	1.54643e-01,	1.08037e+01,	4.20499e-03,	7.69500e+01
1.60000e+02,	3.11680e+04,	3.11680e+06,	1.49876e+06,	1.44659e+06,	2.28636e+01,	8.81912e+01,	1.55190e-01,	1.08047e+01,	1.74594e-03,	7.72295e+01
1.70000e+02,	3.11680e+04,	3.11680e+06,	1.49845e+06,	1.44636e+06,	2.42513e+01,	8.73740e+01,	1.77158e-01,	1.09340e+01,	1.75095e-03,	7.62611e+01
