%  ./pipe-7-32768   ./pipe-7-32768/extracted_timings-e08.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  22.7826751111111 ,  21.849443 ,  26.775507 ,  1.20233434756406 
% PVSPY_VIZ_TIMINGS ,  85.663736 ,  55.347186 ,  96.823048 ,  8.27162214859574 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,22.401381,96.305849
20,21.911888,93.002585
30,22.96373,91.711656
40,21.975381,88.800864
50,22.70444,87.780133
60,22.58046,60.583863
70,21.97265,90.242328
80,22.423535,88.568716
90,22.133415,88.552905
100,22.467438,87.863931
110,22.079464,88.833763
120,22.38375,89.086932
130,22.142887,89.435143
140,22.904306,86.489193
150,22.16152,88.583278
160,22.197713,88.85856
170,23.583445,88.042944
180,23.09664,87.091683
190,21.859364,87.941926
200,21.849443,87.162357
210,21.97467,86.86003
220,22.972341,86.130447
230,23.335493,83.142048
240,21.99642,85.768107
250,22.060835,85.349916
260,21.903966,85.55541
270,22.474704,84.951991
280,21.902996,85.536255
290,21.925152,85.263259
300,22.159968,84.623805
310,21.96568,85.864827
320,22.340938,85.043952
330,22.157439,83.969019
340,22.882484,84.962407
350,22.214182,83.847184
360,22.341332,84.531609
370,22.528724,85.518087
380,22.81711,81.740401
390,23.135064,80.824507
400,23.00987,57.985359
410,25.176822,55.347186
420,25.728093,96.823048
430,25.263469,94.521793
440,26.384271,93.50657
450,26.775507,92.262294
%
% -- Replicated to complete the set
%
460,26.775507,92.262294
470,26.775507,92.262294
480,26.775507,92.262294
490,26.775507,92.262294
500,26.775507,92.262294
