%--------------------------------------------------- 
% Timings: Fri Dec  7 09:12:10 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	2.24000e+02,	5.73440e+04,	3.30940e+04,	3.00800e+04,	0.00000e+00,	2.12156e+01,	7.63134e+00,	1.35464e+01,	1.68681e-03,	3.61800e-02
1.00000e+01,	2.24000e+02,	5.73440e+04,	3.30940e+04,	3.00800e+04,	4.44977e+01,	2.00539e+01,	2.33120e-01,	1.97751e+01,	1.69301e-03,	4.39870e-02
2.00000e+01,	2.24000e+02,	5.73440e+04,	3.30940e+04,	3.00800e+04,	4.39908e+01,	1.87200e+01,	2.46364e-01,	1.84283e+01,	1.68896e-03,	4.36342e-02
3.00000e+01,	2.24000e+02,	5.73440e+04,	3.30940e+04,	3.00800e+04,	4.39523e+01,	2.12876e+01,	2.68776e-01,	2.09782e+01,	1.69492e-03,	3.89490e-02
4.00000e+01,	2.24000e+02,	5.73440e+04,	3.30940e+04,	3.00840e+04,	4.38260e+01,	1.98865e+01,	2.74000e-01,	1.95551e+01,	1.71709e-03,	5.56481e-02
5.00000e+01,	2.24000e+02,	5.73440e+04,	3.30940e+04,	3.00850e+04,	4.39082e+01,	2.03504e+01,	2.66665e-01,	2.00282e+01,	1.70803e-03,	5.38070e-02
6.00000e+01,	2.24000e+02,	5.73440e+04,	3.30940e+04,	3.00870e+04,	4.39583e+01,	1.49476e+01,	2.67162e-01,	1.46222e+01,	1.68800e-03,	5.65648e-02
7.00000e+01,	2.24000e+02,	5.73440e+04,	3.30660e+04,	3.00810e+04,	4.52481e+01,	1.97995e+01,	2.71771e-01,	1.94608e+01,	1.69611e-03,	6.51782e-02
8.00000e+01,	2.24000e+02,	5.73440e+04,	3.30450e+04,	3.00640e+04,	4.45830e+01,	1.95486e+01,	2.71382e-01,	1.92351e+01,	1.68514e-03,	4.04620e-02
9.00000e+01,	2.24000e+02,	5.73440e+04,	3.30450e+04,	3.00760e+04,	4.40825e+01,	1.86626e+01,	2.69173e-01,	1.83464e+01,	1.68800e-03,	4.52862e-02
1.00000e+02,	2.24000e+02,	5.73440e+04,	3.30450e+04,	3.00760e+04,	4.44269e+01,	1.85623e+01,	2.64405e-01,	1.82466e+01,	1.69396e-03,	4.96540e-02
1.10000e+02,	2.24000e+02,	5.73440e+04,	3.30450e+04,	3.00760e+04,	4.44916e+01,	1.89866e+01,	2.66974e-01,	1.86547e+01,	1.68300e-03,	6.31671e-02
1.20000e+02,	2.24000e+02,	5.73440e+04,	3.30450e+04,	3.00770e+04,	4.45977e+01,	1.98375e+01,	2.65105e-01,	1.95194e+01,	1.69706e-03,	5.12671e-02
1.30000e+02,	2.24000e+02,	5.73440e+04,	3.30450e+04,	3.00770e+04,	4.44945e+01,	1.96260e+01,	2.64199e-01,	1.93215e+01,	1.69897e-03,	3.86171e-02
1.40000e+02,	2.24000e+02,	5.73440e+04,	3.30450e+04,	3.00800e+04,	4.46048e+01,	1.80664e+01,	2.68271e-01,	1.77405e+01,	1.68896e-03,	5.60009e-02
1.50000e+02,	2.24000e+02,	5.73440e+04,	3.30450e+04,	3.00820e+04,	4.49416e+01,	1.45564e+01,	2.66633e-01,	1.42412e+01,	1.69611e-03,	4.68161e-02
1.60000e+02,	2.24000e+02,	5.73440e+04,	3.30380e+04,	3.00790e+04,	4.53569e+01,	1.44681e+01,	2.65992e-01,	1.41425e+01,	1.68705e-03,	5.79021e-02
1.70000e+02,	2.24000e+02,	5.73440e+04,	3.30380e+04,	3.00810e+04,	4.53150e+01,	1.44494e+01,	2.66338e-01,	1.41301e+01,	1.68109e-03,	5.12810e-02
1.80000e+02,	2.24000e+02,	5.73440e+04,	3.30380e+04,	3.00850e+04,	4.56479e+01,	1.47533e+01,	2.66959e-01,	1.44273e+01,	1.69086e-03,	5.73151e-02
1.90000e+02,	2.24000e+02,	5.73440e+04,	3.30380e+04,	3.00870e+04,	4.58877e+01,	1.95087e+01,	2.62888e-01,	1.91924e+01,	1.68514e-03,	5.17581e-02
2.00000e+02,	2.24000e+02,	5.73440e+04,	3.30310e+04,	3.00930e+04,	4.81269e+01,	1.60499e+01,	1.30783e+00,	1.47391e+01,	1.69587e-03,	1.24288e-03
2.10000e+02,	2.24000e+02,	5.73440e+04,	3.30240e+04,	3.00870e+04,	5.06785e+01,	1.48877e+01,	2.63875e-01,	1.46210e+01,	1.69206e-03,	1.19805e-03
2.20000e+02,	2.24000e+02,	5.73440e+04,	3.30100e+04,	3.00740e+04,	5.03179e+01,	1.48533e+01,	2.65950e-01,	1.45845e+01,	1.69182e-03,	1.22786e-03
2.30000e+02,	2.24000e+02,	5.73440e+04,	3.30100e+04,	3.00760e+04,	5.00227e+01,	1.47625e+01,	2.62985e-01,	1.44966e+01,	1.68896e-03,	1.24002e-03
2.40000e+02,	2.24000e+02,	5.73440e+04,	3.30100e+04,	3.00760e+04,	5.03142e+01,	1.49689e+01,	2.65955e-01,	1.47000e+01,	1.68586e-03,	1.25098e-03
2.50000e+02,	2.24000e+02,	5.73440e+04,	3.30100e+04,	3.00840e+04,	5.07148e+01,	1.49427e+01,	2.67703e-01,	1.46721e+01,	1.69420e-03,	1.24097e-03
2.60000e+02,	2.24000e+02,	5.73440e+04,	3.29960e+04,	3.00700e+04,	5.12174e+01,	1.50008e+01,	2.68341e-01,	1.47296e+01,	1.69492e-03,	1.20091e-03
2.70000e+02,	2.24000e+02,	5.73440e+04,	3.29750e+04,	3.00690e+04,	5.11921e+01,	1.45882e+01,	2.68980e-01,	1.43163e+01,	1.68586e-03,	1.23787e-03
2.80000e+02,	2.24000e+02,	5.73440e+04,	3.29750e+04,	3.00690e+04,	5.02747e+01,	1.47565e+01,	2.68256e-01,	1.44853e+01,	1.69301e-03,	1.25694e-03
2.90000e+02,	2.24000e+02,	5.73440e+04,	3.29750e+04,	3.00690e+04,	5.04252e+01,	1.46345e+01,	2.60412e-01,	1.43712e+01,	1.72091e-03,	1.20401e-03
3.00000e+02,	2.24000e+02,	5.73440e+04,	3.29540e+04,	3.00490e+04,	5.16082e+01,	1.47572e+01,	2.70942e-01,	1.44833e+01,	1.70398e-03,	1.25098e-03
3.10000e+02,	2.24000e+02,	5.73440e+04,	3.29680e+04,	3.00690e+04,	5.08402e+01,	1.46565e+01,	2.71545e-01,	1.43820e+01,	1.69516e-03,	1.26410e-03
3.20000e+02,	2.24000e+02,	5.73440e+04,	3.29470e+04,	3.00500e+04,	5.13907e+01,	2.44654e+01,	2.67454e-01,	1.43963e+01,	1.69086e-03,	9.79994e+00
3.30000e+02,	2.24000e+02,	5.73440e+04,	3.29120e+04,	3.00270e+04,	5.18270e+01,	1.47102e+01,	2.69801e-01,	1.44374e+01,	1.68610e-03,	1.29294e-03
3.40000e+02,	2.24000e+02,	5.73440e+04,	3.29120e+04,	3.00270e+04,	5.11448e+01,	1.47594e+01,	2.70727e-01,	1.44856e+01,	1.68300e-03,	1.30510e-03
3.50000e+02,	2.24000e+02,	5.73440e+04,	3.28910e+04,	3.00060e+04,	5.10041e+01,	1.47119e+01,	2.76632e-01,	1.44321e+01,	1.85394e-03,	1.28388e-03
3.60000e+02,	2.24000e+02,	5.73440e+04,	3.28700e+04,	2.99850e+04,	5.14210e+01,	1.47917e+01,	2.73927e-01,	1.45148e+01,	1.68800e-03,	1.29604e-03
3.70000e+02,	2.24000e+02,	5.73440e+04,	3.28560e+04,	2.99710e+04,	5.07823e+01,	1.48454e+01,	2.74095e-01,	1.45683e+01,	1.69301e-03,	1.24717e-03
3.80000e+02,	2.24000e+02,	5.73440e+04,	3.28490e+04,	2.99640e+04,	5.02609e+01,	1.45089e+01,	2.64599e-01,	1.42413e+01,	1.75619e-03,	1.25790e-03
3.90000e+02,	2.24000e+02,	5.73440e+04,	3.28490e+04,	2.99640e+04,	5.00233e+01,	1.45692e+01,	2.71062e-01,	1.42952e+01,	1.68204e-03,	1.24311e-03
4.00000e+02,	2.24000e+02,	5.73440e+04,	3.28420e+04,	2.99570e+04,	5.03497e+01,	1.47592e+01,	2.65938e-01,	1.44903e+01,	1.69206e-03,	1.25408e-03
4.10000e+02,	2.24000e+02,	5.73440e+04,	3.28350e+04,	2.99530e+04,	5.02502e+01,	1.47383e+01,	2.71731e-01,	1.44637e+01,	1.68991e-03,	1.23215e-03
4.20000e+02,	2.24000e+02,	5.73440e+04,	3.28280e+04,	2.99480e+04,	5.02554e+01,	1.47066e+01,	2.64194e-01,	1.44394e+01,	1.68490e-03,	1.26505e-03
4.30000e+02,	2.24000e+02,	5.73440e+04,	3.28280e+04,	2.99480e+04,	4.98035e+01,	1.46715e+01,	2.64574e-01,	1.44039e+01,	1.72019e-03,	1.25504e-03
4.40000e+02,	2.24000e+02,	5.73440e+04,	3.28210e+04,	2.99460e+04,	5.42218e+01,	1.55573e+01,	6.04786e-01,	1.44400e+01,	1.69516e-03,	5.10748e-01
4.50000e+02,	2.24000e+02,	5.73440e+04,	3.28070e+04,	2.99360e+04,	5.36688e+01,	1.53085e+01,	2.65676e-01,	1.45421e+01,	1.69802e-03,	4.99018e-01
4.60000e+02,	2.24000e+02,	5.73440e+04,	3.28000e+04,	2.99300e+04,	5.32177e+01,	1.48991e+01,	2.65690e-01,	1.42138e+01,	1.70803e-03,	4.17817e-01
4.70000e+02,	2.24000e+02,	5.73440e+04,	3.28140e+04,	2.99490e+04,	5.37719e+01,	1.52280e+01,	2.68379e-01,	1.45655e+01,	1.68014e-03,	3.92428e-01
4.80000e+02,	2.24000e+02,	5.73440e+04,	3.28070e+04,	2.99440e+04,	5.40777e+01,	1.48189e+01,	2.73227e-01,	1.42639e+01,	1.69110e-03,	2.80061e-01
4.90000e+02,	2.24000e+02,	5.73440e+04,	3.28000e+04,	2.99390e+04,	5.39072e+01,	1.50590e+01,	2.65197e-01,	1.45331e+01,	1.68896e-03,	2.59006e-01
5.00000e+02,	2.24000e+02,	5.73440e+04,	3.27930e+04,	2.99320e+04,	5.40948e+01,	1.51712e+01,	2.66067e-01,	1.46396e+01,	1.69110e-03,	2.63780e-01
